series,regime_axis,regime_label,n_months,mean_rank_ic,ic_t_stat,full_sample_mean_ic,ic_delta_vs_full
price_only_baseline,risk_regime,risk_off,15,-0.035795,-0.619691,-0.012348,-0.023447
price_only_baseline,risk_regime,risk_on,106,-0.00903,-0.50808,-0.012348,0.003318
price_only_baseline,vol_regime,high_vol,70,-0.03057,-1.435158,-0.012348,-0.018222
price_only_baseline,vol_regime,low_vol,43,0.029625,0.984955,-0.012348,0.041973
price_only_baseline,trend_regime,above_trend,96,-0.005036,-0.271075,-0.012348,0.007312
price_only_baseline,trend_regime,below_trend,20,-0.039971,-0.863064,-0.012348,-0.027623
price_only_baseline,inflation_regime,disinflation,54,-0.028476,-0.945558,-0.012348,-0.016128
price_only_baseline,inflation_regime,inflation_up,67,0.00065,0.034132,-0.012348,0.012998
price_only_baseline,rates_regime,rates_down,51,-0.013087,-0.441472,-0.012348,-0.000739
price_only_baseline,rates_regime,rates_up,70,-0.01181,-0.582554,-0.012348,0.000538
price_only_baseline,dollar_regime,dollar_down,56,-0.014093,-0.527819,-0.012348,-0.001745
price_only_baseline,dollar_regime,dollar_up,65,-0.010845,-0.490961,-0.012348,0.001503
equal_weight_composite,risk_regime,risk_off,15,-0.042202,-1.06193,-0.007396,-0.034806
equal_weight_composite,risk_regime,risk_on,106,-0.00247,-0.155101,-0.007396,0.004925
equal_weight_composite,vol_regime,high_vol,70,-0.019515,-1.080551,-0.007396,-0.012119
equal_weight_composite,vol_regime,low_vol,43,0.026101,1.005328,-0.007396,0.033497
equal_weight_composite,trend_regime,above_trend,96,0.002272,0.139876,-0.007396,0.009668
equal_weight_composite,trend_regime,below_trend,20,-0.044106,-1.24816,-0.007396,-0.03671
equal_weight_composite,inflation_regime,disinflation,54,-0.025582,-0.987122,-0.007396,-0.018186
equal_weight_composite,inflation_regime,inflation_up,67,0.007262,0.436916,-0.007396,0.014658
equal_weight_composite,rates_regime,rates_down,51,-0.008329,-0.309191,-0.007396,-0.000933
equal_weight_composite,rates_regime,rates_up,70,-0.006716,-0.405411,-0.007396,0.00068
equal_weight_composite,dollar_regime,dollar_down,56,-0.006083,-0.262711,-0.007396,0.001313
equal_weight_composite,dollar_regime,dollar_up,65,-0.008527,-0.44543,-0.007396,-0.001131
