factor_key,regime_axis,regime_label,n_months,mean_rank_ic,ic_t_stat,full_sample_mean_ic,ic_delta_vs_full
momentum,risk_regime,risk_off,15,-0.019202,-0.416108,0.007256,-0.026459
momentum,risk_regime,risk_on,97,0.011348,0.627876,0.007256,0.004092
momentum,vol_regime,high_vol,70,-0.019147,-0.947895,0.007256,-0.026403
momentum,vol_regime,low_vol,42,0.051261,1.797679,0.007256,0.044005
momentum,trend_regime,above_trend,92,0.005406,0.290913,0.007256,-0.00185
momentum,trend_regime,below_trend,20,0.015765,0.3942,0.007256,0.008509
momentum,inflation_regime,disinflation,51,-0.005792,-0.208187,0.007256,-0.013048
momentum,inflation_regime,inflation_up,61,0.018165,0.893849,0.007256,0.010909
momentum,rates_regime,rates_down,47,0.017462,0.613529,0.007256,0.010206
momentum,rates_regime,rates_up,65,-0.000124,-0.006042,0.007256,-0.00738
momentum,dollar_regime,dollar_down,53,0.004346,0.189813,0.007256,-0.00291
momentum,dollar_regime,dollar_up,59,0.00987,0.402753,0.007256,0.002614
low_volatility,risk_regime,risk_off,15,-0.053182,-0.95425,-0.033783,-0.019399
low_volatility,risk_regime,risk_on,106,-0.031038,-1.910117,-0.033783,0.002745
low_volatility,vol_regime,high_vol,70,-0.039442,-1.88265,-0.033783,-0.005659
low_volatility,vol_regime,low_vol,43,-0.016248,-0.635804,-0.033783,0.017535
low_volatility,trend_regime,above_trend,96,-0.020833,-1.261502,-0.033783,0.01295
low_volatility,trend_regime,below_trend,20,-0.093825,-2.066794,-0.033783,-0.060043
low_volatility,inflation_regime,disinflation,54,-0.057738,-2.194072,-0.033783,-0.023955
low_volatility,inflation_regime,inflation_up,67,-0.014475,-0.77082,-0.033783,0.019307
low_volatility,rates_regime,rates_down,51,-0.056332,-2.237715,-0.033783,-0.022549
low_volatility,rates_regime,rates_up,70,-0.017354,-0.866675,-0.033783,0.016429
low_volatility,dollar_regime,dollar_down,56,-0.04193,-1.66223,-0.033783,-0.008147
low_volatility,dollar_regime,dollar_up,65,-0.026764,-1.351803,-0.033783,0.007019
value,risk_regime,risk_off,11,-0.011365,-0.227905,0.021044,-0.032409
value,risk_regime,risk_on,55,0.027526,1.363088,0.021044,0.006482
value,vol_regime,high_vol,42,0.036441,1.503499,0.021044,0.015397
value,vol_regime,low_vol,24,-0.0059,-0.204487,0.021044,-0.026944
value,trend_regime,above_trend,53,0.031909,1.564038,0.021044,0.010865
value,trend_regime,below_trend,13,-0.023251,-0.513636,0.021044,-0.044295
value,inflation_regime,disinflation,30,-0.00434,-0.135374,0.021044,-0.025384
value,inflation_regime,inflation_up,36,0.042197,1.985604,0.021044,0.021153
value,rates_regime,rates_down,22,-0.009544,-0.310519,0.021044,-0.030588
value,rates_regime,rates_up,44,0.036338,1.556502,0.021044,0.015294
value,dollar_regime,dollar_down,29,0.02703,0.833016,0.021044,0.005986
value,dollar_regime,dollar_up,37,0.016352,0.745005,0.021044,-0.004692
quality,risk_regime,risk_off,11,-0.010767,-0.242845,-0.010118,-0.000649
quality,risk_regime,risk_on,53,-0.009984,-0.736402,-0.010118,0.000135
quality,vol_regime,high_vol,41,-0.003906,-0.225066,-0.010118,0.006212
quality,vol_regime,low_vol,23,-0.021192,-1.006232,-0.010118,-0.011074
quality,trend_regime,above_trend,51,-0.012418,-0.844043,-0.010118,-0.0023
quality,trend_regime,below_trend,13,-0.001096,-0.033244,-0.010118,0.009022
quality,inflation_regime,disinflation,29,-0.028377,-1.194494,-0.010118,-0.018259
quality,inflation_regime,inflation_up,35,0.005011,0.347924,-0.010118,0.015129
quality,rates_regime,rates_down,22,-0.044082,-1.927295,-0.010118,-0.033964
quality,rates_regime,rates_up,42,0.007673,0.478688,-0.010118,0.017791
quality,dollar_regime,dollar_down,27,-0.027665,-1.182817,-0.010118,-0.017547
quality,dollar_regime,dollar_up,37,0.002686,0.17213,-0.010118,0.012804
growth,risk_regime,risk_off,15,-0.021531,-0.80309,0.010227,-0.031758
growth,risk_regime,risk_on,79,0.016258,0.987308,0.010227,0.00603
growth,vol_regime,high_vol,62,0.011674,0.685957,0.010227,0.001446
growth,vol_regime,low_vol,32,0.007425,0.271131,0.010227,-0.002802
growth,trend_regime,above_trend,74,0.01763,1.024088,0.010227,0.007402
growth,trend_regime,below_trend,20,-0.017161,-0.713592,0.010227,-0.027388
growth,inflation_regime,disinflation,46,-0.000136,-0.007777,0.010227,-0.010363
growth,inflation_regime,inflation_up,48,0.020159,0.873493,0.010227,0.009931
growth,rates_regime,rates_down,40,0.027463,1.191313,0.010227,0.017235
growth,rates_regime,rates_up,54,-0.002539,-0.136526,0.010227,-0.012767
growth,dollar_regime,dollar_down,41,-0.010611,-0.567711,0.010227,-0.020838
growth,dollar_regime,dollar_up,53,0.026348,1.244538,0.010227,0.01612
