year,phase5c_reference,event_alpha_only,price_plus_event_alpha,event_gated_price_signal
2017,0.043962,0.090894,0.083589,0.083293
2018,0.036842,-0.027473,0.020344,-0.034045
2019,0.055258,0.060308,0.072653,0.098518
2020,0.011823,-0.010633,0.022404,-0.003843
2021,0.040398,-0.048037,0.014222,0.010488
2022,-0.053281,-0.048502,-0.071773,-0.040448
2023,0.105998,0.052034,0.110531,0.059369
2024,-0.005448,0.086745,0.025417,0.019443
2025,0.175567,0.002527,0.127397,0.104004
2026,0.110683,-0.069851,0.074488,-0.008627
