book,direction,ticker,repaired_sector,composite_sn
TOP25,ENTERING,APD,Materials,2.705294
TOP25,ENTERING,B,Materials,2.219894
TOP25,ENTERING,UBER,Industrials,2.140016
TOP25,LEAVING,HAS,Consumer Discretionary,1.781812
TOP25,LEAVING,IT,Information Technology,1.580065
TOP25,LEAVING,RMD,Health Care,1.774803
TOP50,ENTERING,ALB,Materials,0.946707
TOP50,ENTERING,APD,Materials,2.705294
TOP50,ENTERING,CAT,Industrials,0.997221
TOP50,ENTERING,MA,Financials,1.030063
TOP50,ENTERING,MO,Consumer Staples,1.710402
TOP50,ENTERING,MUFG,Financials,1.146798
TOP50,ENTERING,RSG,Industrials,0.959091
TOP50,ENTERING,SMFG,Financials,1.448795
TOP50,LEAVING,GEN,Information Technology,1.104952
TOP50,LEAVING,HAS,Consumer Discretionary,1.781812
TOP50,LEAVING,KEYS,Information Technology,0.86443
TOP50,LEAVING,MELI,Consumer Discretionary,0.971174
TOP50,LEAVING,NWS,Communication Services,1.001175
TOP50,LEAVING,NWSA,Communication Services,1.001175
TOP50,LEAVING,RCL,Consumer Discretionary,1.010851
TOP50,LEAVING,SONY,Consumer Discretionary,1.048433
