function,target,available,ok,n_rows,detail
status,-,True,True,,status=True
databases,-,True,True,8,
watchlist_symbols,S&P 500 Current & Past,True,True,1894,
watchlist_symbols,S&P 500,True,True,503,
price_timeseries,A,True,True,6687,pandas
index_constituent_timeseries,A@S&P 500,True,True,6687,
last_quoted_date,A,True,True,,
first_quoted_date,A,True,True,,
classification_at_level,A,True,True,,GICS L1
security_name,A,True,True,,
price_timeseries,A-197701,True,True,0,empty
price_timeseries,AABA-201910,True,True,5909,pandas
index_constituent_timeseries,AABA-201910@S&P 500,True,True,5909,
last_quoted_date,AABA-201910,True,True,,
first_quoted_date,AABA-201910,True,True,,
classification_at_level,AABA-201910,True,True,,GICS L1
security_name,AABA-201910,True,True,,
price_timeseries,AAF-197809,True,True,0,empty
price_timeseries,AAL,True,True,3152,pandas
index_constituent_timeseries,AAL@S&P 500,True,True,3152,
last_quoted_date,AAL,True,True,,
first_quoted_date,AAL,True,True,,
classification_at_level,AAL,True,True,,GICS L1
security_name,AAL,True,True,,
price_timeseries,AAL-199702,True,True,1806,pandas
index_constituent_timeseries,AAL-199702@S&P 500,True,True,1806,
last_quoted_date,AAL-199702,True,True,,
first_quoted_date,AAL-199702,True,True,,
classification_at_level,AAL-199702,True,True,,GICS L1
security_name,AAL-199702,True,True,,
price_timeseries,AAMRQ-201312,True,True,6032,pandas
index_constituent_timeseries,AAMRQ-201312@S&P 500,True,True,6032,
last_quoted_date,AAMRQ-201312,True,True,,
first_quoted_date,AAMRQ-201312,True,True,,
classification_at_level,AAMRQ-201312,True,True,,GICS L1
security_name,AAMRQ-201312,True,True,,
price_timeseries,AAP,True,True,6179,pandas
index_constituent_timeseries,AAP@S&P 500,True,True,6179,
last_quoted_date,AAP,True,True,,
first_quoted_date,AAP,True,True,,
classification_at_level,AAP,True,True,,GICS L1
security_name,AAP,True,True,,
price_timeseries,AAPL,True,True,9185,pandas
index_constituent_timeseries,AAPL@S&P 500,True,True,9185,
last_quoted_date,AAPL,True,True,,
first_quoted_date,AAPL,True,True,,
classification_at_level,AAPL,True,True,,GICS L1
security_name,AAPL,True,True,,
price_timeseries,AAV-199901,True,True,2292,pandas
index_constituent_timeseries,AAV-199901@S&P 500,True,True,2292,
last_quoted_date,AAV-199901,True,True,,
first_quoted_date,AAV-199901,True,True,,
classification_at_level,AAV-199901,True,True,,GICS L1
security_name,AAV-199901,True,True,,
price_timeseries,ABA-198612,True,True,0,empty
price_timeseries,ABBV,True,True,3403,pandas
index_constituent_timeseries,ABBV@S&P 500,True,True,3403,
last_quoted_date,ABBV,True,True,,
first_quoted_date,ABBV,True,True,,
classification_at_level,ABBV,True,True,,GICS L1
security_name,ABBV,True,True,,
price_timeseries,ABC-198601,True,True,0,empty
price_timeseries,ABG-199311,True,True,956,pandas
index_constituent_timeseries,ABG-199311@S&P 500,True,True,956,
last_quoted_date,ABG-199311,True,True,,
first_quoted_date,ABG-199311,True,True,,
classification_at_level,ABG-199311,True,True,,GICS L1
security_name,ABG-199311,True,True,,
price_timeseries,ABI-200811,True,True,4765,pandas
index_constituent_timeseries,ABI-200811@S&P 500,True,True,4765,
last_quoted_date,ABI-200811,True,True,,
first_quoted_date,ABI-200811,True,True,,
classification_at_level,ABI-200811,True,True,,GICS L1
security_name,ABI-200811,True,True,,
price_timeseries,ABK-196812,True,True,0,empty
price_timeseries,ABKFQ-201304,True,True,5494,pandas
index_constituent_timeseries,ABKFQ-201304@S&P 500,True,True,5494,
last_quoted_date,ABKFQ-201304,True,True,,
first_quoted_date,ABKFQ-201304,True,True,,
classification_at_level,ABKFQ-201304,True,True,,GICS L1
security_name,ABKFQ-201304,True,True,,
price_timeseries,ABMD-202212,True,True,8259,pandas
index_constituent_timeseries,ABMD-202212@S&P 500,True,True,8259,
last_quoted_date,ABMD-202212,True,True,,
first_quoted_date,ABMD-202212,True,True,,
classification_at_level,ABMD-202212,True,True,,GICS L1
security_name,ABMD-202212,True,True,,
price_timeseries,ABNB,True,True,1388,pandas
index_constituent_timeseries,ABNB@S&P 500,True,True,1388,
last_quoted_date,ABNB,True,True,,
first_quoted_date,ABNB,True,True,,
classification_at_level,ABNB,True,True,,GICS L1
security_name,ABNB,True,True,,
price_timeseries,ABS-200606,True,True,4140,pandas
index_constituent_timeseries,ABS-200606@S&P 500,True,True,4140,
last_quoted_date,ABS-200606,True,True,,
first_quoted_date,ABS-200606,True,True,,
classification_at_level,ABS-200606,True,True,,GICS L1
security_name,ABS-200606,True,True,,
price_timeseries,ABT,True,True,9185,pandas
index_constituent_timeseries,ABT@S&P 500,True,True,9185,
last_quoted_date,ABT,True,True,,
first_quoted_date,ABT,True,True,,
