endpoint_family,ticker,endpoint,priority,attempted,status,http_status,rows,first_date,last_date,has_point_in_time_dates,historical_depth_sufficient,usable_for_backtest,note,endpoint_redacted
analyst_estimates,PEP,fundamentals,4_phase5c_fallback,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/PEP.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,PEP,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/PEP.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,PEP,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=PEP.US&<API_KEY_REDACTED>
earnings_history,KO,fundamentals,4_phase5c_fallback,True,OK,,124,1995-10-18,2026-07-28,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/KO.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,KO,fundamentals,4_phase5c_fallback,True,OK,,163,1985-09-30,2026-04-30,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/KO.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,KO,fundamentals,4_phase5c_fallback,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/KO.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,KO,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/KO.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,KO,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=KO.US&<API_KEY_REDACTED>
earnings_history,CSCO,fundamentals,4_phase5c_fallback,True,OK,,128,1994-10-31,2026-08-12,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/CSCO.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,CSCO,fundamentals,4_phase5c_fallback,True,OK,,155,1987-10-31,2026-05-19,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/CSCO.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,CSCO,fundamentals,4_phase5c_fallback,True,OK,,40,2017-04-30,2027-07-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/CSCO.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,CSCO,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/CSCO.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,CSCO,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=CSCO.US&<API_KEY_REDACTED>
earnings_history,INTC,fundamentals,4_phase5c_fallback,True,OK,,130,1994-03-31,2026-07-23,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/INTC.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,INTC,fundamentals,4_phase5c_fallback,True,OK,,163,1985-09-30,2026-04-24,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/INTC.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,INTC,fundamentals,4_phase5c_fallback,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/INTC.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,INTC,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/INTC.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,INTC,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=INTC.US&<API_KEY_REDACTED>
earnings_history,QCOM,fundamentals,4_phase5c_fallback,True,OK,,122,1996-04-16,2026-07-29,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/QCOM.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,QCOM,fundamentals,4_phase5c_fallback,True,OK,,146,1989-12-31,2026-04-29,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/QCOM.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,QCOM,fundamentals,4_phase5c_fallback,True,OK,,39,2017-06-30,2027-09-30,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/QCOM.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,QCOM,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/QCOM.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,QCOM,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=QCOM.US&<API_KEY_REDACTED>
earnings_history,TXN,fundamentals,4_phase5c_fallback,True,OK,,124,1995-10-11,2026-07-28,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/TXN.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,TXN,fundamentals,4_phase5c_fallback,True,OK,,163,1985-09-30,2026-04-24,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/TXN.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,TXN,fundamentals,4_phase5c_fallback,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/TXN.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,TXN,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/TXN.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,TXN,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=TXN.US&<API_KEY_REDACTED>
earnings_history,ORCL,fundamentals,4_phase5c_fallback,True,OK,,132,1993-11-30,2026-09-09,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/ORCL.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,ORCL,fundamentals,4_phase5c_fallback,True,OK,,164,1985-08-31,2026-06-22,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/ORCL.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,ORCL,fundamentals,4_phase5c_fallback,True,OK,,41,2017-05-31,2028-05-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/ORCL.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,ORCL,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/ORCL.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,ORCL,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=ORCL.US&<API_KEY_REDACTED>
earnings_history,CRM,fundamentals,4_phase5c_fallback,True,OK,,89,2004-08-19,2026-09-02,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/CRM.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,CRM,fundamentals,4_phase5c_fallback,True,OK,,97,2003-04-30,2026-05-28,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/CRM.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,CRM,fundamentals,4_phase5c_fallback,True,OK,,41,2017-04-30,2028-01-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/CRM.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,CRM,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/CRM.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,CRM,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=CRM.US&<API_KEY_REDACTED>
earnings_history,NFLX,fundamentals,4_phase5c_fallback,True,OK,,97,2002-07-24,2026-07-16,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/NFLX.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,NFLX,fundamentals,4_phase5c_fallback,True,OK,,105,2000-03-31,2026-04-17,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/NFLX.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,NFLX,fundamentals,4_phase5c_fallback,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/NFLX.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,NFLX,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/NFLX.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,NFLX,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=NFLX.US&<API_KEY_REDACTED>
earnings_history,MU,fundamentals,4_phase5c_fallback,True,OK,,125,1995-06-14,2026-06-24,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/MU.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,MU,fundamentals,4_phase5c_fallback,True,OK,,164,1985-08-31,2026-03-19,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/MU.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,MU,fundamentals,4_phase5c_fallback,True,OK,,40,2017-05-31,2027-08-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/MU.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,MU,fundamentals,4_phase5c_fallback,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/MU.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,MU,earnings_calendar,4_phase5c_fallback,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=MU.US&<API_KEY_REDACTED>
