name,kind,first_half_ic,second_half_ic,subperiod_stable,n_months
f_level_raw,scenario,0.0079,-0.015,False,101
f_level_sn,scenario,0.0203,-0.0022,False,101
f_chg1_raw,scenario,0.0007,0.0042,True,101
f_chg1_sn,scenario,-0.0008,0.0111,False,101
f_accel_raw,scenario,-0.0128,0.0262,False,101
f_accel_sn,scenario,-0.0071,0.031,False,101
f_lag1_raw,scenario,0.0069,-0.0171,False,101
f_lag1_sn,scenario,0.0268,-0.0106,False,101
f_rmean_5_raw,scenario,0.0036,-0.0183,False,101
f_rmean_5_sn,scenario,0.023,-0.0051,False,101
f_rstd_5_raw,scenario,0.0039,-0.0051,False,101
f_rstd_5_sn,scenario,0.017,0.0056,True,101
f_rchg_5_raw,scenario,0.0176,-0.0065,False,101
f_rchg_5_sn,scenario,0.0044,0.0077,True,101
f_rmean_21_raw,scenario,0.0038,-0.0208,False,101
f_rmean_21_sn,scenario,0.0262,-0.0053,False,101
f_rstd_21_raw,scenario,0.0119,-0.0029,False,101
f_rstd_21_sn,scenario,0.0229,0.004,True,101
f_rchg_21_raw,scenario,0.0035,-0.0024,False,101
f_rchg_21_sn,scenario,-0.0074,0.0097,False,101
f_rmean_63_raw,scenario,0.0038,-0.0208,False,101
f_rmean_63_sn,scenario,0.0262,-0.0053,False,101
f_rstd_63_raw,scenario,0.0119,-0.0029,False,101
f_rstd_63_sn,scenario,0.0229,0.004,True,101
f_rchg_63_raw,scenario,0.0035,-0.0024,False,101
f_rchg_63_sn,scenario,-0.0074,0.0097,False,101
f_z_raw,scenario,0.0079,-0.015,False,101
f_z_sn,scenario,0.0203,-0.0022,False,101
f_sector_z_raw,scenario,0.0136,-0.0078,False,101
f_sector_z_sn,scenario,0.0136,-0.0078,False,101
f_rank_raw,scenario,0.0079,-0.015,False,101
f_rank_sn,scenario,0.0127,-0.0076,False,101
f_winz_raw,scenario,0.0079,-0.015,False,101
f_winz_sn,scenario,0.0233,-0.0029,False,101
f_x_surprise_raw,scenario,-0.0176,-0.019,False,101
f_x_surprise_sn,scenario,-0.0108,-0.0209,False,101
f_x_quality_raw,scenario,-0.0493,-0.0121,False,101
f_x_quality_sn,scenario,-0.0356,-0.0175,False,101
f_x_value_raw,scenario,-0.0234,-0.0078,False,101
f_x_value_sn,scenario,-0.0302,-0.0097,False,101
f_x_mom_raw,scenario,-0.0094,0.0073,False,101
f_x_mom_sn,scenario,-0.017,-0.0019,False,101
orthogonal_blend__ic_weighted,model,-0.0042,-0.001,False,96
orthogonal_blend__equal,model,0.0174,-0.0004,False,96
ix_short_interest_ratio_x_surprise,scenario,-0.0176,-0.019,False,101
ix_short_interest_ratio_x_momentum,scenario,-0.0094,0.0073,False,101
ix_short_interest_ratio_x_quality,scenario,-0.0493,-0.0121,False,101
ix_short_interest_ratio_x_value,scenario,-0.0234,-0.0078,False,101
