name,kind,family,ic_old,t_old,ic_new,t_new,both_cohorts_positive,old_cohort_only
f_level_raw,scenario,orthogonal,0.0045,0.25,0.0081,0.37,True,False
f_level_sn,scenario,orthogonal,0.0047,0.26,0.0066,0.3,True,False
f_chg1_raw,scenario,orthogonal,-0.0004,-0.02,0.0024,0.12,False,False
f_chg1_sn,scenario,orthogonal,0.0016,0.09,0.0037,0.19,True,False
f_accel_raw,scenario,orthogonal,-0.0015,-0.09,0.0043,0.21,False,False
f_accel_sn,scenario,orthogonal,0.0026,0.15,0.0054,0.27,True,False
f_lag1_raw,scenario,orthogonal,-0.0013,-0.07,0.0085,0.42,False,False
f_lag1_sn,scenario,orthogonal,-0.0013,-0.08,0.0067,0.33,False,False
f_rmean_5_raw,scenario,orthogonal,0.0036,0.18,0.0016,0.07,True,False
f_rmean_5_sn,scenario,orthogonal,-0.0004,-0.02,-0.0002,-0.01,False,False
f_rstd_5_raw,scenario,orthogonal,0.0019,0.1,0.0229,1.16,True,False
f_rstd_5_sn,scenario,orthogonal,-0.002,-0.11,0.0215,1.09,False,False
f_rchg_5_raw,scenario,orthogonal,-0.0115,-0.66,0.008,0.37,False,False
f_rchg_5_sn,scenario,orthogonal,-0.0043,-0.26,0.0088,0.4,False,False
f_rmean_21_raw,scenario,orthogonal,0.0032,0.17,0.0031,0.14,True,False
f_rmean_21_sn,scenario,orthogonal,0.001,0.05,0.0015,0.07,True,False
f_rstd_21_raw,scenario,orthogonal,0.011,0.58,0.0247,1.18,True,False
f_rstd_21_sn,scenario,orthogonal,0.0009,0.05,0.0234,1.12,True,False
f_rchg_21_raw,scenario,orthogonal,-0.0156,-0.88,-0.0026,-0.15,False,False
f_rchg_21_sn,scenario,orthogonal,-0.0045,-0.26,-0.0026,-0.14,False,False
f_rmean_63_raw,scenario,orthogonal,0.0032,0.17,0.0031,0.14,True,False
f_rmean_63_sn,scenario,orthogonal,0.001,0.05,0.0015,0.07,True,False
f_rstd_63_raw,scenario,orthogonal,0.011,0.58,0.0247,1.18,True,False
f_rstd_63_sn,scenario,orthogonal,0.0009,0.05,0.0234,1.12,True,False
f_rchg_63_raw,scenario,orthogonal,-0.0156,-0.88,-0.0026,-0.15,False,False
f_rchg_63_sn,scenario,orthogonal,-0.0045,-0.26,-0.0026,-0.14,False,False
f_z_raw,scenario,orthogonal,0.0045,0.25,0.0081,0.37,True,False
f_z_sn,scenario,orthogonal,0.0047,0.26,0.0066,0.3,True,False
f_sector_z_raw,scenario,orthogonal,0.0033,0.19,0.0077,0.36,True,False
f_sector_z_sn,scenario,orthogonal,0.0061,0.34,0.0066,0.3,True,False
f_rank_raw,scenario,orthogonal,0.0045,0.25,0.0081,0.37,True,False
f_rank_sn,scenario,orthogonal,0.0056,0.33,0.0071,0.33,True,False
f_winz_raw,scenario,orthogonal,0.0045,0.25,0.0081,0.37,True,False
f_winz_sn,scenario,orthogonal,0.0047,0.26,0.0067,0.31,True,False
f_x_surprise_raw,scenario,orthogonal,-0.0325,-2.25,-0.0034,-0.18,False,False
f_x_surprise_sn,scenario,orthogonal,-0.0387,-2.29,-0.0036,-0.2,False,False
f_x_quality_raw,scenario,orthogonal,-0.034,-2.07,-0.0095,-0.51,False,False
f_x_quality_sn,scenario,orthogonal,-0.0411,-2.42,-0.0101,-0.54,False,False
f_x_value_raw,scenario,orthogonal,-0.0024,-0.12,-0.039,-2.26,False,False
f_x_value_sn,scenario,orthogonal,-0.0054,-0.33,-0.038,-2.2,False,False
f_x_mom_raw,scenario,orthogonal,-0.0027,-0.15,-0.0066,-0.41,False,False
f_x_mom_sn,scenario,orthogonal,-0.0129,-0.8,-0.0063,-0.39,False,False
orthogonal_blend__ic_weighted,model,model,0.0265,1.56,-0.0334,-1.58,False,True
orthogonal_blend__equal,model,model,0.0311,1.53,-0.0284,-1.23,False,True
ix_short_interest_ratio_x_surprise,scenario,interaction,-0.0325,-2.25,-0.0034,-0.18,False,False
ix_short_interest_ratio_x_momentum,scenario,interaction,-0.0027,-0.15,-0.0066,-0.41,False,False
ix_short_interest_ratio_x_quality,scenario,interaction,-0.034,-2.07,-0.0095,-0.51,False,False
ix_short_interest_ratio_x_value,scenario,interaction,-0.0024,-0.12,-0.039,-2.26,False,False
