family,provider,ticker,raw_path,rows,gitignored
short_interest_days_to_cover,Polygon,A,research/data/polygon/raw/short_interest_days_to_cover/A.json,10,True
short_interest_days_to_cover,Polygon,AAPL,research/data/polygon/raw/short_interest_days_to_cover/AAPL.json,10,True
short_interest_days_to_cover,Polygon,ABBV,research/data/polygon/raw/short_interest_days_to_cover/ABBV.json,10,True
short_interest_days_to_cover,Polygon,ABNB,research/data/polygon/raw/short_interest_days_to_cover/ABNB.json,10,True
short_interest_days_to_cover,Polygon,ABT,research/data/polygon/raw/short_interest_days_to_cover/ABT.json,10,True
short_interest_days_to_cover,Polygon,ACGL,research/data/polygon/raw/short_interest_days_to_cover/ACGL.json,10,True
short_interest_days_to_cover,Polygon,ACN,research/data/polygon/raw/short_interest_days_to_cover/ACN.json,10,True
short_interest_days_to_cover,Polygon,ADBE,research/data/polygon/raw/short_interest_days_to_cover/ADBE.json,10,True
short_interest_days_to_cover,Polygon,ADI,research/data/polygon/raw/short_interest_days_to_cover/ADI.json,10,True
short_interest_days_to_cover,Polygon,ADM,research/data/polygon/raw/short_interest_days_to_cover/ADM.json,10,True
short_interest_days_to_cover,Polygon,ADP,research/data/polygon/raw/short_interest_days_to_cover/ADP.json,10,True
short_interest_days_to_cover,Polygon,ADSK,research/data/polygon/raw/short_interest_days_to_cover/ADSK.json,10,True
short_interest_days_to_cover,Polygon,AEE,research/data/polygon/raw/short_interest_days_to_cover/AEE.json,10,True
short_interest_days_to_cover,Polygon,AEM,research/data/polygon/raw/short_interest_days_to_cover/AEM.json,10,True
short_interest_days_to_cover,Polygon,AEP,research/data/polygon/raw/short_interest_days_to_cover/AEP.json,10,True
short_interest_days_to_cover,Polygon,AES,research/data/polygon/raw/short_interest_days_to_cover/AES.json,10,True
short_interest_days_to_cover,Polygon,AFL,research/data/polygon/raw/short_interest_days_to_cover/AFL.json,10,True
short_interest_days_to_cover,Polygon,AIG,research/data/polygon/raw/short_interest_days_to_cover/AIG.json,10,True
short_interest_days_to_cover,Polygon,AIZ,research/data/polygon/raw/short_interest_days_to_cover/AIZ.json,10,True
short_interest_days_to_cover,Polygon,AJG,research/data/polygon/raw/short_interest_days_to_cover/AJG.json,10,True
short_interest_days_to_cover,Polygon,AKAM,research/data/polygon/raw/short_interest_days_to_cover/AKAM.json,10,True
short_interest_days_to_cover,Polygon,ALAB,research/data/polygon/raw/short_interest_days_to_cover/ALAB.json,10,True
short_interest_days_to_cover,Polygon,ALB,research/data/polygon/raw/short_interest_days_to_cover/ALB.json,10,True
short_interest_days_to_cover,Polygon,ALGN,research/data/polygon/raw/short_interest_days_to_cover/ALGN.json,10,True
short_interest_days_to_cover,Polygon,ALL,research/data/polygon/raw/short_interest_days_to_cover/ALL.json,10,True
short_interest_days_to_cover,Polygon,ALLE,research/data/polygon/raw/short_interest_days_to_cover/ALLE.json,10,True
short_interest_days_to_cover,Polygon,AMAT,research/data/polygon/raw/short_interest_days_to_cover/AMAT.json,10,True
short_interest_days_to_cover,Polygon,AMCR,research/data/polygon/raw/short_interest_days_to_cover/AMCR.json,10,True
short_interest_days_to_cover,Polygon,AMD,research/data/polygon/raw/short_interest_days_to_cover/AMD.json,10,True
short_interest_days_to_cover,Polygon,AME,research/data/polygon/raw/short_interest_days_to_cover/AME.json,10,True
short_interest_days_to_cover,Polygon,AMGN,research/data/polygon/raw/short_interest_days_to_cover/AMGN.json,10,True
short_interest_days_to_cover,Polygon,AMP,research/data/polygon/raw/short_interest_days_to_cover/AMP.json,10,True
short_interest_days_to_cover,Polygon,AMT,research/data/polygon/raw/short_interest_days_to_cover/AMT.json,10,True
short_interest_days_to_cover,Polygon,AMX,research/data/polygon/raw/short_interest_days_to_cover/AMX.json,10,True
short_interest_days_to_cover,Polygon,AMZN,research/data/polygon/raw/short_interest_days_to_cover/AMZN.json,10,True
short_interest_days_to_cover,Polygon,ANET,research/data/polygon/raw/short_interest_days_to_cover/ANET.json,10,True
short_interest_days_to_cover,Polygon,AON,research/data/polygon/raw/short_interest_days_to_cover/AON.json,10,True
short_interest_days_to_cover,Polygon,AOS,research/data/polygon/raw/short_interest_days_to_cover/AOS.json,10,True
short_interest_days_to_cover,Polygon,APA,research/data/polygon/raw/short_interest_days_to_cover/APA.json,10,True
short_interest_days_to_cover,Polygon,APD,research/data/polygon/raw/short_interest_days_to_cover/APD.json,10,True
short_interest_days_to_cover,Polygon,APH,research/data/polygon/raw/short_interest_days_to_cover/APH.json,10,True
short_interest_days_to_cover,Polygon,APO,research/data/polygon/raw/short_interest_days_to_cover/APO.json,10,True
short_interest_days_to_cover,Polygon,APP,research/data/polygon/raw/short_interest_days_to_cover/APP.json,10,True
short_interest_days_to_cover,Polygon,APTV,research/data/polygon/raw/short_interest_days_to_cover/APTV.json,10,True
short_interest_days_to_cover,Polygon,ARE,research/data/polygon/raw/short_interest_days_to_cover/ARE.json,10,True
