name,kind,gross_spread,avg_turnover,net_10bps,net_25bps,net_50bps
f_level_raw,scenario,-0.0005,0.9993,-0.0025,-0.0055,-0.0105
f_level_sn,scenario,-0.0014,0.9993,-0.0034,-0.0064,-0.0114
f_chg1_raw,scenario,0.0032,0.999,0.0012,-0.0018,-0.0068
f_chg1_sn,scenario,0.0017,0.9986,-0.0003,-0.0033,-0.0083
f_accel_raw,scenario,0.0035,0.9986,0.0015,-0.0015,-0.0065
f_accel_sn,scenario,0.0048,0.9986,0.0028,-0.0002,-0.0052
f_lag1_raw,scenario,0.0011,0.9991,-0.0009,-0.0039,-0.0089
f_lag1_sn,scenario,-0.0009,0.9991,-0.0029,-0.0059,-0.0109
f_rmean_5_raw,scenario,0.0004,0.9991,-0.0016,-0.0045,-0.0095
f_rmean_5_sn,scenario,0.002,0.9991,-0.0,-0.003,-0.008
f_rstd_5_raw,scenario,-0.0008,0.9994,-0.0028,-0.0058,-0.0108
f_rstd_5_sn,scenario,0.0015,0.9994,-0.0005,-0.0035,-0.0085
f_rchg_5_raw,scenario,0.0011,0.9977,-0.0009,-0.0039,-0.0089
f_rchg_5_sn,scenario,0.0019,0.9977,-0.0001,-0.0031,-0.0081
f_rmean_21_raw,scenario,0.0008,0.9991,-0.0012,-0.0042,-0.0092
f_rmean_21_sn,scenario,-0.0004,0.9991,-0.0024,-0.0054,-0.0104
f_rstd_21_raw,scenario,0.0036,0.9996,0.0016,-0.0014,-0.0063
f_rstd_21_sn,scenario,0.0016,0.9996,-0.0004,-0.0034,-0.0084
f_rchg_21_raw,scenario,-0.0018,0.9994,-0.0038,-0.0068,-0.0118
f_rchg_21_sn,scenario,-0.0013,0.9977,-0.0033,-0.0063,-0.0113
f_rmean_63_raw,scenario,0.0008,0.9991,-0.0012,-0.0042,-0.0092
f_rmean_63_sn,scenario,-0.0004,0.9991,-0.0024,-0.0054,-0.0104
f_rstd_63_raw,scenario,0.0036,0.9996,0.0016,-0.0014,-0.0063
f_rstd_63_sn,scenario,0.0016,0.9996,-0.0004,-0.0034,-0.0084
f_rchg_63_raw,scenario,-0.0018,0.9994,-0.0038,-0.0068,-0.0118
f_rchg_63_sn,scenario,-0.0013,0.9977,-0.0033,-0.0063,-0.0113
f_z_raw,scenario,-0.0005,0.9993,-0.0025,-0.0055,-0.0105
f_z_sn,scenario,-0.0014,0.9993,-0.0034,-0.0064,-0.0114
f_sector_z_raw,scenario,-0.0005,0.9993,-0.0025,-0.0055,-0.0105
f_sector_z_sn,scenario,-0.0005,0.9993,-0.0025,-0.0055,-0.0105
f_rank_raw,scenario,-0.0005,0.9993,-0.0025,-0.0055,-0.0105
f_rank_sn,scenario,-0.0006,0.9993,-0.0026,-0.0056,-0.0106
f_winz_raw,scenario,-0.0005,0.9993,-0.0025,-0.0055,-0.0105
f_winz_sn,scenario,-0.0011,0.9993,-0.0031,-0.0061,-0.0111
f_x_surprise_raw,scenario,-0.0049,0.9998,-0.0069,-0.0099,-0.0149
f_x_surprise_sn,scenario,-0.0039,0.9998,-0.0059,-0.0089,-0.0139
f_x_quality_raw,scenario,-0.0081,0.9984,-0.0101,-0.013,-0.018
f_x_quality_sn,scenario,-0.0095,0.9986,-0.0115,-0.0145,-0.0195
f_x_value_raw,scenario,-0.0036,0.9982,-0.0056,-0.0086,-0.0136
f_x_value_sn,scenario,-0.0037,0.9985,-0.0057,-0.0087,-0.0137
f_x_mom_raw,scenario,0.0027,0.9989,0.0007,-0.0023,-0.0073
f_x_mom_sn,scenario,0.0004,0.9989,-0.0016,-0.0046,-0.0096
orthogonal_blend__ic_weighted,model,-0.0016,0.9993,-0.0036,-0.0066,-0.0116
orthogonal_blend__equal,model,0.0009,0.9978,-0.0011,-0.0041,-0.0091
ix_short_interest_ratio_x_surprise,scenario,-0.0049,0.9998,-0.0069,-0.0099,-0.0149
ix_short_interest_ratio_x_momentum,scenario,0.0027,0.9989,0.0007,-0.0023,-0.0073
ix_short_interest_ratio_x_quality,scenario,-0.0081,0.9984,-0.0101,-0.013,-0.018
ix_short_interest_ratio_x_value,scenario,-0.0036,0.9982,-0.0056,-0.0086,-0.0136
