ticker,warning_type,fiscal_period_end,fiscal_period,form,feature_name,feature_value,severity,note
AAPL,annual_quarterly_mix_risk,2016-12-31,FY,10-K,snapshot_type,2016-12-31,warning,FY-tagged period end is not the canonical full-year end for this fiscal year (embedded quarterly duration); excluded from annual yoy comparisons
AAPL,missing_required_source_field,2016-12-31,FY,10-K,net_income,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2016-12-31,FY,10-K,total_assets,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2016-12-31,FY,10-K,operating_cash_flow,,info,required source field absent in this snapshot
AAPL,annual_quarterly_mix_risk,2017-04-01,FY,10-K,snapshot_type,2017-04-01,warning,FY-tagged period end is not the canonical full-year end for this fiscal year (embedded quarterly duration); excluded from annual yoy comparisons
AAPL,missing_required_source_field,2017-04-01,FY,10-K,net_income,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2017-04-01,FY,10-K,total_assets,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2017-04-01,FY,10-K,operating_cash_flow,,info,required source field absent in this snapshot
AAPL,annual_quarterly_mix_risk,2017-07-01,FY,10-K,snapshot_type,2017-07-01,warning,FY-tagged period end is not the canonical full-year end for this fiscal year (embedded quarterly duration); excluded from annual yoy comparisons
AAPL,missing_required_source_field,2017-07-01,FY,10-K,net_income,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2017-07-01,FY,10-K,total_assets,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2017-07-01,FY,10-K,operating_cash_flow,,info,required source field absent in this snapshot
AAPL,annual_quarterly_mix_risk,2017-09-30,FY,10-K,snapshot_type,2017-09-30,warning,FY-tagged period end is not the canonical full-year end for this fiscal year (embedded quarterly duration); excluded from annual yoy comparisons
AAPL,missing_required_source_field,2017-09-30,FY,10-K,net_income,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2017-09-30,FY,10-K,total_assets,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2017-09-30,FY,10-K,operating_cash_flow,,info,required source field absent in this snapshot
AAPL,annual_quarterly_mix_risk,2017-12-30,FY,10-K,snapshot_type,2017-12-30,warning,FY-tagged period end is not the canonical full-year end for this fiscal year (embedded quarterly duration); excluded from annual yoy comparisons
AAPL,missing_required_source_field,2017-12-30,FY,10-K,net_income,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2017-12-30,FY,10-K,total_assets,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2017-12-30,FY,10-K,operating_cash_flow,,info,required source field absent in this snapshot
AAPL,annual_quarterly_mix_risk,2018-03-31,FY,10-K,snapshot_type,2018-03-31,warning,FY-tagged period end is not the canonical full-year end for this fiscal year (embedded quarterly duration); excluded from annual yoy comparisons
AAPL,missing_required_source_field,2018-03-31,FY,10-K,net_income,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2018-03-31,FY,10-K,total_assets,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2018-03-31,FY,10-K,operating_cash_flow,,info,required source field absent in this snapshot
AAPL,annual_quarterly_mix_risk,2018-06-30,FY,10-K,snapshot_type,2018-06-30,warning,FY-tagged period end is not the canonical full-year end for this fiscal year (embedded quarterly duration); excluded from annual yoy comparisons
AAPL,missing_required_source_field,2018-06-30,FY,10-K,net_income,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2018-06-30,FY,10-K,total_assets,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2018-06-30,FY,10-K,operating_cash_flow,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2018-09-29,FY,10-K,net_income,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2018-09-29,FY,10-K,total_assets,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2018-09-29,FY,10-K,operating_cash_flow,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2024-06-29,Q3,10-Q,revenue,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2024-06-29,Q3,10-Q,total_assets,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2024-09-28,FY,10-K,revenue,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2024-09-28,FY,10-K,total_assets,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2024-12-28,Q1,10-Q,revenue,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-03-29,Q2,10-Q,revenue,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-03-29,Q3,10-Q,revenue,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-03-29,Q3,10-Q,net_income,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-03-29,Q3,10-Q,total_assets,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-03-29,Q3,10-Q,operating_cash_flow,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-06-28,Q3,10-Q,revenue,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-09-27,FY,10-K,revenue,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-09-27,Q1,10-Q,revenue,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-09-27,Q1,10-Q,net_income,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-09-27,Q1,10-Q,operating_cash_flow,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-09-27,Q2,10-Q,revenue,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-09-27,Q2,10-Q,net_income,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-09-27,Q2,10-Q,operating_cash_flow,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-12-27,Q1,10-Q,revenue,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-12-27,Q2,10-Q,revenue,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-12-27,Q2,10-Q,net_income,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-12-27,Q2,10-Q,total_assets,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2025-12-27,Q2,10-Q,operating_cash_flow,,info,required source field absent in this snapshot
AAPL,missing_required_source_field,2026-03-28,Q2,10-Q,revenue,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2015-06-30,Q2,10-Q,revenue,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2015-06-30,Q2,10-Q,net_income,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2015-06-30,Q2,10-Q,total_assets,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2015-06-30,Q2,10-Q,operating_cash_flow,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2015-09-30,Q3,10-Q,revenue,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2015-09-30,Q3,10-Q,net_income,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2015-09-30,Q3,10-Q,total_assets,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2015-09-30,Q3,10-Q,operating_cash_flow,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2015-12-31,FY,10-K,revenue,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2015-12-31,FY,10-K,net_income,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2015-12-31,FY,10-K,total_assets,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2015-12-31,FY,10-K,operating_cash_flow,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-03-31,Q1,10-Q,revenue,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-03-31,Q1,10-Q,net_income,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-03-31,Q1,10-Q,total_assets,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-03-31,Q1,10-Q,operating_cash_flow,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-06-30,Q2,10-Q,revenue,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-06-30,Q2,10-Q,net_income,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-06-30,Q2,10-Q,total_assets,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-06-30,Q2,10-Q,operating_cash_flow,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-09-30,Q3,10-Q,revenue,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-09-30,Q3,10-Q,net_income,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-09-30,Q3,10-Q,total_assets,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-09-30,Q3,10-Q,operating_cash_flow,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-12-31,FY,10-K,revenue,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-12-31,FY,10-K,net_income,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-12-31,FY,10-K,total_assets,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2016-12-31,FY,10-K,operating_cash_flow,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2017-03-31,Q1,10-Q,net_income,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2017-03-31,Q1,10-Q,total_assets,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2017-03-31,Q1,10-Q,operating_cash_flow,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2017-03-31,Q1,10-Q,revenue,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2017-03-31,Q1,10-Q,net_income,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2017-03-31,Q1,10-Q,total_assets,,info,required source field absent in this snapshot
AMZN,missing_required_source_field,2017-03-31,Q1,10-Q,operating_cash_flow,,info,required source field absent in this snapshot
AMZN,annual_quarterly_mix_risk,2017-06-30,FY,10-K,snapshot_type,2017-06-30,warning,FY-tagged period end is not the canonical full-year end for this fiscal year (embedded quarterly duration); excluded from annual yoy comparisons
