endpoint_name,alpha_family,ticker,requires_ticker,trial_safe,phase5e1_priority,request_url_redacted,expected_join_key,expected_date_key,leakage_risk
company_profile,universe_mapping,AAPL,True,True,4,https://financialmodelingprep.com/stable/profile?symbol=AAPL&<API_KEY_REDACTED>,symbol,,high
company_profile,universe_mapping,MSFT,True,True,4,https://financialmodelingprep.com/stable/profile?symbol=MSFT&<API_KEY_REDACTED>,symbol,,high
company_profile,universe_mapping,NVDA,True,True,4,https://financialmodelingprep.com/stable/profile?symbol=NVDA&<API_KEY_REDACTED>,symbol,,high
company_profile,universe_mapping,AMZN,True,True,4,https://financialmodelingprep.com/stable/profile?symbol=AMZN&<API_KEY_REDACTED>,symbol,,high
company_profile,universe_mapping,JPM,True,True,4,https://financialmodelingprep.com/stable/profile?symbol=JPM&<API_KEY_REDACTED>,symbol,,high
income_statement_quarterly,fundamentals,AAPL,True,True,1,https://financialmodelingprep.com/stable/income-statement?symbol=AAPL&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
income_statement_quarterly,fundamentals,MSFT,True,True,1,https://financialmodelingprep.com/stable/income-statement?symbol=MSFT&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
income_statement_quarterly,fundamentals,NVDA,True,True,1,https://financialmodelingprep.com/stable/income-statement?symbol=NVDA&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
income_statement_quarterly,fundamentals,AMZN,True,True,1,https://financialmodelingprep.com/stable/income-statement?symbol=AMZN&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
income_statement_quarterly,fundamentals,JPM,True,True,1,https://financialmodelingprep.com/stable/income-statement?symbol=JPM&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
balance_sheet_statement_quarterly,fundamentals,AAPL,True,True,1,https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=AAPL&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
balance_sheet_statement_quarterly,fundamentals,MSFT,True,True,1,https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=MSFT&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
balance_sheet_statement_quarterly,fundamentals,NVDA,True,True,1,https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=NVDA&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
balance_sheet_statement_quarterly,fundamentals,AMZN,True,True,1,https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=AMZN&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
balance_sheet_statement_quarterly,fundamentals,JPM,True,True,1,https://financialmodelingprep.com/stable/balance-sheet-statement?symbol=JPM&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
cash_flow_statement_quarterly,fundamentals,AAPL,True,True,2,https://financialmodelingprep.com/stable/cash-flow-statement?symbol=AAPL&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
cash_flow_statement_quarterly,fundamentals,MSFT,True,True,2,https://financialmodelingprep.com/stable/cash-flow-statement?symbol=MSFT&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
cash_flow_statement_quarterly,fundamentals,NVDA,True,True,2,https://financialmodelingprep.com/stable/cash-flow-statement?symbol=NVDA&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
cash_flow_statement_quarterly,fundamentals,AMZN,True,True,2,https://financialmodelingprep.com/stable/cash-flow-statement?symbol=AMZN&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
cash_flow_statement_quarterly,fundamentals,JPM,True,True,2,https://financialmodelingprep.com/stable/cash-flow-statement?symbol=JPM&period=quarter&<API_KEY_REDACTED>,symbol,fillingDate,low
key_metrics_quarterly,fundamentals,AAPL,True,True,2,https://financialmodelingprep.com/stable/key-metrics?symbol=AAPL&period=quarter&<API_KEY_REDACTED>,symbol,date,medium
key_metrics_quarterly,fundamentals,MSFT,True,True,2,https://financialmodelingprep.com/stable/key-metrics?symbol=MSFT&period=quarter&<API_KEY_REDACTED>,symbol,date,medium
key_metrics_quarterly,fundamentals,NVDA,True,True,2,https://financialmodelingprep.com/stable/key-metrics?symbol=NVDA&period=quarter&<API_KEY_REDACTED>,symbol,date,medium
key_metrics_quarterly,fundamentals,AMZN,True,True,2,https://financialmodelingprep.com/stable/key-metrics?symbol=AMZN&period=quarter&<API_KEY_REDACTED>,symbol,date,medium
key_metrics_quarterly,fundamentals,JPM,True,True,2,https://financialmodelingprep.com/stable/key-metrics?symbol=JPM&period=quarter&<API_KEY_REDACTED>,symbol,date,medium
ratios_quarterly,fundamentals,AAPL,True,True,2,https://financialmodelingprep.com/stable/ratios?symbol=AAPL&period=quarter&<API_KEY_REDACTED>,symbol,date,medium
ratios_quarterly,fundamentals,MSFT,True,True,2,https://financialmodelingprep.com/stable/ratios?symbol=MSFT&period=quarter&<API_KEY_REDACTED>,symbol,date,medium
ratios_quarterly,fundamentals,NVDA,True,True,2,https://financialmodelingprep.com/stable/ratios?symbol=NVDA&period=quarter&<API_KEY_REDACTED>,symbol,date,medium
ratios_quarterly,fundamentals,AMZN,True,True,2,https://financialmodelingprep.com/stable/ratios?symbol=AMZN&period=quarter&<API_KEY_REDACTED>,symbol,date,medium
