scenario,signal,mean_ic,ic_t,mean_spread,spread_hit_rate,net_spread_10bps,n_events,n_months
sue_standardized,sue,0.0366,2.19,0.0031,0.5833,0.0011,26392,120
surprise_sector_neutral,surprise_pct,0.0514,2.96,0.0109,0.6417,0.0089,27279,120
