ticker,priority,in_price_cache,cached_before,targeted_for_acquisition
MFC,3_priced_universe,True,False,True
MFG,3_priced_universe,True,False,True
MGCLY,3_priced_universe,True,False,True
MMM,3_priced_universe,True,False,True
MNST,3_priced_universe,True,False,True
MO,3_priced_universe,True,False,True
MPC,3_priced_universe,True,False,True
MPWR,3_priced_universe,True,False,True
MRK,3_priced_universe,True,False,True
MRSH,3_priced_universe,True,False,True
MRVL,3_priced_universe,True,False,True
MS,3_priced_universe,True,False,True
MSI,3_priced_universe,True,False,True
MU,3_priced_universe,True,True,False
MUFG,3_priced_universe,True,False,True
NBIS,3_priced_universe,True,False,True
NEE,3_priced_universe,True,False,True
NEM,3_priced_universe,True,False,True
NET,3_priced_universe,True,False,True
NFLX,3_priced_universe,True,True,False
NGG,3_priced_universe,True,False,True
NKE,3_priced_universe,True,False,True
NOC,3_priced_universe,True,False,True
NOK,3_priced_universe,True,False,True
NOW,3_priced_universe,True,False,True
NSC,3_priced_universe,True,False,True
NTES,3_priced_universe,True,False,True
NU,3_priced_universe,True,False,True
NUE,3_priced_universe,True,False,True
NVO,3_priced_universe,True,False,True
NVS,3_priced_universe,True,False,True
NWG,3_priced_universe,True,False,True
NXPI,3_priced_universe,True,False,True
O,3_priced_universe,True,False,True
ORCL,3_priced_universe,True,True,False
ORLY,3_priced_universe,True,False,True
PANW,3_priced_universe,True,False,True
PBR,3_priced_universe,True,False,True
PCAR,3_priced_universe,True,False,True
PDD,3_priced_universe,True,False,True
PEP,3_priced_universe,True,True,False
PFE,3_priced_universe,True,False,True
PG,3_priced_universe,True,False,True
PGR,3_priced_universe,True,False,True
PH,3_priced_universe,True,False,True
PLD,3_priced_universe,True,False,True
PLTR,3_priced_universe,True,False,True
PM,3_priced_universe,True,False,True
PNC,3_priced_universe,True,False,True
PSX,3_priced_universe,True,False,True
PWR,3_priced_universe,True,False,True
QCOM,3_priced_universe,True,True,False
RACE,3_priced_universe,True,False,True
RCL,3_priced_universe,True,False,True
REGN,3_priced_universe,True,False,True
RELX,3_priced_universe,True,False,True
RIO,3_priced_universe,True,False,True
RKLB,3_priced_universe,True,False,True
ROST,3_priced_universe,True,False,True
RSG,3_priced_universe,True,False,True
RTNTF,3_priced_universe,True,False,True
RTX,3_priced_universe,True,False,True
RY,3_priced_universe,True,False,True
SAN,3_priced_universe,True,False,True
SAP,3_priced_universe,True,False,True
SBUX,3_priced_universe,True,False,True
SCCO,3_priced_universe,True,False,True
SCHW,3_priced_universe,True,False,True
SHEL,3_priced_universe,True,False,True
SHOP,3_priced_universe,True,False,True
SHW,3_priced_universe,True,False,True
SLB,3_priced_universe,True,False,True
SMERY,3_priced_universe,True,False,True
SMFG,3_priced_universe,True,False,True
SNDK,3_priced_universe,True,False,True
SNHIY,3_priced_universe,True,False,True
SNOW,3_priced_universe,True,False,True
SNPS,3_priced_universe,True,False,True
SNY,3_priced_universe,True,False,True
SO,3_priced_universe,True,False,True
SONY,3_priced_universe,True,False,True
SPG,3_priced_universe,True,False,True
SPGI,3_priced_universe,True,False,True
SPOT,3_priced_universe,True,False,True
SPY,3_priced_universe,True,False,True
SRE,3_priced_universe,True,False,True
STM,3_priced_universe,True,False,True
STX,3_priced_universe,True,False,True
SU,3_priced_universe,True,False,True
SYK,3_priced_universe,True,False,True
T,3_priced_universe,True,False,True
TD,3_priced_universe,True,False,True
TDG,3_priced_universe,True,False,True
TEL,3_priced_universe,True,False,True
TER,3_priced_universe,True,False,True
TFC,3_priced_universe,True,False,True
TGT,3_priced_universe,True,False,True
TJX,3_priced_universe,True,False,True
TM,3_priced_universe,True,False,True
TMO,3_priced_universe,True,False,True
