ticker,status,earnings_rows,requests_made_cumulative,checkpoint
ABNB,OK,26,1,
AEM,OK,124,2,
AEP,OK,122,3,
AFL,OK,130,4,
ALAB,OK,11,5,
AMT,OK,114,6,
AMX,OK,100,7,
ANET,OK,49,8,
APO,OK,64,9,
APP,OK,23,10,
ARM,OK,13,11,
ASML,OK,110,12,
ASX,OK,86,13,
ATEYY,OK,71,14,
AXP,OK,130,15,
AZN,OK,91,16,
B,OK,105,17,
BA,OK,122,18,
BABA,OK,49,19,
BAC,OK,124,20,
BAESY,OK,59,21,
BAM,OK,114,22,
BBVA,OK,85,23,
BCS,OK,66,24,
BE,OK,36,25,
BHP,OK,67,26,
BKNG,OK,110,27,
BKR,OK,122,28,
BLK,OK,107,29,
BMO,OK,123,30,
BMY,OK,122,31,
BN,OK,117,32,
BNS,OK,123,33,
BNY,OK,114,34,
BP,OK,127,35,
BSX,OK,122,36,
BTI,OK,86,37,
BUD,OK,66,38,
BX,OK,77,39,
C,OK,130,40,
CAT,OK,124,41,
CB,OK,124,42,
CDNS,OK,122,43,
CEG,OK,20,44,
CI,OK,122,45,
CIEN,OK,117,46,
CL,OK,124,47,
CM,OK,124,48,
CMCSA,OK,122,49,
CME,OK,95,50,checkpoint
CMI,OK,122,51,
CNI,OK,120,52,
CNQ,OK,119,53,
COF,OK,122,54,
COHR,OK,127,55,
COP,OK,122,56,
CP,OK,100,57,
CRH,OK,62,58,
CRWD,OK,30,59,
CSX,OK,122,60,
CTAS,OK,124,61,
CVNA,OK,39,62,
CVS,OK,122,63,
CVX,OK,124,64,
CYATY,OK,3,65,
D,OK,120,66,
DASH,OK,27,67,
DB,OK,91,68,
DDOG,OK,29,69,
DE,OK,122,70,
DELL,OK,39,71,
DHR,OK,124,72,
DIS,OK,122,73,
DLR,OK,87,74,
DTEGY,OK,75,75,
DUK,OK,122,76,
E,OK,94,77,
ECL,OK,122,78,
ELV,OK,100,79,
EMR,OK,125,80,
ENB,OK,112,81,
EOG,OK,122,82,
EPD,OK,112,83,
EQIX,OK,104,84,
EQNR,OK,98,85,
ET,OK,82,86,
ETN,OK,122,87,
F,OK,130,88,
FCX,OK,124,89,
FDX,OK,121,90,
FIX,OK,116,91,
FTNT,OK,68,92,
GD,OK,124,93,
GE,OK,130,94,
GEV,OK,11,95,
GILD,OK,124,96,
GLW,OK,122,97,
GM,OK,63,98,
GS,OK,109,99,
GSK,OK,116,100,checkpoint
GWW,OK,122,101,
HCA,OK,62,102,
HD,OK,122,103,
HDB,OK,62,104,
HLT,OK,51,105,
HON,OK,122,106,
HOOD,OK,24,107,
HPE,OK,43,108,
HSBC,OK,64,109,
HTHIY,OK,81,110,
HWM,OK,123,111,
IBKR,OK,78,112,
IBM,OK,130,113,
IBN,OK,66,114,
ICE,OK,84,115,
IFNNY,OK,105,116,
IMO,OK,125,117,
ING,OK,99,118,
INTU,OK,125,119,
ISRG,OK,105,120,
ITUB,OK,93,121,
ITW,OK,122,122,
JCI,OK,124,123,
JNJ,OK,122,124,
KEYS,OK,48,125,
KKR,OK,68,126,
KLAC,OK,123,127,
KMI,OK,66,128,
KXIAY,OK,1,129,
LIN,OK,125,130,
LITE,OK,45,131,
LLY,OK,122,132,
LMT,OK,124,133,
LOW,OK,124,134,
LRCX,OK,124,135,
LSEGY,OK,27,136,
LYG,OK,64,137,
MA,OK,82,138,
MAR,OK,123,139,
MCD,OK,122,140,
MCK,OK,123,141,
MCO,OK,114,142,
MDLN,OK,4,143,
MDLZ,OK,101,144,
MDT,OK,122,145,
MELI,OK,77,146,
MFC,OK,108,147,
MFG,OK,79,148,
MGCLY,OK,4,149,
MMM,OK,122,150,checkpoint
MNST,OK,122,151,
MO,OK,130,152,
MPC,OK,61,153,
MPWR,OK,87,154,
MRK,OK,124,155,
MRSH,OK,130,156,
MRVL,OK,105,157,
MS,OK,121,158,
MSI,OK,122,159,
MUFG,OK,78,160,
NBIS,OK,62,161,
NEE,OK,122,162,
NEM,OK,122,163,
NET,OK,29,164,
NGG,OK,59,165,
NKE,OK,124,166,
NOC,OK,122,167,
NOK,OK,122,168,
NOW,OK,57,169,
NSC,OK,124,170,
NTES,OK,98,171,
NU,OK,27,172,
NUE,OK,122,173,
NVO,OK,94,174,
NVS,OK,103,175,
NWG,OK,66,176,
NXPI,OK,65,177,
O,OK,114,178,
ORLY,OK,122,179,
PANW,OK,57,180,
PBR,OK,107,181,
PCAR,OK,122,182,
PDD,OK,33,183,
PFE,OK,124,184,
PG,OK,124,185,
PGR,OK,119,186,
PH,OK,122,187,
PLD,OK,114,188,
PLTR,OK,25,189,
PM,OK,74,190,
PNC,OK,123,191,
PSX,OK,58,192,
PWR,OK,114,193,
RACE,OK,44,194,
RCL,OK,122,195,
REGN,OK,127,196,
RELX,OK,63,197,
RIO,OK,75,198,
RKLB,OK,26,199,
ROST,OK,114,200,checkpoint
RSG,OK,112,201,
RTNTF,OK,44,202,
RTX,OK,124,203,
RY,OK,125,204,
SAN,OK,79,205,
SAP,OK,116,206,
SBUX,OK,124,207,
SCCO,OK,117,208,
SCHW,OK,122,209,
SHEL,OK,123,210,
SHOP,OK,46,211,
SHW,OK,122,212,
SLB,OK,120,213,
SMERY,OK,1,214,
SMFG,OK,77,215,
SNDK,OK,23,216,
SNHIY,OK,2,217,
SNOW,OK,26,218,
SNPS,OK,121,219,
SNY,OK,75,220,
SO,OK,122,221,
SONY,OK,94,222,
SPG,OK,114,223,
SPGI,OK,122,224,
SPOT,OK,38,225,
SPY,EMPTY,0,226,
SRE,OK,122,227,
STM,OK,125,228,
STX,OK,95,229,
SU,OK,123,230,
SYK,OK,122,231,
T,OK,122,232,
TD,OK,124,233,
TDG,OK,82,234,
TEL,OK,77,235,
TER,OK,124,236,
TFC,OK,124,237,
TGT,OK,119,238,
TJX,OK,130,239,
TM,OK,87,240,
TMO,OK,124,241,
TMUS,OK,78,242,
TRGP,OK,63,243,
TRP,OK,125,244,
TRV,OK,130,245,
TT,OK,124,246,
TTE,OK,104,247,
UBER,OK,31,248,
UBS,OK,75,249,
UL,OK,102,250,
UNH,OK,130,251,checkpoint
UNP,OK,124,252,
UPS,OK,107,253,
URI,OK,114,254,
USB,OK,125,255,
V,OK,74,256,
VALE,OK,107,257,
VLO,OK,122,258,
VRT,OK,32,259,
VRTX,OK,122,260,
VZ,OK,122,261,
WBD,OK,85,262,
WDC,OK,123,263,
WELL,OK,114,264,
WFC,OK,125,265,
WM,OK,122,266,
WMB,OK,123,267,
WMT,OK,122,268,
XOM,OK,130,269,
