column,dtype,non_null,description
ticker,str,29032,
fiscal_date,datetime64[us],29032,
report_date,datetime64[us],29032,
eps_actual,float64,29032,
eps_estimate,float64,27833,
eps_difference,float64,29032,
surprise_percent,float64,27279,
surprise,float64,27833,
sue,float64,26392,standardized unexpected earnings
surprise_pct,float64,27279,
beat,float64,29032,
beat_streak,int64,29032,
eps_yoy_growth,float64,27768,
eps_accel,float64,27424,
magnitude_bucket,category,29032,
sector,str,29032,
filing_date,datetime64[us],28604,
rev_growth,float64,28444,
ni_growth,float64,28466,
margin,float64,28581,
margin_chg,float64,28423,
debt_assets,float64,28405,
cash_assets,float64,28393,
fcf_margin,float64,27653,
roa,float64,28502,
rates_10y,float64,29032,
rates_2s10s,float64,29031,
oil,float64,29031,
dollar,float64,21597,
oil_z,float64,29031,
dollar_z,float64,21388,
fwd_ret_1,float64,29032,
fwd_exc_1,float64,29032,
fwd_ret_5,float64,29032,
fwd_exc_5,float64,29032,
fwd_ret_21,float64,29032,
fwd_exc_21,float64,29032,21d forward excess return (primary)
fwd_ret_63,float64,28772,
fwd_exc_63,float64,28772,
entry_date,datetime64[ns],29032,
entry_price,float64,29032,
mom_pre_21,float64,11157,
