model,year,mean_rank_ic
price_only_phase5c_reference,2017,0.04824
price_only_phase5c_reference,2018,0.022607
price_only_phase5c_reference,2019,0.063301
price_only_phase5c_reference,2020,0.043867
price_only_phase5c_reference,2021,0.014497
price_only_phase5c_reference,2022,-0.042161
price_only_phase5c_reference,2023,0.082386
price_only_phase5c_reference,2024,0.011011
price_only_phase5c_reference,2025,0.141976
price_only_phase5c_reference,2026,0.109235
robust_price_volume_composite,2016,-0.091153
robust_price_volume_composite,2017,0.059236
robust_price_volume_composite,2018,-0.051463
robust_price_volume_composite,2019,-0.029667
robust_price_volume_composite,2020,0.073274
robust_price_volume_composite,2021,-0.022931
robust_price_volume_composite,2022,-0.011847
robust_price_volume_composite,2023,-0.02707
robust_price_volume_composite,2024,0.052382
robust_price_volume_composite,2025,-0.035523
robust_price_volume_composite,2026,0.099707
regularized_linear_rank_model,2017,0.036671
regularized_linear_rank_model,2018,0.026013
regularized_linear_rank_model,2019,0.06514
regularized_linear_rank_model,2020,0.03505
regularized_linear_rank_model,2021,0.023818
regularized_linear_rank_model,2022,-0.042658
regularized_linear_rank_model,2023,0.075799
regularized_linear_rank_model,2024,0.007481
regularized_linear_rank_model,2025,0.106319
regularized_linear_rank_model,2026,0.065208
nonlinear_tree_model,2017,0.032888
nonlinear_tree_model,2018,0.023556
nonlinear_tree_model,2019,0.001042
nonlinear_tree_model,2020,0.05126
nonlinear_tree_model,2021,0.032207
nonlinear_tree_model,2022,-3e-05
nonlinear_tree_model,2023,0.062148
nonlinear_tree_model,2024,-0.000518
nonlinear_tree_model,2025,0.141392
nonlinear_tree_model,2026,0.07115
ensemble_rank_model,2017,0.058688
ensemble_rank_model,2018,-0.001595
ensemble_rank_model,2019,0.018447
ensemble_rank_model,2020,0.091374
ensemble_rank_model,2021,0.01951
ensemble_rank_model,2022,-0.028909
ensemble_rank_model,2023,0.054668
ensemble_rank_model,2024,0.037389
ensemble_rank_model,2025,0.108918
ensemble_rank_model,2026,0.11391
