model,basket_size,weighting,avg_turnover,gross_total_return,net_25bps_total_return,net_50bps_total_return
robust_price_volume_composite,10,equal,0.614876,10.003286,6.633401,4.289313
robust_price_volume_composite,10,vol_adj,0.666104,6.624125,4.124216,2.439255
robust_price_volume_composite,20,equal,0.535124,5.718351,3.882668,2.545429
robust_price_volume_composite,20,vol_adj,0.57958,3.878865,2.449899,1.436939
regularized_linear_rank_model,10,equal,0.605357,14.005513,9.762037,6.710439
regularized_linear_rank_model,10,vol_adj,0.6763,11.034719,7.296635,4.712201
regularized_linear_rank_model,20,equal,0.540179,8.197026,5.824022,4.058968
regularized_linear_rank_model,20,vol_adj,0.610943,6.503708,4.351666,2.81271
nonlinear_tree_model,10,equal,0.550893,8.793369,6.221786,4.320344
nonlinear_tree_model,10,vol_adj,0.611893,6.510768,4.353556,2.811546
nonlinear_tree_model,20,equal,0.471875,7.805186,5.781941,4.219936
nonlinear_tree_model,20,vol_adj,0.542983,6.645753,4.660884,3.187528
ensemble_rank_model,10,equal,0.590179,12.32044,8.621809,5.942958
ensemble_rank_model,10,vol_adj,0.64514,10.145776,6.810239,4.466251
ensemble_rank_model,20,equal,0.517857,9.429041,6.840818,4.890372
ensemble_rank_model,20,vol_adj,0.580782,8.119563,5.621415,3.802963
