exp_id,cycle,family,agent,driver,cohort,is_challenge,real_external_data,needs_provider,status,promotion,n_events,n_recent_events,lift_vs_control,ev_after_25bps,worst_decile_mean,recent_lift_vs_control,hit_rate,reason,alpha_promotion,provider_limited
S8L-RATES-MACRO-20,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_rates_neg,False,True,False,PROMISING_SENSITIVITY_SETUP,PROMISING_EXTERNAL_SIGNAL,11881,6320,0.004035,0.001276,-0.157763,0.003413,0.523272,"positive but misses: portfolio_beats_spy_and_cash_active, worst_decile_not_catastrophic",PROMISING_ALPHA_SIGNAL,False
S8L-RATES-MACRO-SECLEAD-20,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_sector_lead,False,True,False,REJECTED,REJECTED,9907,5211,0.000733,-0.001001,-0.202677,1.4e-05,0.513576,non-positive EV after 25bps (-0.001001),REJECTED,False
S8L-CH-REBUILD-WRONGDIR-20,1,G_macro_cross_asset_x_sensitivity,validation-skeptic-agent,rates,cohort_rates_neg,True,True,False,REJECTED,REJECTED,7619,3559,-0.001465,-0.001827,-0.146421,-0.005515,0.499016,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8L-RATES-MACRO-VOLCOMP-20,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_rates_neg,False,True,False,PROMISING_SENSITIVITY_SETUP,PROMISING_EXTERNAL_SIGNAL,11881,6320,0.004035,0.001276,-0.157763,0.003413,0.523272,"positive but misses: portfolio_beats_spy_and_cash_active, worst_decile_not_catastrophic",PROMISING_ALPHA_SIGNAL,False
S8L-RATES-EARNCONF-20,1,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,rates,cohort_rates_neg,False,True,False,REJECTED,PROMISING_EXTERNAL_SIGNAL,692,394,0.005328,0.003779,-0.155446,0.004877,0.543353,"insufficient events (total=692, recent=394)",PROMISING_ALPHA_SIGNAL,True
S8L-CH-REBUILD-NOCOHORT-20,1,G_macro_cross_asset_x_sensitivity,validation-skeptic-agent,rates,,True,True,False,REJECTED,REJECTED,51892,26285,0.000721,-0.004026,-0.132834,0.003172,0.498747,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8L-RATES-MACRO-LOWBETA-20,1,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_rates_neg,False,True,False,REJECTED,REJECTED,455,283,0.025908,-0.011352,-0.144475,0.012026,0.468132,"insufficient events (total=455, recent=283)",REJECTED,False
S8L-CH-REBUILD-EARNCONF-NOCOHORT-20,1,G_macro_cross_asset_x_sensitivity,validation-skeptic-agent,rates,,True,True,False,REJECTED,REJECTED,2974,1557,-0.000275,-0.003945,-0.131049,0.00144,0.494956,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8L-EARNCONF-RATES-20,2,F_s8e011_plus_external_confirmation,earnings-event-agent,rates,cohort_rates_neg,False,True,False,REJECTED,PROMISING_EXTERNAL_SIGNAL,692,394,0.005328,0.003779,-0.155446,0.004877,0.543353,"insufficient events (total=692, recent=394)",PROMISING_ALPHA_SIGNAL,True
S8L-EARN-VOLSENS-20,2,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_vol_spike_sens,False,True,False,REJECTED,NEEDS_PROVIDER_HISTORY,1152,380,0.005264,0.005025,-0.172356,-0.000328,0.525174,fails 2015-2026 recency (recent lift -0.000328),PROMISING_ALPHA_SIGNAL,True
S8L-CH-EARN-NEG-VOLSENS-20,2,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,cohort_vol_spike_sens,True,True,False,REJECTED,REJECTED,267,76,0.023559,-0.002275,-0.193337,0.036072,0.565543,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8L-EARN-SECLEAD-20,2,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_sector_lead,False,True,False,REJECTED,PROMISING_EXTERNAL_SIGNAL,933,411,0.003238,0.002685,-0.172827,0.002213,0.524116,"insufficient events (total=933, recent=411)",PROMISING_ALPHA_SIGNAL,True
S8L-EARN-HIGHBETA-20,2,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_high_beta,False,True,False,REJECTED,NEEDS_PROVIDER_HISTORY,1168,399,0.003583,0.004164,-0.174032,-0.000942,0.529966,fails 2015-2026 recency (recent lift -0.000942),PROMISING_ALPHA_SIGNAL,True
S8L-CH-EARN-NEG-SECLEAD-20,2,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,cohort_sector_lead,True,True,False,REJECTED,REJECTED,215,95,0.01757,0.001726,-0.176997,0.023522,0.534884,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8L-REV-PROXY-RATES-20,2,B_analyst_revision_x_sensitivity,analyst-revision-agent,analyst_revision_proxy,cohort_rates_neg,False,True,False,REJECTED,REJECTED,499,212,-0.004301,-0.001319,-0.150615,-0.002201,0.517034,"insufficient events (total=499, recent=212)",REJECTED,False
S8L-CH-EARN-NOCOHORT-20,2,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,,True,True,False,REJECTED,REJECTED,6051,1952,0.001933,-0.003273,-0.141688,-2.2e-05,0.50157,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8L-TAIL-MACRO-LOWBETA-20,3,G_macro_cross_asset_x_sensitivity,risk-portfolio-agent,rates,cohort_rates_neg,False,True,False,REJECTED,REJECTED,455,283,0.025908,-0.011352,-0.144475,0.012026,0.468132,"insufficient events (total=455, recent=283)",REJECTED,False
S8L-TAIL-MACRO-VOLCOMP-LOWBETA-20,3,G_macro_cross_asset_x_sensitivity,risk-portfolio-agent,rates,cohort_rates_neg,False,True,False,REJECTED,REJECTED,455,283,0.025908,-0.011352,-0.144475,0.012026,0.468132,"insufficient events (total=455, recent=283)",REJECTED,False
S8L-CH-TAIL-WRONGDIR-LOWBETA-20,3,G_macro_cross_asset_x_sensitivity,validation-skeptic-agent,rates,cohort_rates_neg,True,True,False,REJECTED,REJECTED,337,230,-0.000114,-0.009346,-0.110745,-0.002909,0.480712,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8L-TAIL-SECLEAD-LOWBETA-20,3,F_s8e011_plus_external_confirmation,risk-portfolio-agent,rates,cohort_sector_lead,False,True,False,REJECTED,REJECTED,22,9,0.004747,-0.00439,-0.122884,-0.033283,0.545455,"insufficient events (total=22, recent=9)",REJECTED,False
S8L-TAIL-EARNCONF-LOWBETA-20,3,F_s8e011_plus_external_confirmation,risk-portfolio-agent,rates,cohort_rates_neg,False,True,False,REJECTED,REJECTED,17,10,0.126422,-0.018839,-0.094399,0.023893,0.411765,"insufficient events (total=17, recent=10)",REJECTED,False
S8L-CH-TAIL-NOCOHORT-LOWBETA-20,3,G_macro_cross_asset_x_sensitivity,validation-skeptic-agent,rates,,True,True,False,REJECTED,REJECTED,9003,4580,-0.0016,-0.008811,-0.125575,0.000345,0.478396,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8L-TAIL-SECSTRONG-LOWBETA-20,3,F_s8e011_plus_external_confirmation,risk-portfolio-agent,rates,cohort_rates_neg,False,True,False,REJECTED,REJECTED,438,268,0.022166,-0.01555,-0.149194,0.010198,0.456621,"insufficient events (total=438, recent=268)",REJECTED,False
