model,mean_daily_ic,ic_2021,worst_year_ic,stability_score,decile_spread,delta_ic_2021_vs_baseline,improves_bad_year,note
ridge_technical_only,0.08195,-0.108464,-0.108464,0.6667,0.109819,0.0,True,
ridge_combined_no_macro,0.045219,0.025333,-0.094708,0.6667,0.082463,0.133797,True,
ridge_combined_with_macro,0.047356,0.026649,-0.09483,0.6667,0.087737,0.135113,True,
ridge_macro_interactions,0.042619,-0.088944,-0.088944,0.6667,0.09076,0.01952,True,
regime_gated_macro_model,0.037115,-0.00148,-0.11844,0.5,0.066838,0.106984,True,
