scenario,family,cycle,n_events,n_months,mean_ic,ic_t,bh_significant,mean_spread,net_spread_25bps,subperiod_stable,beats_placebo,promoted
earnings_surprise,earnings,1,27279,120,0.0442,2.85,True,0.0095,0.0046,True,False,False
sue_standardized,earnings,1,26392,120,0.0366,2.19,False,0.0026,-0.0023,True,True,False
surprise_magnitude,earnings,1,29032,120,0.0411,2.68,True,0.0066,0.0016,True,False,True
positive_surprise_asymmetry,earnings,1,28654,120,0.0488,3.08,True,0.0051,0.0002,True,True,True
earnings_momentum,earnings,1,27768,120,-0.002,-0.1,False,-0.0012,-0.0062,False,False,False
earnings_acceleration,earnings,1,27424,120,0.0371,2.57,True,0.0036,-0.0013,True,True,False
beat_streak,earnings,1,29032,120,0.0289,1.78,False,-0.0038,-0.0087,True,False,False
surprise_fade,earnings,1,27279,120,-0.0442,-2.85,True,-0.009,-0.0139,False,True,False
revenue_growth,fundamentals,2,20379,120,0.0135,0.71,False,0.0049,-0.0,True,True,False
earnings_growth,fundamentals,2,28455,120,0.0113,0.68,False,0.0052,0.0003,False,False,False
gross_margin,fundamentals,2,28568,120,0.0097,0.63,False,-0.0031,-0.0081,True,False,False
operating_margin,fundamentals,2,28581,120,-0.0011,-0.06,False,-0.0083,-0.0132,False,False,False
fcf_margin,fundamentals,2,27653,120,0.0154,0.99,False,-0.0004,-0.0054,True,False,False
roa_quality,fundamentals,2,28502,120,0.003,0.18,False,-0.0066,-0.0115,False,False,False
low_leverage,fundamentals,2,28405,120,-0.0117,-0.69,False,-0.0056,-0.0105,False,False,False
quality_composite,fundamentals,2,27584,120,0.0163,1.0,False,-0.0009,-0.0059,True,False,False
balance_sheet_strength,fundamentals,2,28366,120,0.0158,0.84,False,0.0016,-0.0034,True,False,False
quality_improvement,fundamentals,2,29032,120,0.0286,1.84,False,0.0089,0.004,True,False,False
earnings_yield_value,valuation,2,28139,120,0.0,0.0,False,-0.0061,-0.0111,False,False,False
price_momentum_21,price,3,11157,119,0.0202,1.14,False,0.0081,0.0031,True,False,False
price_momentum_63,price,3,10931,116,0.0086,0.4,False,0.0008,-0.0042,False,False,False
low_volatility,price,3,11217,119,-0.0294,-1.21,False,-0.0198,-0.0248,False,False,False
low_beta,price,3,11217,119,-0.0212,-0.78,False,-0.0115,-0.0165,False,False,False
liquidity,price,3,0,0,,,False,,,False,False,False
sector_leadership,price,3,11157,119,0.0113,0.71,False,0.0062,0.0012,False,False,False
surprise_high_rates,regime,4,13776,45,0.0381,1.46,False,0.0067,0.0017,False,True,False
surprise_easy_curve,regime,4,23381,96,0.0327,1.76,False,0.0076,0.0026,True,False,False
surprise_drawdown,regime,4,1372,20,0.0623,1.86,False,0.0153,0.0104,True,True,False
surprise_high_oil,regime,4,15712,76,0.0516,2.97,True,0.0127,0.0078,True,False,False
sue_easy_curve,regime,4,22532,96,0.0219,1.06,False,0.0014,-0.0035,False,False,False
surprise_x_quality,interaction,5,26839,120,0.047,2.97,True,0.0103,0.0054,True,False,True
surprise_x_qualimp,interaction,5,27279,120,0.0426,2.75,True,0.0099,0.005,True,True,False
surprise_x_margin_exp,interaction,5,26792,120,0.0178,0.94,False,0.0044,-0.0005,True,False,False
surprise_x_valuation,interaction,5,26622,120,0.0177,1.06,False,0.003,-0.0019,True,True,False
surprise_x_momentum,interaction,5,10731,119,0.0235,1.27,False,0.0095,0.0045,True,False,False
surprise_x_lowvol,interaction,5,10790,119,-0.0238,-1.01,False,-0.0161,-0.0211,False,False,False
sue_x_quality,interaction,6,25990,120,-0.0002,-0.01,False,-0.0077,-0.0127,False,False,False
sue_x_momentum,interaction,6,10868,119,0.0179,1.02,False,0.007,0.002,True,False,False
beats_x_momentum,interaction,6,11157,119,0.0256,1.59,False,0.0036,-0.0013,True,False,False
accel_x_quality,interaction,6,26998,120,0.0031,0.15,False,-0.0055,-0.0105,False,False,False
accel_x_momentum,interaction,6,10731,116,0.0026,0.12,False,0.0004,-0.0046,False,False,False
surprise_sector_neutral,earnings,6,27279,120,0.0514,2.96,True,0.0108,0.0058,True,True,True
sue_sector_neutral,earnings,6,26392,120,0.0422,2.65,True,0.0036,-0.0014,True,True,False
