scenario,family,signal,mean_ic,ic_t,mean_spread,net_spread_25bps,spread_hit_rate,subperiod_stable,n_events,n_months,new_vs_before
surprise_magnitude,earnings,magnitude_score,0.0411,2.68,0.0066,0.0016,0.6083,True,29032,120,False
positive_surprise_asymmetry,earnings,surprise_pos,0.0488,3.08,0.0051,0.0002,0.5917,True,28654,120,False
surprise_x_quality,interaction,surprise_x_quality,0.047,2.97,0.0103,0.0054,0.65,True,26839,120,False
surprise_sector_neutral,earnings,surprise_pct,0.0514,2.96,0.0108,0.0058,0.6417,True,27279,120,False
