exp_id,cycle,family,agent,driver,cohort,is_challenge,real_external_data,needs_provider,status,promotion,n_events,n_recent_events,lift_vs_control,ev_after_25bps,worst_decile_mean,recent_lift_vs_control,hit_rate,reason,alpha_promotion,provider_limited
S8E-060,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,commodity,cohort_oil_pos,False,True,False,REJECTED,REJECTED,13146,7965,-0.000184,-0.010555,-0.167716,-0.004439,0.458695,non-positive EV after 25bps (-0.010555),REJECTED,False
S8E-070,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,sector,cohort_sector_lead,False,True,False,REJECTED,REJECTED,33723,15351,0.002532,-0.000937,-0.159853,0.003629,0.500341,non-positive EV after 25bps (-0.000937),REJECTED,False
S8E-901,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,cohort_oil_neg,True,True,False,REJECTED,REJECTED,9125,5278,-0.00137,-0.007696,-0.123005,0.002625,0.473425,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8E-902,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_rates_neg,True,True,False,REJECTED,REJECTED,7480,3714,-0.00194,-0.004817,-0.150574,-0.006052,0.488904,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8E-903,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,cohort_high_beta,True,True,False,REJECTED,REJECTED,12044,3506,0.000938,-0.003046,-0.118356,0.004223,0.51179,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8E-910,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,,True,True,False,REJECTED,REJECTED,48400,28163,-0.004258,-0.007528,-0.137237,-0.004467,0.474029,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8E-911,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,,True,True,False,REJECTED,REJECTED,67737,19539,0.004601,-0.003507,-0.092851,0.006494,0.507108,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8E-920,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,cohort_oil_pos,True,True,False,REJECTED,REJECTED,54293,31715,0.000566,-0.004111,-0.160995,0.001042,0.485827,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8E-101,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,cohort_oil_pos,False,True,False,REJECTED,REJECTED,3764,2292,-0.004388,-0.021379,-0.181876,-0.005138,0.418172,non-positive EV after 25bps (-0.021379),REJECTED,False
S8E-110,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_rates_pos,False,True,False,REJECTED,REJECTED,4148,2457,-0.010662,-0.015604,-0.122096,-0.011547,0.409354,non-positive EV after 25bps (-0.015604),REJECTED,False
S8E-130,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,cohort_low_beta,False,True,False,REJECTED,REJECTED,7201,2085,-0.003659,-0.005129,-0.115055,-0.008399,0.48035,non-positive EV after 25bps (-0.005129),REJECTED,False
S8E-940,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,,True,True,False,REJECTED,REJECTED,74809,22082,,-0.007531,-0.170423,,0.489487,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8E-941,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,market,cohort_low_beta,True,True,False,REJECTED,REJECTED,170190,59461,-0.000993,-0.006268,-0.124838,-0.000731,0.483342,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8E-960,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,cohort_low_beta,True,True,False,REJECTED,REJECTED,14721,4379,-0.00434,-0.013821,-0.212634,-0.004387,0.46668,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8E-961,3,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,cohort_oil_pos,True,True,False,REJECTED,REJECTED,10490,6210,-0.002909,-0.01145,-0.167452,-0.004967,0.448141,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8I-C-SECLEAD-20,3,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_sector_lead,False,True,False,REJECTED,PROMISING_EXTERNAL_SIGNAL,933,411,0.003238,0.002685,-0.172827,0.002213,0.524116,"insufficient events (total=933, recent=411)",PROMISING_ALPHA_SIGNAL,True
S8I-C-LOWBETA-20,3,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_low_beta,False,True,False,REJECTED,REJECTED,1238,402,0.00602,-0.003817,-0.113969,0.013163,0.494346,non-positive EV after 25bps (-0.003817),REJECTED,False
S8I-C-HIGHBETA-20,3,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_high_beta,False,True,False,REJECTED,NEEDS_PROVIDER_HISTORY,1168,399,0.003583,0.004164,-0.174032,-0.000942,0.529966,fails 2015-2026 recency (recent lift -0.000942),PROMISING_ALPHA_SIGNAL,True
S8I-C-VOLSENS-20,3,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_vol_spike_sens,False,True,False,REJECTED,NEEDS_PROVIDER_HISTORY,1152,380,0.005264,0.005025,-0.172356,-0.000328,0.525174,fails 2015-2026 recency (recent lift -0.000328),PROMISING_ALPHA_SIGNAL,True
S8I-C-LARGE-SECLEAD-10,3,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_sector_lead,False,True,False,REJECTED,REJECTED,290,127,-0.001348,-0.001929,-0.133751,-0.005031,0.486207,"insufficient events (total=290, recent=127)",REJECTED,False
S8I-R-RATES-20,3,B_analyst_revision_x_sensitivity,analyst-revision-agent,analyst_revision_proxy,cohort_rates_neg,False,True,False,REJECTED,REJECTED,499,212,-0.004301,-0.001319,-0.150615,-0.002201,0.517034,"insufficient events (total=499, recent=212)",REJECTED,False
S8I-R-SECLEAD-20,3,B_analyst_revision_x_sensitivity,analyst-revision-agent,analyst_revision_proxy,cohort_sector_lead,False,True,False,REJECTED,REJECTED,567,244,0.000257,-0.000958,-0.17338,0.001181,0.514991,"insufficient events (total=567, recent=244)",REJECTED,False
S8I-M-OIL-20,3,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,oil,cohort_oil_pos,False,True,False,REJECTED,REJECTED,1094,639,-0.00436,-0.010605,-0.160319,-0.008324,0.456124,non-positive EV after 25bps (-0.010605),REJECTED,False
S8I-M-USD-20,3,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,usd,cohort_usd_neg,False,True,False,REJECTED,REJECTED,887,598,0.002969,-0.00778,-0.170647,-0.006851,0.473506,"insufficient events (total=887, recent=598)",REJECTED,False
S8I-M-CREDIT-20,3,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,credit,cohort_credit_sens,False,True,False,REJECTED,REJECTED,1004,640,0.003579,-0.001765,-0.213084,-0.002379,0.481076,non-positive EV after 25bps (-0.001765),REJECTED,False
S8I-M-VIX-20,3,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,vix,cohort_vol_spike_sens,False,True,False,REJECTED,REJECTED,24425,7496,0.000323,-0.008259,-0.226826,0.003171,0.491627,non-positive EV after 25bps (-0.008259),REJECTED,False
S8I-901,3,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,,True,True,False,REJECTED,REJECTED,6051,1952,0.001933,-0.003273,-0.141688,-2.2e-05,0.50157,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8I-902,3,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,cohort_surprise_sensitive,True,True,False,REJECTED,REJECTED,440,178,0.003752,-3.2e-05,-0.158847,0.003656,0.529545,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8I-903,3,F_s8e011_plus_external_confirmation,validation-skeptic-agent,oil,,True,True,False,REJECTED,REJECTED,5156,2991,-0.00034,-0.006502,-0.137225,-0.000713,0.474205,challenge/placebo control (diagnostic; never promoted),REJECTED,False
S8I-904,3,B_analyst_revision_x_sensitivity,validation-skeptic-agent,analyst_revision_proxy,,True,True,False,REJECTED,REJECTED,3742,1168,0.0013,-0.002659,-0.140864,-0.000951,0.509353,challenge/placebo control (diagnostic; never promoted),REJECTED,False
