candidate_id,family,agent,driver,cohort,is_challenge,real_external_data,needs_provider,signal_status,ext_promotion,alpha_promotion,provider_limited,n_events,n_recent_events,lift_vs_control,ev_after_25bps,worst_decile_mean,recent_lift_vs_control,prior_known_lead,reason
S8E-050,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,usd,cohort_usd_pos,False,True,False,REJECTED,REJECTED,REJECTED,False,9730,5440,0.003419,-0.006095,-0.149398,0.007391,False,non-positive EV after 25bps (-0.006095)
S8E-051,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,usd,cohort_usd_neg,False,True,False,REJECTED,REJECTED,REJECTED,False,7492,4794,-0.002046,-0.012052,-0.159893,-0.00765,False,non-positive EV after 25bps (-0.012052)
S8E-060,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,commodity,cohort_oil_pos,False,True,False,REJECTED,REJECTED,REJECTED,False,13146,7965,-0.000184,-0.010555,-0.167716,-0.004439,False,non-positive EV after 25bps (-0.010555)
S8E-070,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,sector,cohort_sector_lead,False,True,False,REJECTED,REJECTED,REJECTED,False,33723,15351,0.002532,-0.000937,-0.159853,0.003629,False,non-positive EV after 25bps (-0.000937)
S8E-901,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,cohort_oil_neg,True,True,False,REJECTED,REJECTED,REJECTED,False,9125,5278,-0.00137,-0.007696,-0.123005,0.002625,False,challenge/placebo control (diagnostic; never promoted)
S8E-902,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_rates_neg,True,True,False,REJECTED,REJECTED,REJECTED,False,7480,3714,-0.00194,-0.004817,-0.150574,-0.006052,False,challenge/placebo control (diagnostic; never promoted)
S8E-903,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,cohort_high_beta,True,True,False,REJECTED,REJECTED,REJECTED,False,12044,3506,0.000938,-0.003046,-0.118356,0.004223,False,challenge/placebo control (diagnostic; never promoted)
S8E-910,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,,True,True,False,REJECTED,REJECTED,REJECTED,False,48400,28163,-0.004258,-0.007528,-0.137237,-0.004467,False,challenge/placebo control (diagnostic; never promoted)
S8E-911,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,,True,True,False,REJECTED,REJECTED,REJECTED,False,67737,19539,0.004601,-0.003507,-0.092851,0.006494,False,challenge/placebo control (diagnostic; never promoted)
S8E-920,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,cohort_oil_pos,True,True,False,REJECTED,REJECTED,REJECTED,False,54293,31715,0.000566,-0.004111,-0.160995,0.001042,False,challenge/placebo control (diagnostic; never promoted)
S8E-101,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,cohort_oil_pos,False,True,False,REJECTED,REJECTED,REJECTED,False,3764,2292,-0.004388,-0.021379,-0.181876,-0.005138,False,non-positive EV after 25bps (-0.021379)
S8E-110,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,rates,cohort_rates_pos,False,True,False,REJECTED,REJECTED,REJECTED,False,4148,2457,-0.010662,-0.015604,-0.122096,-0.011547,False,non-positive EV after 25bps (-0.015604)
S8E-130,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,cohort_low_beta,False,True,False,REJECTED,REJECTED,REJECTED,False,7201,2085,-0.003659,-0.005129,-0.115055,-0.008399,False,non-positive EV after 25bps (-0.005129)
S8E-940,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,,True,True,False,REJECTED,REJECTED,REJECTED,False,74809,22082,,-0.007531,-0.170423,,False,challenge/placebo control (diagnostic; never promoted)
S8E-941,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,market,cohort_low_beta,True,True,False,REJECTED,REJECTED,REJECTED,False,170190,59461,-0.000993,-0.006268,-0.124838,-0.000731,False,challenge/placebo control (diagnostic; never promoted)
S8E-960,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,vix,cohort_low_beta,True,True,False,REJECTED,REJECTED,REJECTED,False,14721,4379,-0.00434,-0.013821,-0.212634,-0.004387,False,challenge/placebo control (diagnostic; never promoted)
S8E-961,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,oil,cohort_oil_pos,True,True,False,REJECTED,REJECTED,REJECTED,False,10490,6210,-0.002909,-0.01145,-0.167452,-0.004967,False,challenge/placebo control (diagnostic; never promoted)
S8I-C-SECLEAD-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_sector_lead,False,True,False,REJECTED,PROMISING_EXTERNAL_SIGNAL,PROMISING_ALPHA_SIGNAL,True,933,411,0.003238,0.002685,-0.172827,0.002213,False,"insufficient events (total=933, recent=411)"
