exp_id,family,is_challenge,leakage_safe,placebo_clean,lift_vs_control,challenge_shows_lift,reason
S8E-920,G_macro_cross_asset_x_sensitivity,True,True,False,0.000566,False,challenge/placebo control (diagnostic; never promoted)
S8E-101,G_macro_cross_asset_x_sensitivity,False,True,True,-0.004388,False,non-positive EV after 25bps (-0.021379)
S8E-110,G_macro_cross_asset_x_sensitivity,False,True,True,-0.010662,False,non-positive EV after 25bps (-0.015604)
S8E-130,G_macro_cross_asset_x_sensitivity,False,True,True,-0.003659,False,non-positive EV after 25bps (-0.005129)
S8E-940,G_macro_cross_asset_x_sensitivity,True,True,False,,False,challenge/placebo control (diagnostic; never promoted)
S8E-941,G_macro_cross_asset_x_sensitivity,True,True,False,-0.000993,False,challenge/placebo control (diagnostic; never promoted)
S8E-960,G_macro_cross_asset_x_sensitivity,True,True,False,-0.00434,False,challenge/placebo control (diagnostic; never promoted)
S8E-961,G_macro_cross_asset_x_sensitivity,True,True,False,-0.002909,False,challenge/placebo control (diagnostic; never promoted)
S8I-C-SECLEAD-20,C_earnings_surprise_x_sensitivity,False,True,True,0.003238,False,"insufficient events (total=933, recent=411)"
S8I-C-LOWBETA-20,C_earnings_surprise_x_sensitivity,False,True,True,0.00602,False,non-positive EV after 25bps (-0.003817)
S8I-C-HIGHBETA-20,C_earnings_surprise_x_sensitivity,False,True,True,0.003583,False,fails 2015-2026 recency (recent lift -0.000942)
S8I-C-VOLSENS-20,C_earnings_surprise_x_sensitivity,False,True,True,0.005264,False,fails 2015-2026 recency (recent lift -0.000328)
S8I-C-LARGE-SECLEAD-10,C_earnings_surprise_x_sensitivity,False,True,True,-0.001348,False,"insufficient events (total=290, recent=127)"
S8I-R-RATES-20,B_analyst_revision_x_sensitivity,False,True,True,-0.004301,False,"insufficient events (total=499, recent=212)"
S8I-R-SECLEAD-20,B_analyst_revision_x_sensitivity,False,True,True,0.000257,False,"insufficient events (total=567, recent=244)"
S8I-M-OIL-20,F_s8e011_plus_external_confirmation,False,True,True,-0.00436,False,non-positive EV after 25bps (-0.010605)
S8I-M-USD-20,F_s8e011_plus_external_confirmation,False,True,True,0.002969,False,"insufficient events (total=887, recent=598)"
S8I-M-CREDIT-20,F_s8e011_plus_external_confirmation,False,True,True,0.003579,False,non-positive EV after 25bps (-0.001765)
S8I-M-VIX-20,F_s8e011_plus_external_confirmation,False,True,True,0.000323,False,non-positive EV after 25bps (-0.008259)
S8I-901,C_earnings_surprise_x_sensitivity,True,True,False,0.001933,True,challenge/placebo control (diagnostic; never promoted)
S8I-902,C_earnings_surprise_x_sensitivity,True,True,False,0.003752,True,challenge/placebo control (diagnostic; never promoted)
S8I-903,F_s8e011_plus_external_confirmation,True,True,False,-0.00034,False,challenge/placebo control (diagnostic; never promoted)
S8I-904,B_analyst_revision_x_sensitivity,True,True,False,0.0013,True,challenge/placebo control (diagnostic; never promoted)
