candidate_id,family,driver,cohort,signal_status,promotion,registry_decision,proposed_contribution,real_external_data,lift_vs_control,ev_after_25bps,worst_decile_mean,deployed,paper_trader_output,production,note
S8G-C20,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_surprise_sensitive,REJECTED,REJECTED,REJECT,no contribution,True,-0.001178,-0.00592,-0.136367,False,False,False,non-positive EV after 25bps (-0.00592)
S8G-C05,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_surprise_sensitive,REJECTED,REJECTED,REJECT,no contribution,True,0.003655,-0.00418,-0.069394,False,False,False,"insufficient events (total=723, recent=269)"
S8G-C60,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_surprise_sensitive,REJECTED,REJECTED,REJECT,no contribution,True,-5.3e-05,-0.00223,-0.225899,False,False,False,non-positive EV after 25bps (-0.00223)
S8G-B20,B_analyst_revision_x_sensitivity,analyst_revision_proxy,cohort_surprise_sensitive,REJECTED,REJECTED,REJECT,no contribution,True,0.001575,-0.003787,-0.132703,False,False,False,non-positive EV after 25bps (-0.003787)
S8G-F20,F_s8e011_plus_external_confirmation,rates,cohort_rates_neg,REJECTED,PROMISING_EXTERNAL_SIGNAL,HOLD_PROMISING,"real external feature, gate gap remains",True,0.005328,0.003779,-0.155446,False,False,False,"insufficient events (total=692, recent=394)"
S8G-H20,H_sec_filings_x_sensitivity,sec_filing,cohort_filing_active,REJECTED,REJECTED,REJECT,no contribution,True,-0.001277,-0.006409,-0.149648,False,False,False,non-positive EV after 25bps (-0.006409)
S8G-A01,A_news_sentiment_x_sensitivity,news_sentiment,sentiment_sensitive,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,BLOCKED_ON_PROVIDER,pending external provider data,False,,,,False,False,False,no local data and no provider key; executable adapter + schema + command ready
S8G-D01,D_options_iv_x_sensitivity,options_iv,options_informative,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,BLOCKED_ON_PROVIDER,pending external provider data,False,,,,False,False,False,no local data and no provider key; executable adapter + schema + command ready
S8G-E01,E_short_interest_x_sensitivity,short_interest,squeeze_sensitive,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,BLOCKED_ON_PROVIDER,pending external provider data,False,,,,False,False,False,no local data and no provider key; executable adapter + schema + command ready
S8E-001,G_macro_cross_asset_x_sensitivity,oil,cohort_oil_pos,REJECTED,REJECTED,REJECT,no contribution,True,-0.002909,-0.01145,-0.167452,False,False,False,non-positive EV after 25bps (-0.01145)
S8E-002,G_macro_cross_asset_x_sensitivity,oil,cohort_oil_neg,REJECTED,REJECTED,REJECT,no contribution,True,0.003551,-0.011135,-0.15363,False,False,False,non-positive EV after 25bps (-0.011135)
S8E-010,G_macro_cross_asset_x_sensitivity,rates,cohort_rates_pos,REJECTED,REJECTED,REJECT,no contribution,True,-0.002223,-0.00899,-0.114988,False,False,False,non-positive EV after 25bps (-0.00899)
S8E-011,G_macro_cross_asset_x_sensitivity,rates,cohort_rates_neg,PROMISING_BUT_UNCONFIRMED,PROMISING_EXTERNAL_SIGNAL,HOLD_PROMISING,"real external feature, gate gap remains",True,0.004035,0.001276,-0.157763,False,False,False,"positive but misses: portfolio_beats_spy_and_cash_active, worst_decile_not_catastrophic"
S8E-020,G_macro_cross_asset_x_sensitivity,credit,cohort_low_beta,REJECTED,REJECTED,REJECT,no contribution,True,-0.002868,-0.004339,-0.083456,False,False,False,non-positive EV after 25bps (-0.004339)
S8E-030,G_macro_cross_asset_x_sensitivity,vix,cohort_low_beta,REJECTED,REJECTED,REJECT,no contribution,True,-0.000198,-0.003565,-0.083093,False,False,False,non-positive EV after 25bps (-0.003565)
S8E-031,G_macro_cross_asset_x_sensitivity,vix,cohort_vol_spike_sens,REJECTED,REJECTED,REJECT,no contribution,True,0.000359,-0.00875,-0.235824,False,False,False,non-positive EV after 25bps (-0.00875)
S8E-040,G_macro_cross_asset_x_sensitivity,market,cohort_high_beta,REJECTED,REJECTED,REJECT,no contribution,True,-0.000151,-0.00308,-0.198976,False,False,False,non-positive EV after 25bps (-0.00308)
S8E-050,G_macro_cross_asset_x_sensitivity,usd,cohort_usd_pos,REJECTED,REJECTED,REJECT,no contribution,True,0.003419,-0.006095,-0.149398,False,False,False,non-positive EV after 25bps (-0.006095)
S8E-051,G_macro_cross_asset_x_sensitivity,usd,cohort_usd_neg,REJECTED,REJECTED,REJECT,no contribution,True,-0.002046,-0.012052,-0.159893,False,False,False,non-positive EV after 25bps (-0.012052)
