exp_id,family,max_year_fraction,max_sector_fraction,max_ticker_fraction,not_year_concentrated,not_sector_concentrated,not_ticker_concentrated
S8G-C20,C_earnings_surprise_x_sensitivity,0.041843,0.205924,0.023977,True,True,True
S8G-C05,C_earnings_surprise_x_sensitivity,0.04426,0.207469,0.034578,True,True,True
S8G-C60,C_earnings_surprise_x_sensitivity,0.0423,0.206749,0.02424,True,True,True
S8G-B20,B_analyst_revision_x_sensitivity,0.04461,0.2,0.026766,True,True,True
S8G-F20,F_s8e011_plus_external_confirmation,0.093931,0.290462,0.017341,True,True,True
S8G-H20,H_sec_filings_x_sensitivity,0.044721,0.178519,0.035924,True,True,True
S8G-901,C_earnings_surprise_x_sensitivity,0.035697,0.168732,0.009089,True,True,True
S8G-902,C_earnings_surprise_x_sensitivity,0.054545,0.211364,0.022727,True,True,True
S8G-903,F_s8e011_plus_external_confirmation,0.099193,0.159718,0.006389,True,True,True
S8E-001,G_macro_cross_asset_x_sensitivity,0.095901,0.33041,0.011249,True,True,True
S8E-002,G_macro_cross_asset_x_sensitivity,0.132734,0.192086,0.010072,True,True,True
S8E-010,G_macro_cross_asset_x_sensitivity,0.081941,0.248051,0.011058,True,True,True
S8E-011,G_macro_cross_asset_x_sensitivity,0.093931,0.293662,0.008753,True,True,True
S8E-020,G_macro_cross_asset_x_sensitivity,0.154108,0.269509,0.012283,True,True,True
S8E-030,G_macro_cross_asset_x_sensitivity,0.051959,0.234994,0.010957,True,True,True
S8E-031,G_macro_cross_asset_x_sensitivity,0.049791,0.290728,0.007529,True,True,True
S8E-040,G_macro_cross_asset_x_sensitivity,0.061153,0.322386,0.010175,True,True,True
S8E-050,G_macro_cross_asset_x_sensitivity,0.139568,0.20483,0.006886,True,True,True
S8E-051,G_macro_cross_asset_x_sensitivity,0.091164,0.149226,0.010545,True,True,True
S8E-060,G_macro_cross_asset_x_sensitivity,0.098813,0.339723,0.012171,True,True,True
S8E-070,G_macro_cross_asset_x_sensitivity,0.060552,0.208611,0.012959,True,True,True
S8E-901,G_macro_cross_asset_x_sensitivity,0.100055,0.193096,0.00811,True,True,True
S8E-902,G_macro_cross_asset_x_sensitivity,0.096123,0.267647,0.00762,True,True,True
S8E-903,G_macro_cross_asset_x_sensitivity,0.063849,0.275739,0.009133,True,True,True
S8E-910,G_macro_cross_asset_x_sensitivity,0.095455,0.146983,0.002562,True,True,True
S8E-911,G_macro_cross_asset_x_sensitivity,0.056173,0.147039,0.00279,True,True,True
S8E-920,G_macro_cross_asset_x_sensitivity,0.056287,0.297073,0.010149,True,True,True
S8E-101,G_macro_cross_asset_x_sensitivity,0.124867,0.362115,0.015409,True,True,True
S8E-110,G_macro_cross_asset_x_sensitivity,0.108968,0.260125,0.013018,True,True,True
S8E-130,G_macro_cross_asset_x_sensitivity,0.081655,0.268157,0.013054,True,True,True
S8E-940,G_macro_cross_asset_x_sensitivity,0.053282,0.144849,0.002005,True,True,True
S8E-941,G_macro_cross_asset_x_sensitivity,0.031171,0.233069,0.008919,True,True,True
S8E-960,G_macro_cross_asset_x_sensitivity,0.052102,0.235378,0.011073,True,True,True
S8E-961,G_macro_cross_asset_x_sensitivity,0.095901,0.33041,0.011249,True,True,True
S8I-C-SECLEAD-20,C_earnings_surprise_x_sensitivity,0.048232,0.198285,0.033226,True,True,True
S8I-C-LOWBETA-20,C_earnings_surprise_x_sensitivity,0.04685,0.29483,0.033926,True,True,True
S8I-C-HIGHBETA-20,C_earnings_surprise_x_sensitivity,0.047945,0.239726,0.028253,True,True,True
S8I-C-VOLSENS-20,C_earnings_surprise_x_sensitivity,0.046007,0.236111,0.028646,True,True,True
S8I-C-LARGE-SECLEAD-10,C_earnings_surprise_x_sensitivity,0.048276,0.213793,0.041379,True,True,True
S8I-R-RATES-20,B_analyst_revision_x_sensitivity,0.062124,0.234469,0.042084,True,True,True
S8I-R-SECLEAD-20,B_analyst_revision_x_sensitivity,0.047619,0.209877,0.040564,True,True,True
S8I-M-OIL-20,F_s8e011_plus_external_confirmation,0.110603,0.299817,0.018282,True,True,True
S8I-M-USD-20,F_s8e011_plus_external_confirmation,0.116122,0.161218,0.012401,True,True,True
S8I-M-CREDIT-20,F_s8e011_plus_external_confirmation,0.15239,0.183267,0.01494,True,True,True
S8I-M-VIX-20,F_s8e011_plus_external_confirmation,0.044585,0.294698,0.007738,True,True,True
S8I-901,C_earnings_surprise_x_sensitivity,0.035697,0.168732,0.009089,True,True,True
S8I-902,C_earnings_surprise_x_sensitivity,0.054545,0.211364,0.022727,True,True,True
S8I-903,F_s8e011_plus_external_confirmation,0.107448,0.152056,0.005625,True,True,True
S8I-904,B_analyst_revision_x_sensitivity,0.038749,0.167825,0.010422,True,True,True
