source,family,schema,normalized_path,n_real_events,n_mock_events,pit_field,status
earnings,C_earnings_surprise_x_sensitivity,earnings,D:/Stock_Prediction_app_data/external_normalized/earnings/earnings_normalized.csv,8320,0,point_in_time_available_at,REAL_EVENTS_ACTIVATED
analyst_revision_proxy,B_analyst_revision_x_sensitivity,analyst_revisions,D:/Stock_Prediction_app_data/external_normalized/analyst_revision/analyst_revision_proxy_normalized.csv,8320,0,point_in_time_available_at,REAL_PROXY_ACTIVATED_CAPPED
filings_sec,H_sec_filings_x_sensitivity,sec_filings,D:/Stock_Prediction_app_data/external_normalized/filings_sec/filings_normalized.csv,9737,0,availability_date,REAL_EVENTS_CACHED
news_sentiment,A_news_sentiment_x_sensitivity,news,,0,0,point_in_time_available_at,NO_HISTORY_NEEDS_PROVIDER
short_interest,E_short_interest_x_sensitivity,short_interest,,0,0,point_in_time_available_at,NO_HISTORY_NEEDS_BULK_OR_PROVIDER
options_iv,D_options_iv_x_sensitivity,options,,0,0,point_in_time_available_at,NEEDS_PROVIDER
