exp_id,family,driver,cohort,is_challenge,n_events,n_matched_control,triggered_mean,control_mean,lift_vs_control,hit_rate,control_hit_rate,ev_after_25bps,recent_lift_vs_control
S8G-C20,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_surprise_sensitive,False,2127,1443,-0.00092,0.001106,-0.001178,0.496004,0.492743,-0.00592,-0.004109
S8G-C05,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_surprise_sensitive,False,723,484,0.00082,-0.00071,0.003655,0.500692,0.492813,-0.00418,0.001663
S8G-C60,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_surprise_sensitive,False,2104,1427,0.00277,0.003137,-5.3e-05,0.492871,0.491605,-0.00223,-0.003192
S8G-B20,B_analyst_revision_x_sensitivity,analyst_revision_proxy,cohort_surprise_sensitive,False,1345,901,0.001213,0.001132,0.001575,0.510037,0.492743,-0.003787,-0.001846
S8G-F20,F_s8e011_plus_external_confirmation,rates,cohort_rates_neg,False,692,316,0.008779,-0.003917,0.005328,0.543353,0.492688,0.003779,0.004877
S8G-H20,H_sec_filings_x_sensitivity,sec_filing,cohort_filing_active,False,2728,1774,-0.001409,0.000278,-0.001277,0.491202,0.492782,-0.006409,-0.000667
S8G-901,C_earnings_surprise_x_sensitivity,earnings_surprise,,True,6051,4012,0.001727,0.001483,0.001933,0.50157,0.492714,-0.003273,-2.2e-05
S8G-902,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_surprise_sensitive,True,440,299,0.004968,0.000161,0.003752,0.529545,0.492743,-3.2e-05,0.003656
S8G-903,F_s8e011_plus_external_confirmation,rates,,True,2974,1951,0.001055,0.002262,-0.000275,0.494956,0.492769,-0.003945,0.00144
S8E-001,G_macro_cross_asset_x_sensitivity,oil,cohort_oil_pos,False,10490,3688,-0.00645,0.000389,-0.002909,0.448141,0.49325,-0.01145,-0.004967
S8E-002,G_macro_cross_asset_x_sensitivity,oil,cohort_oil_neg,False,11120,5616,-0.006135,-0.010353,0.003551,0.48723,0.495195,-0.011135,-0.002003
S8E-010,G_macro_cross_asset_x_sensitivity,rates,cohort_rates_pos,False,12570,4391,-0.00399,0.000982,-0.002223,0.455529,0.492864,-0.00899,-0.001179
S8E-011,G_macro_cross_asset_x_sensitivity,rates,cohort_rates_neg,False,11881,5267,0.006276,-0.000281,0.004035,0.523272,0.492688,0.001276,0.003413
S8E-020,G_macro_cross_asset_x_sensitivity,credit,cohort_low_beta,False,9688,2852,0.000661,0.001856,-0.002868,0.514967,0.493866,-0.004339,-0.004142
S8E-030,G_macro_cross_asset_x_sensitivity,vix,cohort_low_beta,False,14877,5060,0.001435,0.000696,-0.000198,0.499899,0.493866,-0.003565,-0.0019
S8E-031,G_macro_cross_asset_x_sensitivity,vix,cohort_vol_spike_sens,False,16469,7643,-0.00375,-0.004964,0.000359,0.48904,0.492001,-0.00875,0.003455
S8E-040,G_macro_cross_asset_x_sensitivity,market,cohort_high_beta,False,9926,4354,0.00192,0.002514,-0.000151,0.505642,0.492338,-0.00308,-0.002759
S8E-050,G_macro_cross_asset_x_sensitivity,usd,cohort_usd_pos,False,9730,4737,-0.001095,-0.0035,0.003419,0.505858,0.492938,-0.006095,0.007391
S8E-051,G_macro_cross_asset_x_sensitivity,usd,cohort_usd_neg,False,7492,3416,-0.007052,-0.006265,-0.002046,0.457021,0.494331,-0.012052,-0.00765
S8E-060,G_macro_cross_asset_x_sensitivity,commodity,cohort_oil_pos,False,13146,4555,-0.005555,-0.000491,-0.000184,0.458695,0.49325,-0.010555,-0.004439
S8E-070,G_macro_cross_asset_x_sensitivity,sector,cohort_sector_lead,False,33723,17165,0.004063,0.002208,0.002532,0.500341,0.492883,-0.000937,0.003629
S8E-901,G_macro_cross_asset_x_sensitivity,oil,cohort_oil_neg,True,9125,4323,-0.002696,0.000386,-0.00137,0.473425,0.495195,-0.007696,0.002625
S8E-902,G_macro_cross_asset_x_sensitivity,rates,cohort_rates_neg,True,7480,3463,0.000183,0.000919,-0.00194,0.488904,0.492688,-0.004817,-0.006052
S8E-903,G_macro_cross_asset_x_sensitivity,vix,cohort_high_beta,True,12044,5533,0.001954,0.001011,0.000938,0.51179,0.492338,-0.003046,0.004223
S8E-910,G_macro_cross_asset_x_sensitivity,oil,,True,48400,13815,-0.002528,0.001808,-0.004258,0.474029,0.493902,-0.007528,-0.004467
S8E-911,G_macro_cross_asset_x_sensitivity,vix,,True,67737,20240,0.001493,-0.002848,0.004601,0.507108,0.491223,-0.003507,0.006494
S8E-920,G_macro_cross_asset_x_sensitivity,oil,cohort_oil_pos,True,54293,20281,0.000889,0.001595,0.000566,0.485827,0.49325,-0.004111,0.001042
S8E-101,G_macro_cross_asset_x_sensitivity,oil,cohort_oil_pos,False,3764,1294,-0.016379,-0.005038,-0.004388,0.418172,0.49325,-0.021379,-0.005138
S8E-110,G_macro_cross_asset_x_sensitivity,rates,cohort_rates_pos,False,4148,1379,-0.010604,0.001627,-0.010662,0.409354,0.492864,-0.015604,-0.011547
S8E-130,G_macro_cross_asset_x_sensitivity,vix,cohort_low_beta,False,7201,2581,-0.000129,0.001497,-0.003659,0.48035,0.495121,-0.005129,-0.008399
S8E-940,G_macro_cross_asset_x_sensitivity,vix,,True,74809,0,-0.002531,,,0.489487,0.493092,-0.007531,
S8E-941,G_macro_cross_asset_x_sensitivity,market,cohort_low_beta,True,170190,57787,-0.001268,-0.001644,-0.000993,0.483342,0.495121,-0.006268,-0.000731
S8E-960,G_macro_cross_asset_x_sensitivity,vix,cohort_low_beta,True,14721,4982,-0.008821,-0.00294,-0.00434,0.46668,0.495436,-0.013821,-0.004387
S8E-961,G_macro_cross_asset_x_sensitivity,oil,cohort_oil_pos,True,10490,3688,-0.00645,0.000389,-0.002909,0.448141,0.49325,-0.01145,-0.004967
