ticker,side,price_source,local_file_present,entry_reference_date,latest_local_price_date,mark_method,status
APP,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
LULU,LONG,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
IP,LONG,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
PM,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
NOW,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
SNDK,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
DXCM,LONG,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
EXE,LONG,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
EQT,LONG,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
LYV,LONG,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
MCO,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
GEV,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
SHOP,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
SLB,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
APD,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
CMG,LONG,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
ANET,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
VRT,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
NFLX,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
DPZ,LONG,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
FICO,LONG,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
FAST,LONG,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
GWW,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
ABNB,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
B,LONG,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
NOC,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
WDC,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
QCOM,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
PSX,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
FSLR,SHORT,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
