field,value
PAPER TRACKING ONLY,YES
NO ORDERS,CONFIRMED
NO AUTOMATION,CONFIRMED
NO BROKER,CONFIRMED
HUMAN REVIEW REQUIRED,YES
NO LIVE TRADING,CONFIRMED
NO PAPER TRADER WRITES,CONFIRMED
decision,PAPER_POSITION_TRACKER_READY_PENDING_PRICE_REFRESH
mtm_status,PENDING_PRICE_REFRESH
n_long,25
n_short,25
inception_date,2026-06-26
next_rebalance_date,2026-09-30
n_marked,0
n_pending_price_refresh,21
n_no_local_price,29
