ticker,side,target_weight,entry_reference_date,entry_price,current_price,current_price_date,paper_return_pct,side_signed_return_pct,weighted_contribution_pct,price_status
APP,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
LULU,LONG,0.04,2026-06-26,117.57,117.57,2026-06-26,,,,PENDING_PRICE_REFRESH
IP,LONG,0.04,2026-06-26,38.76,38.76,2026-06-26,,,,PENDING_PRICE_REFRESH
PM,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
NOW,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
SNDK,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
DXCM,LONG,0.04,2026-06-26,70.14,70.14,2026-06-26,,,,PENDING_PRICE_REFRESH
EXE,LONG,0.04,2026-06-26,88.47,88.47,2026-06-26,,,,PENDING_PRICE_REFRESH
EQT,LONG,0.04,2026-06-26,52.7,52.7,2026-06-26,,,,PENDING_PRICE_REFRESH
LYV,LONG,0.04,2026-06-26,179.46,179.46,2026-06-26,,,,PENDING_PRICE_REFRESH
MCO,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
GEV,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
SHOP,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
SLB,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
APD,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
CMG,LONG,0.04,2026-06-26,33.34,33.34,2026-06-26,,,,PENDING_PRICE_REFRESH
ANET,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
VRT,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
NFLX,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
DPZ,LONG,0.04,2026-06-26,298.18,298.18,2026-06-26,,,,PENDING_PRICE_REFRESH
FICO,LONG,0.04,2026-06-26,1182.79,1182.79,2026-06-26,,,,PENDING_PRICE_REFRESH
FAST,LONG,0.04,2026-06-26,47.1,47.1,2026-06-26,,,,PENDING_PRICE_REFRESH
GWW,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
ABNB,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
B,LONG,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
NOC,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
WDC,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
QCOM,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
PSX,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
FSLR,SHORT,0.04,2026-06-26,239.07,239.07,2026-06-26,,,,PENDING_PRICE_REFRESH
PSKY,SHORT,0.04,2026-06-26,9.64,9.64,2026-06-26,,,,PENDING_PRICE_REFRESH
CLX,SHORT,0.04,2026-06-26,97.54,97.54,2026-06-26,,,,PENDING_PRICE_REFRESH
MKC,SHORT,0.04,2026-06-26,51.05,51.05,2026-06-26,,,,PENDING_PRICE_REFRESH
BALL,SHORT,0.04,2026-06-26,61.79,61.79,2026-06-26,,,,PENDING_PRICE_REFRESH
APTV,SHORT,0.04,2026-06-26,60.32,60.32,2026-06-26,,,,PENDING_PRICE_REFRESH
WBD,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
SWK,SHORT,0.04,2026-06-26,91.98,91.98,2026-06-26,,,,PENDING_PRICE_REFRESH
COHR,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
AMZN,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
OMC,SHORT,0.04,2026-06-26,73.09,73.09,2026-06-26,,,,PENDING_PRICE_REFRESH
MRSH,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
PHM,SHORT,0.04,2026-06-26,137.61,137.61,2026-06-26,,,,PENDING_PRICE_REFRESH
CVNA,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
HON,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
PPG,SHORT,0.04,2026-06-26,123.24,123.24,2026-06-26,,,,PENDING_PRICE_REFRESH
BSX,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
LMT,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
DIS,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
MLM,SHORT,0.04,2026-06-26,616.06,616.06,2026-06-26,,,,PENDING_PRICE_REFRESH
SHW,SHORT,0.04,2026-06-26,,,,,,,NO_LOCAL_PRICE
