code,concept,present,matched_column
ZACKS/ZEEH,estimate_high_low_std,False,
ZACKS/ZEEH,upward_revision_count,False,
ZACKS/ZEEH,downward_revision_count,False,
ZACKS/ZEEH,prior_estimate,False,
ZACKS/ZEEH,new_estimate,False,
ZACKS/ZEEH,broker_or_analyst,False,
ZACKS/ZEEH,_SCHEMA_BACKTESTABLE,False,
ZACKS/ZEEH,_FULL_ACCESS_NOT_SAMPLE,False,
ZACKS/ZEEH,_BACKTESTABLE,False,
ZACKS/SE,ticker,True,m_ticker
ZACKS/SE,observation_or_effective_date,True,last_rev_date
ZACKS/SE,fiscal_period,True,per_end_date
ZACKS/SE,eps_consensus_estimate,False,
ZACKS/SE,revenue_or_sales_estimate,True,sales_mean_est
ZACKS/SE,analyst_count,True,sales_mean_est
ZACKS/SE,estimate_high_low_std,True,sales_high_est
ZACKS/SE,upward_revision_count,True,sales_cnt_est_rev_up_1w
ZACKS/SE,downward_revision_count,True,sales_cnt_est_rev_down_1w
ZACKS/SE,prior_estimate,False,
ZACKS/SE,new_estimate,False,
ZACKS/SE,broker_or_analyst,False,
ZACKS/SE,_SCHEMA_BACKTESTABLE,True,
ZACKS/SE,_FULL_ACCESS_NOT_SAMPLE,False,
ZACKS/SE,_BACKTESTABLE,False,
ZACKS/EPRR,ticker,False,
ZACKS/EPRR,observation_or_effective_date,False,
ZACKS/EPRR,fiscal_period,False,
ZACKS/EPRR,eps_consensus_estimate,False,
ZACKS/EPRR,revenue_or_sales_estimate,False,
ZACKS/EPRR,analyst_count,False,
ZACKS/EPRR,estimate_high_low_std,False,
ZACKS/EPRR,upward_revision_count,False,
ZACKS/EPRR,downward_revision_count,False,
ZACKS/EPRR,prior_estimate,False,
ZACKS/EPRR,new_estimate,False,
ZACKS/EPRR,broker_or_analyst,False,
ZACKS/EPRR,_SCHEMA_BACKTESTABLE,False,
ZACKS/EPRR,_FULL_ACCESS_NOT_SAMPLE,False,
ZACKS/EPRR,_BACKTESTABLE,False,
