code,schema_class,column
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,m_ticker
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,ticker
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,comp_name
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,comp_name_2
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,exchange
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,currency_code
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,per_end_date
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,per_type
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,eps_mean_est
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,eps_high_est
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,eps_low_est
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,eps_cnt_est
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,eps_pct_chg_est
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,per_code
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,per_fisc_year
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,per_fisc_qtr
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,per_cal_year
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,per_cal_qtr
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,eps_median_est
ZACKS/EE,CURRENT_SNAPSHOT_ONLY,eps_std_dev_est
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,m_ticker
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,ticker
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,comp_name
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,comp_name_2
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,exchange
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,currency_code
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,eps_mean_est_fwd12m
