sector,n_names,weight_pct,flag
Information Technology,13,26.0,OK
Health Care,9,18.0,OK
Consumer Discretionary,8,16.0,OK
Communication Services,6,12.0,OK
Industrials,6,12.0,OK
Consumer Staples,2,4.0,OK
Energy,2,4.0,OK
Materials,2,4.0,OK
Financials,1,2.0,OK
Real Estate,1,2.0,OK
