ticker,review_label,sector,unknown_sector,low_liquidity,missing_leg,extreme_score,cohort,is_new_cohort,in_concentrated_sector
MA,HOLD,Financials,False,False,False,False,old,False,False
GLW,HOLD,Unknown,True,False,False,False,old,False,False
ROL,HOLD,Unknown,True,True,False,False,new,True,False
LYG,HOLD,Unknown,True,True,False,False,old,False,False
ALL,HOLD,Unknown,True,False,False,False,new,True,False
NOK,HOLD,Unknown,True,False,False,False,old,False,False
CMCSA,HOLD,Unknown,True,False,False,False,old,False,False
SMFG,HOLD,Unknown,True,True,False,False,old,False,False
FIX,HOLD,Unknown,True,True,False,False,old,False,False
ABT,HOLD,Health Care,False,False,False,False,old,False,False
NET,HOLD,Unknown,True,False,False,False,old,False,False
DB,HOLD,Unknown,True,True,False,False,old,False,False
MCHP,HOLD,Unknown,True,False,False,False,new,True,False
TECH,HOLD,Unknown,True,False,False,False,new,True,False
APH,HOLD,Information Technology,False,False,False,False,old,False,False
ESS,HOLD,Unknown,True,True,False,False,new,True,False
BIIB,HOLD,Unknown,True,False,False,False,new,True,False
DASH,HOLD,Unknown,True,False,False,False,old,False,False
RSG,HOLD,Unknown,True,False,False,False,old,False,False
FCX,HOLD,Unknown,True,False,False,False,old,False,False
KO,HOLD,Consumer Staples,False,False,False,False,old,False,False
ON,HOLD,Unknown,True,False,False,False,new,True,False
CYATY,HOLD,Unknown,True,True,False,False,old,False,False
BTI,HOLD,Unknown,True,True,False,False,old,False,False
AMD,HOLD,Information Technology,False,False,False,False,old,False,False
NDSN,HOLD,Unknown,True,True,False,False,new,True,False
CHTR,HOLD,Unknown,True,False,False,False,new,True,False
KMI,HOLD,Unknown,True,False,False,False,old,False,False
DHI,HOLD,Unknown,True,False,False,False,new,True,False
ISRG,HOLD,Health Care,False,False,False,False,old,False,False
MUFG,HOLD,Unknown,True,True,False,False,old,False,False
TMUS,HOLD,Unknown,True,False,False,False,old,False,False
CAT,HOLD,Industrials,False,False,False,False,old,False,False
PODD,HOLD,Unknown,True,True,False,False,new,True,False
MO,HOLD,Consumer Staples,False,False,False,False,old,False,False
NDAQ,HOLD,Unknown,True,False,False,False,new,True,False
ALAB,HOLD,Unknown,True,False,False,False,old,False,False
CB,HOLD,Financials,False,False,False,False,old,False,False
TMO,HOLD,Health Care,False,False,False,False,old,False,False
AOS,HOLD,Unknown,True,True,False,False,new,True,False
EOG,HOLD,Energy,False,False,False,False,old,False,False
BR,HOLD,Unknown,True,True,False,False,new,True,False
STM,HOLD,Unknown,True,True,False,False,old,False,False
NVS,HOLD,Unknown,True,False,False,False,old,False,False
MSCI,HOLD,Unknown,True,False,False,False,new,True,False
DLR,HOLD,Unknown,True,False,False,False,old,False,False
TEL,HOLD,Unknown,True,False,False,False,old,False,False
PCAR,HOLD,Unknown,True,False,False,False,old,False,False
CSX,HOLD,Unknown,True,False,False,False,old,False,False
CVX,HOLD,Energy,False,False,False,False,old,False,False
EL,HOLD,Unknown,True,False,False,False,new,True,False
PLD,HOLD,Real Estate,False,False,False,False,old,False,False
EPD,HOLD,Unknown,True,True,False,False,old,False,False
MSFT,HOLD,Information Technology,False,False,False,False,old,False,False
JNJ,HOLD,Health Care,False,False,False,False,old,False,False
CPT,HOLD,Unknown,True,True,False,False,new,True,False
PGR,HOLD,Unknown,True,False,False,False,old,False,False
BDX,HOLD,Unknown,True,False,False,False,new,True,False
DECK,HOLD,Unknown,True,False,False,False,new,True,False
CSGP,HOLD,Unknown,True,False,False,False,new,True,False
CINF,HOLD,Unknown,True,True,False,False,new,True,False
EQNR,HOLD,Unknown,True,True,False,False,old,False,False
C,HOLD,Financials,False,False,False,False,old,False,False
AIZ,HOLD,Unknown,True,True,False,False,new,True,False
AMT,HOLD,Unknown,True,False,False,False,old,False,False
AKAM,HOLD,Unknown,True,False,False,False,new,True,False
STE,HOLD,Unknown,True,True,False,False,new,True,False
AME,HOLD,Unknown,True,False,False,False,new,True,False
IQV,HOLD,Unknown,True,False,False,False,new,True,False
ARES,HOLD,Unknown,True,True,False,False,new,True,False
T,HOLD,Communication Services,False,False,False,False,old,False,False
CNQ,HOLD,Unknown,True,True,False,False,old,False,False
GE,HOLD,Industrials,False,False,False,False,old,False,False
KMB,HOLD,Unknown,True,False,False,False,new,True,False
COIN,HOLD,Unknown,True,False,False,False,new,True,False
HSY,HOLD,Unknown,True,False,False,False,new,True,False
ACGL,HOLD,Unknown,True,True,False,False,new,True,False
COF,HOLD,Unknown,True,False,False,False,old,False,False
STZ,HOLD,Unknown,True,False,False,False,new,True,False
AVB,HOLD,Unknown,True,False,False,False,new,True,False
FTV,HOLD,Unknown,True,False,False,False,new,True,False
MCD,HOLD,Consumer Discretionary,False,False,False,False,old,False,False
VZ,HOLD,Communication Services,False,False,False,False,old,False,False
ITUB,HOLD,Unknown,True,True,False,False,old,False,False
MGM,HOLD,Unknown,True,False,False,False,new,True,False
WBD,HOLD,Unknown,True,False,False,False,old,False,False
HUM,HOLD,Unknown,True,False,False,False,new,True,False
SPG,HOLD,Unknown,True,False,False,False,old,False,False
TT,HOLD,Unknown,True,False,False,False,old,False,False
MSI,HOLD,Unknown,True,False,False,False,old,False,False
PYPL,HOLD,Financials,False,False,False,False,new,True,False
MAR,HOLD,Consumer Discretionary,False,False,False,False,old,False,False
SO,HOLD,Utilities,False,False,False,False,old,False,False
SAN,HOLD,Unknown,True,True,False,False,old,False,False
INVH,HOLD,Unknown,True,True,False,False,new,True,False
DIS,HOLD,Communication Services,False,False,False,False,old,False,False
NEE,HOLD,Utilities,False,False,False,False,old,False,False
SHW,HOLD,Materials,False,False,False,False,old,False,False
SLB,HOLD,Energy,False,False,False,False,old,False,False
MTD,HOLD,Unknown,True,False,False,False,new,True,False
PH,HOLD,Industrials,False,False,False,False,old,False,False
DUK,HOLD,Utilities,False,False,False,False,old,False,False
FFIV,HOLD,Unknown,True,True,False,False,new,True,False
FLEX,HOLD,Unknown,True,False,False,False,new,True,False
TRV,HOLD,Unknown,True,False,False,False,old,False,False
RTX,HOLD,Industrials,False,False,False,False,old,False,False
VLO,HOLD,Unknown,True,False,False,False,old,False,False
ROK,HOLD,Unknown,True,False,False,False,new,True,False
RVTY,HOLD,Unknown,True,True,False,False,new,True,False
PBR,HOLD,Unknown,True,False,False,False,old,False,False
COP,HOLD,Energy,False,False,False,False,old,False,False
LITE,HOLD,Unknown,True,False,False,False,old,False,False
HD,HOLD,Consumer Discretionary,False,False,False,False,old,False,False
REGN,HOLD,Health Care,False,False,False,False,old,False,False
DVA,HOLD,Unknown,True,True,False,False,new,True,False
AXP,HOLD,Financials,False,False,False,False,old,False,False
AMGN,HOLD,Health Care,False,False,False,False,old,False,False
BXP,HOLD,Unknown,True,True,False,False,new,True,False
O,HOLD,Unknown,True,False,False,False,old,False,False
AJG,HOLD,Unknown,True,False,False,False,new,True,False
DHR,HOLD,Unknown,True,False,False,False,old,False,False
ICE,HOLD,Financials,False,False,False,False,old,False,False
EFX,HOLD,Unknown,True,False,False,False,new,True,False
CVS,HOLD,Health Care,False,False,False,False,old,False,False
ASX,HOLD,Unknown,True,True,False,False,old,False,False
CNI,HOLD,Unknown,True,True,False,False,old,False,False
ALB,HOLD,Unknown,True,False,False,False,new,True,False
SU,HOLD,Unknown,True,False,False,False,old,False,False
PG,HOLD,Consumer Staples,False,False,False,False,old,False,False
EXR,HOLD,Unknown,True,False,False,False,new,True,False
TRP,HOLD,Unknown,True,True,False,False,old,False,False
CDW,HOLD,Unknown,True,False,False,False,new,True,False
SPGI,HOLD,Financials,False,False,False,False,old,False,False
JCI,HOLD,Unknown,True,False,False,False,old,False,False
IBKR,HOLD,Unknown,True,True,False,False,old,False,False
ES,HOLD,Unknown,True,False,False,False,new,True,False
WMB,HOLD,Unknown,True,False,False,False,old,False,False
BLDR,HOLD,Unknown,True,True,False,False,new,True,False
KIM,HOLD,Unknown,True,True,False,False,new,True,False
BAX,HOLD,Unknown,True,False,False,False,new,True,False
HWM,HOLD,Unknown,True,False,False,False,old,False,False
FRT,HOLD,Unknown,True,True,False,False,new,True,False
MDLN,HOLD,Unknown,True,False,False,False,old,False,False
HIG,HOLD,Unknown,True,False,False,False,new,True,False
BCS,HOLD,Unknown,True,True,False,False,old,False,False
SBAC,HOLD,Unknown,True,False,False,False,new,True,False
EQIX,HOLD,Real Estate,False,False,False,False,old,False,False
LDOS,HOLD,Unknown,True,True,False,False,new,True,False
GL,HOLD,Unknown,True,True,False,False,new,True,False
NUE,HOLD,Unknown,True,False,False,False,old,False,False
EQR,HOLD,Unknown,True,False,False,False,new,True,False
SNY,HOLD,Unknown,True,True,False,False,old,False,False
BABA,HOLD,Unknown,True,False,False,False,old,False,False
AEE,HOLD,Unknown,True,True,False,False,new,True,False
DOC,HOLD,Unknown,True,True,False,False,new,True,False
AZN,HOLD,Unknown,True,False,False,False,old,False,False
