ticker,review_label,comp_sn,comp_raw,fcf_to_assets_level,fcf_to_assets_oriented_z,operating_accruals_level,operating_accruals_oriented_z,dominant_leg
EXPE,LONG,9.21291,9.09173,0.14161,4.47835,-0.1488,5.89778,operating_accruals
EA,LONG,8.29619,8.18347,0.13343,4.18365,-0.13087,5.15979,operating_accruals
JPM,LONG,6.91003,6.45231,0.08325,2.37589,-0.08031,3.07767,operating_accruals
BKNG,LONG,6.53289,7.48586,0.11212,3.4159,-0.07691,2.93792,fcf_to_assets
STX,LONG,5.73212,5.5367,0.10718,3.23773,-0.04116,1.46585,fcf_to_assets
LYV,LONG,5.53697,5.45976,0.07787,2.18198,-0.10465,4.07992,operating_accruals
LULU,LONG,5.28296,5.19578,0.11348,3.46486,-0.06575,2.47815,fcf_to_assets
APP,LONG,5.05856,4.9552,0.16755,5.41246,-0.01113,0.22927,fcf_to_assets
RELX,LONG,4.77604,4.60116,0.1005,2.99728,-0.02766,0.91011,fcf_to_assets
FOX,LONG,4.73687,4.66366,0.08112,2.29909,-0.0797,3.05251,operating_accruals
FOXA,LONG,4.73687,4.66366,0.08112,2.29909,-0.0797,3.05251,operating_accruals
SNDK,LONG,3.67953,3.58237,0.17529,5.69127,0.03379,-1.62038,fcf_to_assets
EXE,LONG,3.65676,3.5162,0.05742,1.44532,-0.04211,1.50476,operating_accruals
EQT,LONG,3.41744,3.28109,0.05892,1.4995,-0.03601,1.25355,fcf_to_assets
ABNB,LONG,3.37082,3.31193,0.06366,1.67039,-0.0577,2.1469,operating_accruals
NOW,LONG,3.36541,4.08509,0.06271,1.6361,-0.04926,1.79933,operating_accruals
CHRW,LONG,3.32597,3.19116,0.05978,1.53051,-0.03343,1.14744,fcf_to_assets
PM,LONG,3.23097,3.44856,0.06165,1.59766,-0.03712,1.29938,fcf_to_assets
DXCM,LONG,3.19167,3.1326,0.06769,1.81534,-0.04916,1.79526,fcf_to_assets
RACE,LONG,3.12393,3.06415,0.07119,1.94153,-0.04416,1.58921,fcf_to_assets
DPZ,LONG,3.10774,2.97139,0.07965,2.24618,-0.01201,0.26534,fcf_to_assets
SHOP,LONG,3.01957,2.97267,0.0336,0.5873,-0.07496,2.85758,operating_accruals
NVR,LONG,2.93341,2.80197,0.07445,2.05879,-0.01296,0.3047,fcf_to_assets
ANET,LONG,2.79105,2.73191,0.07568,2.10327,-0.03096,1.04603,fcf_to_assets
FICO,LONG,2.76089,2.62277,0.10892,3.30052,0.02007,-1.0552,fcf_to_assets
LVS,LONG,2.75877,2.64004,0.04243,0.90534,-0.03691,1.29069,operating_accruals
MCO,LONG,2.74676,2.3776,0.05729,1.44075,-0.01887,0.54801,fcf_to_assets
VRT,LONG,2.59402,2.47663,0.04882,1.13567,-0.02811,0.92855,fcf_to_assets
IVZ,LONG,2.5786,2.47108,0.01595,-0.04836,-0.05599,2.07632,operating_accruals
IP,LONG,2.56914,2.53384,0.00672,-0.38103,-0.08664,3.33827,operating_accruals
