side,rank_sn,ticker,comp_sn,comp_raw,sector,sector_is_unknown,cohort,liquidity_proxy,review_status,fcf_to_assets,avail_fcf_to_assets,operating_accruals,avail_operating_accruals
LONG,41,BUD,2.18719,2.14178,Unknown,True,old,122397413.77855,PAPER_REVIEW_ONLY,0.04519,2026-02-13,-0.04165,2026-02-13
LONG,42,CMG,2.17625,3.23106,Consumer Discretionary,False,new,18641712969.90915,PAPER_REVIEW_ONLY,0.0535,2026-04-29,-0.03959,2026-04-29
LONG,43,CNC,2.16153,2.05458,Unknown,True,new,293901918.72667,PAPER_REVIEW_ONLY,0.04188,2026-04-28,-0.02536,2026-04-28
LONG,44,PLTR,2.15111,2.09219,Unknown,True,old,3201525631.14285,PAPER_REVIEW_ONLY,0.08743,2026-05-05,-0.00281,2026-05-05
LONG,45,GEV,2.10737,1.99522,Unknown,True,old,1477850918.10517,PAPER_REVIEW_ONLY,0.06336,2026-04-22,-0.00586,2026-04-22
LONG,46,GNRC,2.01506,1.91636,Unknown,True,new,125625861.01189,PAPER_REVIEW_ONLY,0.02331,2026-02-18,-0.03834,2026-02-18
LONG,47,GD,1.97281,1.30228,Industrials,False,old,256370060.30509,PAPER_REVIEW_ONLY,0.03307,2026-04-29,-0.01745,2026-04-29
LONG,48,NEM,1.88972,1.78439,Unknown,True,old,383433846.09568,PAPER_REVIEW_ONLY,0.05452,2026-04-23,-0.00907,2026-04-23
LONG,49,GWW,1.86419,1.81599,Unknown,True,old,176730641.50985,PAPER_REVIEW_ONLY,0.06007,2026-05-07,-0.01942,2026-05-07
LONG,50,ODFL,1.85187,1.74936,Unknown,True,new,327279121.12856,PAPER_REVIEW_ONLY,0.04734,2026-02-24,-0.01446,2026-02-24
LONG,51,EXPD,1.82756,1.77895,Unknown,True,new,117393215.55295,PAPER_REVIEW_ONLY,0.06203,2026-05-06,-0.01665,2026-05-06
LONG,52,AVY,1.80311,1.70509,Unknown,True,new,85376431.03185,PAPER_REVIEW_ONLY,0.03519,2026-02-25,-0.0239,2026-02-25
LONG,53,ALGN,1.79308,1.69197,Unknown,True,new,238689219.89417,PAPER_REVIEW_ONLY,0.04647,2026-02-27,-0.01402,2026-02-27
LONG,54,FANG,1.78822,1.75363,Unknown,True,new,247907728.78057,PAPER_REVIEW_ONLY,0.0197,2026-02-25,-0.05349,2026-02-25
LONG,55,HAS,1.78181,1.73636,Unknown,True,new,111774839.37287,PAPER_REVIEW_ONLY,0.0532,2026-05-13,-0.0233,2026-05-13
LONG,56,RMD,1.7748,1.72743,Unknown,True,new,135901199.40673,PAPER_REVIEW_ONLY,0.05925,2026-04-30,-0.01769,2026-04-30
LONG,57,RIO,1.75263,1.66007,Unknown,True,old,137204265.01589,PAPER_REVIEW_ONLY,0.01976,2026-02-19,-0.03612,2026-02-19
LONG,58,ADP,1.72391,1.05862,Industrials,False,old,341854575.80015,PAPER_REVIEW_ONLY,0.0317,2026-04-30,-0.01362,2026-04-30
LONG,59,URI,1.7211,1.62828,Unknown,True,old,269902414.51209,PAPER_REVIEW_ONLY,0.02278,2026-04-22,-0.03289,2026-04-22
LONG,60,SCCO,1.68484,1.58477,Unknown,True,old,74326616.86486,PAPER_REVIEW_ONLY,0.05012,2026-02-27,-0.00872,2026-02-27
LONG,61,JBHT,1.67935,1.58499,Unknown,True,new,124187393.9874,PAPER_REVIEW_ONLY,0.03086,2026-02-24,-0.02512,2026-02-24
LONG,62,HAL,1.67101,1.57616,Unknown,True,new,329616790.89879,PAPER_REVIEW_ONLY,0.03311,2026-02-06,-0.02303,2026-02-06
LONG,63,INCY,1.64809,1.54907,Unknown,True,new,139363045.39251,PAPER_REVIEW_ONLY,0.04894,2026-04-28,-0.009,2026-04-28
LONG,64,TER,1.6419,1.54199,Unknown,True,old,224910182.74848,PAPER_REVIEW_ONLY,0.05246,2026-02-19,-0.00585,2026-02-19
LONG,65,IT,1.58006,1.53745,Unknown,True,new,134733167.67005,PAPER_REVIEW_ONLY,0.04841,2026-05-05,-0.02204,2026-05-05
LONG,66,SNA,1.56452,1.4695,Unknown,True,new,90222869.54326,PAPER_REVIEW_ONLY,0.0408,2026-04-23,-0.01429,2026-04-23
LONG,67,DVN,1.56259,1.52949,Unknown,True,new,335139375.53882,PAPER_REVIEW_ONLY,0.01951,2026-05-06,-0.04745,2026-05-06
LONG,68,NBIS,1.55644,1.53286,Unknown,True,old,1308909597.79717,PAPER_REVIEW_ONLY,-0.00963,2026-05-13,-0.07339,2026-05-13
LONG,69,GRMN,1.53575,1.4407,Unknown,True,new,104626747.11514,PAPER_REVIEW_ONLY,0.04285,2026-04-29,-0.01195,2026-04-29
LONG,70,EW,1.52035,1.43055,Unknown,True,new,441954734.79698,PAPER_REVIEW_ONLY,0.02581,2026-02-25,-0.02626,2026-02-25
LONG,71,ECL,1.48229,1.39181,Unknown,True,old,226972617.01153,PAPER_REVIEW_ONLY,0.03069,2026-02-23,-0.02131,2026-02-23
