key,hypothesis,signal,sign,holding_days,treatment,experiment_key
rev1_r1,short_reversal,ret_1,-1,1,none,9e7d343e5e3bff25
rev1_r2,reversal_lowturn,ret_1,-1,2,none,95be2ec1eaa1262c
rev1_r3,reversal_lowturn,ret_1,-1,3,none,57775f5cb34fe87e
rev1_r5,reversal_lowturn,ret_1,-1,5,none,770d1f4013feed83
rev1_r10,reversal_lowturn,ret_1,-1,10,none,7ae0059cad715e3f
rev1_r21,reversal_lowturn,ret_1,-1,21,none,6442cda2dde9ada6
rev1_r1_buf05,reversal_lowturn,ret_1,-1,1,buf0.5,3f6a1c3ef0e4d827
rev1_r1_buf10,reversal_lowturn,ret_1,-1,1,buf1.0,0d52304b9013b7b8
rev1_r5_buf10,reversal_lowturn,ret_1,-1,5,buf1.0,48020b53ac5c679e
rev1_r1_extreme,event_reversal,ret_1,-1,1,absz>=2.0,50b4fa1064349940
rev1_r5_extreme,event_reversal,ret_1,-1,5,absz>=2.0,63f2ed4e23c34d3f
rev1_r1_highliq,short_reversal,ret_1,-1,1,adv>=50M,f5d0527738ef0c71
rev1_r5_highliq_buf10,reversal_lowturn,ret_1,-1,5,buf1.0+adv>=50M,ea4b998519fb2aed
rev1_r1_secneu,short_reversal,ret_1,-1,1,secneu,29d3ed225166d114
rev1_r1_top50,short_reversal,ret_1,-1,1,none,c6649d3c7ef0b50d
rev1_r1_top100,short_reversal,ret_1,-1,1,none,0f6159c0d58f7979
rev5_r5,reversal_lowturn,ret_5,-1,5,none,b49d4047b6238b75
rev10_r10,reversal_lowturn,ret_10,-1,10,none,6714b277e58f604f
rev21_r21,reversal_lowturn,ret_21,-1,21,none,c9b1acc7574e1283
volconf_rev_r5,event_reversal,ret_5,-1,5,dvol_surge>=1.0,386093a10d4233a6
mom21_1_r5,short_continuation,mom_21_1,1,5,none,8e959460f58c1d82
fast_lowvol_r21,fast_lowvol,rv20,-1,21,none,2c9b7a3b3534cb60
mom126_21_r21,short_continuation,mom_126_21,1,21,none,0e16a12adf949fb6
