candidate,family,signal,sign,holding_days,construction,treatment,n,ic_t,ic_nw_t,pos_ic_rate,gross,net25,net50,net75,avg_turnover,breakeven_bps,holdout_net25,pre2020_net25,post2020_net25,wf_pos_folds,max_year_frac,maxdd_net25,median_book_adv,status,reasons
rev1_r5_highliq_buf10,SHORT_REVERSAL,ret_1,-1,5,decile,buf1.0+adv>=50M,1332,3.807,3.921,0.532,0.00238,-0.001421,-0.005223,-0.009024,0.7603,15.65,-0.002885,-0.000834,-0.003228,2,0.323,-2.82131,137743524.9,REJECTED,"NET25<=0(-0.001421);HOLDOUT_NET25<=0(-0.002885);BREAKEVEN<25bps(15.65);SUBPERIOD_NOT_BOTH_POS(pre=-0.000834,post=-0.003228);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(3.921<5.5)"
rev1_r1_secneu,SHORT_REVERSAL,ret_1,-1,1,decile,secneu,6672,8.371,8.398,0.549,0.000394,-0.003836,-0.008067,-0.012297,0.8461,2.33,-0.003968,-0.003733,-0.004153,0,0.057,-25.62744,82238420.6,REJECTED,"NET25<=0(-0.003836);HOLDOUT_NET25<=0(-0.003968);BREAKEVEN<25bps(2.33);SUBPERIOD_NOT_BOTH_POS(pre=-0.003733,post=-0.004153);WF_POS_FOLDS<4(0)"
rev1_r1_top50,SHORT_REVERSAL,ret_1,-1,1,top50,none,6672,8.371,8.398,0.549,0.000277,-0.004158,-0.008593,-0.013028,0.887,1.56,-0.004475,-0.003943,-0.004816,0,0.06,-27.9223,85504800.0,REJECTED,"NET25<=0(-0.004158);HOLDOUT_NET25<=0(-0.004475);BREAKEVEN<25bps(1.56);SUBPERIOD_NOT_BOTH_POS(pre=-0.003943,post=-0.004816);WF_POS_FOLDS<4(0)"
rev1_r1_top100,SHORT_REVERSAL,ret_1,-1,1,top100,none,6672,8.371,8.398,0.549,0.000395,-0.003829,-0.008052,-0.012276,0.8447,2.34,-0.003968,-0.003723,-0.004152,0,0.057,-25.57836,82157992.7,REJECTED,"NET25<=0(-0.003829);HOLDOUT_NET25<=0(-0.003968);BREAKEVEN<25bps(2.34);SUBPERIOD_NOT_BOTH_POS(pre=-0.003723,post=-0.004152);WF_POS_FOLDS<4(0)"
rev5_r5,SHORT_REVERSAL,ret_5,-1,5,decile,none,1332,3.27,3.26,0.537,0.00281,-0.001488,-0.005787,-0.010085,0.8597,16.34,-0.00292,-0.001288,-0.002105,2,0.307,-2.78948,84385504.5,REJECTED,"NET25<=0(-0.001488);HOLDOUT_NET25<=0(-0.00292);BREAKEVEN<25bps(16.34);SUBPERIOD_NOT_BOTH_POS(pre=-0.001288,post=-0.002105);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(3.26<5.5)"
rev10_r10,SHORT_REVERSAL,ret_10,-1,10,decile,none,665,1.142,1.13,0.49,0.001082,-0.003216,-0.007514,-0.011812,0.8596,6.29,-0.004161,-0.002796,-0.004509,0,0.143,-2.48366,84772395.8,REJECTED,"NET25<=0(-0.003216);HOLDOUT_NET25<=0(-0.004161);BREAKEVEN<25bps(6.29);SUBPERIOD_NOT_BOTH_POS(pre=-0.002796,post=-0.004509);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(1.13<5.5)"
rev21_r21,SHORT_REVERSAL,ret_21,-1,21,decile,none,315,1.817,1.898,0.505,0.006759,0.00247,-0.001819,-0.006107,0.8578,39.4,-0.002259,0.002758,0.00158,3,0.784,-0.63936,85186419.0,REJECTED,HOLDOUT_NET25<=0(-0.002259);WF_POS_FOLDS<4(3);CONCENTRATED_YEAR(0.784);IC_NW_T<ADJ_BAR(1.898<5.5)
volconf_rev_r5,SHORT_REVERSAL,ret_5,-1,5,decile,dvol_surge>=1.0,841,5.397,5.422,0.583,0.003979,-0.002209,-0.008397,-0.014585,1.2376,16.08,-0.011678,-8.2e-05,-0.011772,2,0.488,-3.36025,79345490.2,REJECTED,"NET25<=0(-0.002209);HOLDOUT_NET25<=0(-0.011678);BREAKEVEN<25bps(16.08);SUBPERIOD_NOT_BOTH_POS(pre=-8.2e-05,post=-0.011772);WF_POS_FOLDS<4(2);IC_NW_T<ADJ_BAR(5.422<5.5)"
mom21_1_r5,FAST_CONTINUATION,mom_21_1,1,5,decile,none,1329,-1.71,-1.751,0.491,-0.0017,-0.003878,-0.006057,-0.008236,0.4358,-19.5,-0.002489,-0.003991,-0.003534,0,0.093,-5.46418,95059449.9,REJECTED,"NET25<=0(-0.003878);HOLDOUT_NET25<=0(-0.002489);BREAKEVEN<25bps(-19.5);SUBPERIOD_NOT_BOTH_POS(pre=-0.003991,post=-0.003534);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(-1.751<5.5)"
fast_lowvol_r21,FAST_LOW_VOL,rv20,-1,21,decile,none,316,1.195,1.238,0.513,4.6e-05,-0.00284,-0.005727,-0.008614,0.5773,0.4,-0.000635,-0.000252,-0.010873,2,1.09,-2.5196,77831490.1,REJECTED,"NET25<=0(-0.00284);HOLDOUT_NET25<=0(-0.000635);BREAKEVEN<25bps(0.4);SUBPERIOD_NOT_BOTH_POS(pre=-0.000252,post=-0.010873);WF_POS_FOLDS<4(2);CONCENTRATED_YEAR(1.09);IC_NW_T<ADJ_BAR(1.238<5.5)"
mom126_21_r21,FAST_CONTINUATION,mom_126_21,1,21,decile,none,310,1.244,1.342,0.603,0.001818,-9e-05,-0.001998,-0.003906,0.3816,23.82,0.009195,-0.001845,0.005221,3,33.104,-1.86326,110461553.1,REJECTED,"NET25<=0(-9e-05);BREAKEVEN<25bps(23.82);SUBPERIOD_NOT_BOTH_POS(pre=-0.001845,post=0.005221);WF_POS_FOLDS<4(3);CONCENTRATED_YEAR(33.104);IC_NW_T<ADJ_BAR(1.342<5.5)"
