candidate,gross,net25,net50,net75,avg_turnover,breakeven_bps,holding_days
rev1_r1,0.000394,-0.003836,-0.008067,-0.012297,0.8461,2.33,1
rev1_r2,0.000931,-0.003334,-0.0076,-0.011865,0.8531,5.46,2
rev1_r3,0.001603,-0.002675,-0.006952,-0.01123,0.8555,9.37,3
rev1_r5,0.002438,-0.001849,-0.006135,-0.010421,0.8573,14.22,5
rev1_r10,0.002902,-0.001403,-0.005707,-0.010011,0.8608,16.85,10
rev1_r21,0.002063,-0.002245,-0.006553,-0.010861,0.8616,11.97,21
rev1_r1_buf05,0.000431,-0.003523,-0.007478,-0.011432,0.7909,2.72,1
rev1_r1_buf10,0.000476,-0.003238,-0.006953,-0.010667,0.7429,3.21,1
rev1_r5_buf10,0.00243,-0.001326,-0.005082,-0.008839,0.7512,16.17,5
rev1_r1_extreme,-0.001261,-0.008057,-0.014854,-0.02165,1.3593,-4.64,1
rev1_r5_extreme,0.001361,-0.00629,-0.013941,-0.021592,1.5302,4.45,5
rev1_r1_highliq,0.000519,-0.003741,-0.008001,-0.012261,0.852,3.04,1
rev1_r5_highliq_buf10,0.00238,-0.001421,-0.005223,-0.009024,0.7603,15.65,5
rev1_r1_secneu,0.000394,-0.003836,-0.008067,-0.012297,0.8461,2.33,1
rev1_r1_top50,0.000277,-0.004158,-0.008593,-0.013028,0.887,1.56,1
rev1_r1_top100,0.000395,-0.003829,-0.008052,-0.012276,0.8447,2.34,1
rev5_r5,0.00281,-0.001488,-0.005787,-0.010085,0.8597,16.34,5
rev10_r10,0.001082,-0.003216,-0.007514,-0.011812,0.8596,6.29,10
rev21_r21,0.006759,0.00247,-0.001819,-0.006107,0.8578,39.4,21
volconf_rev_r5,0.003979,-0.002209,-0.008397,-0.014585,1.2376,16.08,5
mom21_1_r5,-0.0017,-0.003878,-0.006057,-0.008236,0.4358,-19.5,5
fast_lowvol_r21,4.6e-05,-0.00284,-0.005727,-0.008614,0.5773,0.4,21
mom126_21_r21,0.001818,-9e-05,-0.001998,-0.003906,0.3816,23.82,21
