signal_id,name,required_family,required_family_status,cohort,tickers_covered,n_universe,verdict,score,rerun_of,detail
S8N-EARNSURP-RATES,positive_earnings_surprise x rates_sensitivity,earnings_surprises,COLLECTED,rates_sensitivity (local),8,17,INSUFFICIENT_COVERAGE,,S8L-RATES-EARNCONF-20,coverage 8/17 ticker(s) < 20 required to score; collect next FMP batch
S8N-EARNSURP-SECTOR,positive_earnings_surprise x sector_leadership,earnings_surprises,COLLECTED,sector_leadership (local),8,17,INSUFFICIENT_COVERAGE,,earnings_surprise x sector_leadership,coverage 8/17 ticker(s) < 20 required to score; collect next FMP batch
S8N-ESTREV-RATES,analyst_estimate_revision x sensitivity,analyst_estimates,COLLECTED,rates_sensitivity (local),8,17,INSUFFICIENT_COVERAGE,,analyst_estimates/revisions x rates_sensitivity,coverage 8/17 ticker(s) < 20 required to score; collect next FMP batch
S8N-RECCHG-SECTOR,analyst_recommendation_change x sector_leadership,analyst_recommendations,COLLECTED,sector_leadership (local),8,17,INSUFFICIENT_COVERAGE,,analyst_recommendations x sector_leadership,coverage 8/17 ticker(s) < 20 required to score; collect next FMP batch
S8N-PTREV-SENS,price_target_revision x sensitivity_cohort,analyst_price_targets,COLLECTED,sensitivity_cohort (local),8,17,INSUFFICIENT_COVERAGE,,price_targets x sensitivity_cohort,coverage 8/17 ticker(s) < 20 required to score; collect next FMP batch
S8N-GRADES-SENS,ratings_grades_consensus x sensitivity_cohort,ratings_grades_consensus,COLLECTED,sensitivity_cohort (local),8,17,INSUFFICIENT_COVERAGE,,ratings/grades_consensus x sensitivity_cohort,coverage 8/17 ticker(s) < 20 required to score; collect next FMP batch
