ticker,endpoint_family,critical,has_data,rows,first_date,last_date
AAPL,earnings_surprises,True,yes,164,1985-09-30,2026-07-30
MSFT,earnings_surprises,True,yes,164,1985-09-30,2026-07-29
NVDA,earnings_surprises,True,yes,109,1999-05-18,2026-08-26
ABBV,earnings_surprises,True,yes,62,2011-03-31,2026-07-30
ABT,earnings_surprises,True,no,0,,
ACN,earnings_surprises,True,no,0,,
ADBE,earnings_surprises,True,yes,163,1986-02-28,2026-09-10
ADI,earnings_surprises,True,no,0,,
ADP,earnings_surprises,True,no,0,,
AMAT,earnings_surprises,True,no,0,,
AMD,earnings_surprises,True,yes,164,1985-09-30,2026-08-04
AMGN,earnings_surprises,True,no,0,,
AMZN,earnings_surprises,True,yes,122,1996-03-31,2026-07-30
AON,earnings_surprises,True,no,0,,
APD,earnings_surprises,True,no,0,,
APH,earnings_surprises,True,no,0,,
JPM,earnings_surprises,True,yes,164,1985-09-30,2026-07-14
AAPL,earnings_calendar,True,yes,164,1985-09-30,2026-07-30
MSFT,earnings_calendar,True,yes,164,1985-09-30,2026-07-29
NVDA,earnings_calendar,True,yes,109,1999-05-18,2026-08-26
ABBV,earnings_calendar,True,yes,62,2011-03-31,2026-07-30
ABT,earnings_calendar,True,no,0,,
ACN,earnings_calendar,True,no,0,,
ADBE,earnings_calendar,True,yes,163,1986-02-28,2026-09-10
ADI,earnings_calendar,True,no,0,,
ADP,earnings_calendar,True,no,0,,
AMAT,earnings_calendar,True,no,0,,
AMD,earnings_calendar,True,yes,164,1985-09-30,2026-08-04
AMGN,earnings_calendar,True,no,0,,
AMZN,earnings_calendar,True,yes,122,1996-03-31,2026-07-30
AON,earnings_calendar,True,no,0,,
APD,earnings_calendar,True,no,0,,
APH,earnings_calendar,True,no,0,,
JPM,earnings_calendar,True,yes,164,1985-09-30,2026-07-14
AAPL,analyst_estimates,True,yes,10,2021-09-26,2030-09-27
MSFT,analyst_estimates,True,yes,10,2021-06-29,2030-06-30
NVDA,analyst_estimates,True,yes,10,2022-01-25,2031-01-25
ABBV,analyst_estimates,True,yes,10,2021-12-30,2030-12-31
ABT,analyst_estimates,True,no,0,,
ACN,analyst_estimates,True,no,0,,
ADBE,analyst_estimates,True,yes,10,2021-11-27,2030-11-28
ADI,analyst_estimates,True,no,0,,
ADP,analyst_estimates,True,no,0,,
AMAT,analyst_estimates,True,no,0,,
AMD,analyst_estimates,True,yes,10,2021-12-27,2030-12-27
AMGN,analyst_estimates,True,no,0,,
AMZN,analyst_estimates,True,yes,10,2021-12-30,2030-12-31
AON,analyst_estimates,True,no,0,,
APD,analyst_estimates,True,no,0,,
APH,analyst_estimates,True,no,0,,
JPM,analyst_estimates,True,yes,10,2019-12-30,2028-12-31
AAPL,analyst_recommendations,True,yes,1770,2012-02-08,2026-06-22
MSFT,analyst_recommendations,True,yes,938,2012-03-16,2026-06-04
NVDA,analyst_recommendations,True,yes,1130,2012-02-13,2026-06-02
ABBV,analyst_recommendations,True,yes,356,2013-03-11,2026-06-23
ABT,analyst_recommendations,True,no,0,,
ACN,analyst_recommendations,True,no,0,,
ADBE,analyst_recommendations,True,yes,718,2012-03-06,2026-06-12
ADI,analyst_recommendations,True,no,0,,
ADP,analyst_recommendations,True,no,0,,
AMAT,analyst_recommendations,True,no,0,,
AMD,analyst_recommendations,True,yes,741,2012-02-07,2026-06-24
AMGN,analyst_recommendations,True,no,0,,
AMZN,analyst_recommendations,True,yes,1434,2011-12-28,2026-05-29
AON,analyst_recommendations,True,no,0,,
APD,analyst_recommendations,True,no,0,,
APH,analyst_recommendations,True,no,0,,
JPM,analyst_recommendations,True,yes,447,2012-02-29,2026-04-17
AAPL,analyst_price_targets,True,yes,1,,
MSFT,analyst_price_targets,True,yes,1,,
NVDA,analyst_price_targets,True,yes,1,,
ABBV,analyst_price_targets,True,yes,1,,
ABT,analyst_price_targets,True,no,0,,
ACN,analyst_price_targets,True,no,0,,
ADBE,analyst_price_targets,True,yes,1,,
ADI,analyst_price_targets,True,no,0,,
ADP,analyst_price_targets,True,no,0,,
AMAT,analyst_price_targets,True,no,0,,
AMD,analyst_price_targets,True,yes,1,,
AMGN,analyst_price_targets,True,no,0,,
AMZN,analyst_price_targets,True,yes,1,,
AON,analyst_price_targets,True,no,0,,
APD,analyst_price_targets,True,no,0,,
APH,analyst_price_targets,True,no,0,,
JPM,analyst_price_targets,True,yes,1,,
AAPL,ratings_grades_consensus,True,yes,1,,
MSFT,ratings_grades_consensus,True,yes,1,,
NVDA,ratings_grades_consensus,True,yes,1,,
ABBV,ratings_grades_consensus,True,yes,1,,
ABT,ratings_grades_consensus,True,no,0,,
ACN,ratings_grades_consensus,True,no,0,,
ADBE,ratings_grades_consensus,True,yes,1,,
ADI,ratings_grades_consensus,True,no,0,,
ADP,ratings_grades_consensus,True,no,0,,
AMAT,ratings_grades_consensus,True,no,0,,
AMD,ratings_grades_consensus,True,yes,1,,
AMGN,ratings_grades_consensus,True,no,0,,
AMZN,ratings_grades_consensus,True,yes,1,,
AON,ratings_grades_consensus,True,no,0,,
APD,ratings_grades_consensus,True,no,0,,
APH,ratings_grades_consensus,True,no,0,,
JPM,ratings_grades_consensus,True,yes,1,,
