setup_id,family,driver,cohort,is_challenge,n_events,n_matched_control,triggered_mean,control_mean,lift_vs_control,lift_vs_base_rate,hit_rate,control_hit_rate,hit_rate_lift_pp,payoff_ratio,control_payoff_ratio,ev_after_25bps,recent_lift_vs_control
S8E-001,macro_shock_x_sensitivity,oil,cohort_oil_pos,False,10490,3688,-0.00645,0.000389,-0.002909,-0.00687,0.448141,0.49325,-0.045109,1.020913,1.036997,-0.01145,-0.004967
S8E-002,macro_shock_x_sensitivity,oil,cohort_oil_neg,False,11120,5616,-0.006135,-0.010353,0.003551,-0.006555,0.48723,0.495195,-0.007965,0.843958,1.053167,-0.011135,-0.002003
S8E-010,macro_shock_x_sensitivity,rates,cohort_rates_pos,False,12570,4391,-0.00399,0.000982,-0.002223,-0.004409,0.455529,0.492864,-0.037335,1.010908,1.049598,-0.00899,-0.001179
S8E-011,macro_shock_x_sensitivity,rates,cohort_rates_neg,False,11881,5267,0.006276,-0.000281,0.004035,0.005856,0.523272,0.492688,0.030585,1.099923,1.035506,0.001276,0.003413
S8E-020,macro_shock_x_sensitivity,credit,cohort_low_beta,False,9688,2852,0.000661,0.001856,-0.002868,0.000424,0.514967,0.493866,0.021101,0.980098,1.045959,-0.004339,-0.004142
S8E-030,macro_shock_x_sensitivity,vix,cohort_low_beta,False,14877,5060,0.001435,0.000696,-0.000198,0.001198,0.499899,0.493866,0.006033,1.08655,1.045959,-0.003565,-0.0019
S8E-031,macro_shock_x_sensitivity,vix,cohort_vol_spike_sens,False,16469,7643,-0.00375,-0.004964,0.000359,-0.004169,0.48904,0.492001,-0.002961,0.957116,1.030818,-0.00875,0.003455
S8E-040,macro_shock_x_sensitivity,market,cohort_high_beta,False,9926,4354,0.00192,0.002514,-0.000151,0.001684,0.505642,0.492338,0.013304,1.029682,1.035063,-0.00308,-0.002759
S8E-050,macro_shock_x_sensitivity,usd,cohort_usd_pos,False,9730,4737,-0.001095,-0.0035,0.003419,-0.001514,0.505858,0.492938,0.012921,0.938656,1.051736,-0.006095,0.007391
S8E-051,macro_shock_x_sensitivity,usd,cohort_usd_neg,False,7492,3416,-0.007052,-0.006265,-0.002046,-0.007471,0.457021,0.494331,-0.03731,0.952832,1.039516,-0.012052,-0.00765
S8E-060,macro_shock_x_sensitivity,commodity,cohort_oil_pos,False,13146,4555,-0.005555,-0.000491,-0.000184,-0.005975,0.458695,0.49325,-0.034555,1.005294,1.036997,-0.010555,-0.004439
S8E-070,macro_shock_x_sensitivity,sector,cohort_sector_lead,False,33723,17165,0.004063,0.002208,0.002532,0.003643,0.500341,0.492883,0.007458,1.121043,1.034367,-0.000937,0.003629
S8E-901,macro_shock_x_sensitivity,oil,cohort_oil_neg,True,9125,4323,-0.002696,0.000386,-0.00137,-0.003116,0.473425,0.495195,-0.02177,0.995907,1.053167,-0.007696,0.002625
S8E-902,macro_shock_x_sensitivity,rates,cohort_rates_neg,True,7480,3463,0.000183,0.000919,-0.00194,-0.000237,0.488904,0.492688,-0.003784,1.051631,1.035506,-0.004817,-0.006052
S8E-903,macro_shock_x_sensitivity,vix,cohort_high_beta,True,12044,5533,0.001954,0.001011,0.000938,0.001717,0.51179,0.492338,0.019453,1.0363,1.035063,-0.003046,0.004223
S8E-910,macro_shock_x_sensitivity,oil,,True,48400,13815,-0.002528,0.001808,-0.004258,-0.002948,0.474029,0.493902,-0.019873,1.011388,1.04522,-0.007528,-0.004467
S8E-911,macro_shock_x_sensitivity,vix,,True,67737,20240,0.001493,-0.002848,0.004601,0.001257,0.507108,0.491223,0.015886,1.052557,1.04185,-0.003507,0.006494
S8E-920,macro_shock_x_sensitivity,oil,cohort_oil_pos,True,54293,20281,0.000889,0.001595,0.000566,0.000469,0.485827,0.49325,-0.007423,1.086009,1.036997,-0.004111,0.001042
S8E-101,macro_shock_x_sensitivity,oil,cohort_oil_pos,False,3764,1294,-0.016379,-0.005038,-0.004388,-0.016799,0.418172,0.49325,-0.075078,0.873176,1.036997,-0.021379,-0.005138
S8E-110,macro_shock_x_sensitivity,rates,cohort_rates_pos,False,4148,1379,-0.010604,0.001627,-0.010662,-0.011024,0.409354,0.492864,-0.083511,0.934855,1.049598,-0.015604,-0.011547
S8E-130,macro_shock_x_sensitivity,vix,cohort_low_beta,False,7201,2581,-0.000129,0.001497,-0.003659,-0.000549,0.48035,0.495121,-0.014771,1.075918,1.047751,-0.005129,-0.008399
S8E-940,macro_shock_x_sensitivity,vix,,True,74809,0,-0.002531,,,-0.00295,0.489487,0.493092,-0.003606,0.962135,1.052631,-0.007531,
S8E-941,macro_shock_x_sensitivity,market,cohort_low_beta,True,170190,57787,-0.001268,-0.001644,-0.000993,-0.001688,0.483342,0.495121,-0.011779,1.016773,1.047751,-0.006268,-0.000731
S8E-960,macro_shock_x_sensitivity,vix,cohort_low_beta,True,14721,4982,-0.008821,-0.00294,-0.00434,-0.010413,0.46668,0.495436,-0.028756,0.930084,1.075931,-0.013821,-0.004387
S8E-961,macro_shock_x_sensitivity,oil,cohort_oil_pos,True,10490,3688,-0.00645,0.000389,-0.002909,-0.00687,0.448141,0.49325,-0.045109,1.020913,1.036997,-0.01145,-0.004967
