date,symbol,cohort,driver
2025-03-21,ABNB,cohort_high_beta,market
2025-03-28,ABNB,cohort_high_beta,market
2025-04-04,ABNB,cohort_high_beta,market
2025-04-11,ABNB,cohort_high_beta,market
2025-04-17,ABNB,cohort_high_beta,market
2025-04-25,ABNB,cohort_high_beta,market
2025-05-02,ABNB,cohort_high_beta,market
2025-05-09,ABNB,cohort_high_beta,market
2025-05-16,ABNB,cohort_high_beta,market
2025-05-23,ABNB,cohort_high_beta,market
2025-05-30,ABNB,cohort_high_beta,market
2025-06-06,ABNB,cohort_high_beta,market
2025-06-13,ABNB,cohort_high_beta,market
2025-06-20,ABNB,cohort_high_beta,market
2025-06-27,ABNB,cohort_high_beta,market
2025-07-03,ABNB,cohort_high_beta,market
2025-07-11,ABNB,cohort_high_beta,market
2025-07-18,ABNB,cohort_high_beta,market
2025-07-25,ABNB,cohort_high_beta,market
2025-08-01,ABNB,cohort_high_beta,market
2025-08-08,ABNB,cohort_high_beta,market
2025-08-15,ABNB,cohort_high_beta,market
2025-08-22,ABNB,cohort_high_beta,market
2025-08-29,ABNB,cohort_high_beta,market
2025-09-05,ABNB,cohort_high_beta,market
2025-09-12,ABNB,cohort_high_beta,market
2025-09-19,ABNB,cohort_high_beta,market
2025-09-26,ABNB,cohort_high_beta,market
2025-10-03,ABNB,cohort_high_beta,market
2025-10-10,ABNB,cohort_high_beta,market
2025-10-17,ABNB,cohort_high_beta,market
2025-10-24,ABNB,cohort_high_beta,market
2025-10-31,ABNB,cohort_high_beta,market
2025-11-07,ABNB,cohort_high_beta,market
2025-11-14,ABNB,cohort_high_beta,market
2025-11-21,ABNB,cohort_high_beta,market
2025-11-28,ABNB,cohort_high_beta,market
2025-12-05,ABNB,cohort_high_beta,market
2025-12-12,ABNB,cohort_high_beta,market
2025-12-19,ABNB,cohort_high_beta,market
2025-12-26,ABNB,cohort_high_beta,market
2026-01-02,ABNB,cohort_high_beta,market
2026-01-09,ABNB,cohort_high_beta,market
2026-01-16,ABNB,cohort_high_beta,market
2026-02-06,ABNB,cohort_high_beta,market
2026-02-13,ABNB,cohort_high_beta,market
2026-02-20,ABNB,cohort_high_beta,market
2026-02-27,ABNB,cohort_high_beta,market
2026-03-06,ABNB,cohort_high_beta,market
2026-03-13,ABNB,cohort_high_beta,market
2026-03-20,ABNB,cohort_high_beta,market
2026-03-27,ABNB,cohort_high_beta,market
2026-04-02,ABNB,cohort_high_beta,market
2026-04-10,ABNB,cohort_high_beta,market
2026-04-24,ABNB,cohort_high_beta,market
2024-05-31,ADBE,cohort_high_beta,market
2024-06-07,ADBE,cohort_high_beta,market
2024-06-14,ADBE,cohort_high_beta,market
2024-06-21,ADBE,cohort_high_beta,market
2024-06-28,ADBE,cohort_high_beta,market
2024-07-05,ADBE,cohort_high_beta,market
2024-07-12,ADBE,cohort_high_beta,market
2024-07-19,ADBE,cohort_high_beta,market
2024-07-26,ADBE,cohort_high_beta,market
2024-08-02,ADBE,cohort_high_beta,market
2024-08-09,ADBE,cohort_high_beta,market
2024-08-16,ADBE,cohort_high_beta,market
2024-08-23,ADBE,cohort_high_beta,market
2024-08-30,ADBE,cohort_high_beta,market
2024-09-06,ADBE,cohort_high_beta,market
2024-09-13,ADBE,cohort_high_beta,market
2024-09-20,ADBE,cohort_high_beta,market
2024-09-27,ADBE,cohort_high_beta,market
2024-10-04,ADBE,cohort_high_beta,market
2024-10-11,ADBE,cohort_high_beta,market
2024-10-18,ADBE,cohort_high_beta,market
2024-10-25,ADBE,cohort_high_beta,market
2024-11-01,ADBE,cohort_high_beta,market
2024-11-08,ADBE,cohort_high_beta,market
2024-11-15,ADBE,cohort_high_beta,market
2024-11-22,ADBE,cohort_high_beta,market
2024-11-29,ADBE,cohort_high_beta,market
2024-12-06,ADBE,cohort_high_beta,market
2024-12-13,ADBE,cohort_high_beta,market
2024-12-20,ADBE,cohort_high_beta,market
2024-12-27,ADBE,cohort_high_beta,market
2025-01-03,ADBE,cohort_high_beta,market
2025-01-10,ADBE,cohort_high_beta,market
2025-01-17,ADBE,cohort_high_beta,market
2025-01-24,ADBE,cohort_high_beta,market
2025-01-31,ADBE,cohort_high_beta,market
2025-02-07,ADBE,cohort_high_beta,market
2025-02-14,ADBE,cohort_high_beta,market
2025-02-21,ADBE,cohort_high_beta,market
2025-02-28,ADBE,cohort_high_beta,market
2025-03-14,ADBE,cohort_high_beta,market
2025-03-28,ADBE,cohort_high_beta,market
2024-05-31,ADI,cohort_high_beta,market
2024-06-07,ADI,cohort_high_beta,market
2024-06-14,ADI,cohort_high_beta,market
2024-06-21,ADI,cohort_high_beta,market
2024-06-28,ADI,cohort_high_beta,market
2024-07-05,ADI,cohort_high_beta,market
2024-07-12,ADI,cohort_high_beta,market
2024-07-19,ADI,cohort_high_beta,market
2024-07-26,ADI,cohort_high_beta,market
2024-08-02,ADI,cohort_high_beta,market
2024-08-09,ADI,cohort_high_beta,market
2024-08-16,ADI,cohort_high_beta,market
2024-08-23,ADI,cohort_high_beta,market
2024-08-30,ADI,cohort_high_beta,market
2024-09-06,ADI,cohort_high_beta,market
2024-09-13,ADI,cohort_high_beta,market
2024-09-20,ADI,cohort_high_beta,market
2024-09-27,ADI,cohort_high_beta,market
2024-10-04,ADI,cohort_high_beta,market
2024-10-11,ADI,cohort_high_beta,market
2024-10-18,ADI,cohort_high_beta,market
2024-10-25,ADI,cohort_high_beta,market
2024-11-01,ADI,cohort_high_beta,market
2024-11-08,ADI,cohort_high_beta,market
2024-11-15,ADI,cohort_high_beta,market
2024-11-22,ADI,cohort_high_beta,market
2024-11-29,ADI,cohort_high_beta,market
2024-12-06,ADI,cohort_high_beta,market
2024-12-13,ADI,cohort_high_beta,market
2024-12-20,ADI,cohort_high_beta,market
2024-12-27,ADI,cohort_high_beta,market
2025-01-03,ADI,cohort_high_beta,market
2025-01-10,ADI,cohort_high_beta,market
2025-01-17,ADI,cohort_high_beta,market
2025-01-24,ADI,cohort_high_beta,market
2025-01-31,ADI,cohort_high_beta,market
2025-02-07,ADI,cohort_high_beta,market
2025-02-14,ADI,cohort_high_beta,market
2025-02-21,ADI,cohort_high_beta,market
2025-02-28,ADI,cohort_high_beta,market
2025-03-07,ADI,cohort_high_beta,market
2025-03-14,ADI,cohort_high_beta,market
2025-03-21,ADI,cohort_high_beta,market
2025-03-28,ADI,cohort_high_beta,market
2025-04-04,ADI,cohort_high_beta,market
2025-04-11,ADI,cohort_high_beta,market
2025-04-17,ADI,cohort_high_beta,market
2025-04-25,ADI,cohort_high_beta,market
2025-05-02,ADI,cohort_high_beta,market
2025-05-09,ADI,cohort_high_beta,market
2025-05-16,ADI,cohort_high_beta,market
2025-05-23,ADI,cohort_high_beta,market
2025-05-30,ADI,cohort_high_beta,market
2025-06-06,ADI,cohort_high_beta,market
2025-06-13,ADI,cohort_high_beta,market
