variant_id,group,legs,weights,ic_mean,ic_t,quarterly_gross_spread,quarterly_net_25bps,quarterly_net_50bps,quarterly_turnover,n_quarters,oos_pooled_ic,oos_frac_windows_positive,both_cohorts_positive,both_subperiods_positive,top_sector_share,matched_baseline_net_25bps,matched_baseline_ic_t,matched_baseline_top_sector_share,classification,reject_reason,description
baseline_composite_sn,baseline,composite_sn,100,0.03494,2.66461,0.00707,0.00401,0.00095,0.61151,40,0.02994,0.5,True,True,0.6262,,,,BASELINE,frozen 10-D equal-weight sector-neutral composite (fcf+/acc-),baseline composite_sn on full support (reference)
base70_cash_return_on_assets_30,single:profitability,composite_sn+cash_return_on_assets,70/30,0.03636,2.75967,0.00565,0.00272,-0.00021,0.5855,40,0.03165,0.5,True,True,0.62147,0.00401,2.66461,0.6262,NO_IMPROVEMENT,does not beat matched-baseline net-25bps 0.00401 (variant 0.00272),baseline 70% / cash_return_on_assets 30% (sector-neutral z blend)
base60_cash_return_on_assets_40,single:profitability,composite_sn+cash_return_on_assets,60/40,0.03783,2.8422,0.00473,0.00186,-0.00101,0.57423,40,0.03348,0.625,True,True,0.62147,0.00401,2.66461,0.6262,NO_IMPROVEMENT,does not beat matched-baseline net-25bps 0.00401 (variant 0.00186),baseline 60% / cash_return_on_assets 40% (sector-neutral z blend)
base50_cash_return_on_assets_50,single:profitability,composite_sn+cash_return_on_assets,50/50,0.03841,2.85083,0.00513,0.00232,-0.00049,0.56162,40,0.03346,0.625,True,True,0.6212,0.00401,2.66461,0.6262,NO_IMPROVEMENT,does not beat matched-baseline net-25bps 0.00401 (variant 0.00232),baseline 50% / cash_return_on_assets 50% (sector-neutral z blend)
