exp_id,family,cohort,n_events,worst_decile_mean,avg_mae_20,max_year_fraction,max_sector_fraction,max_ticker_fraction,beats_spy_active,beats_cash_active,tail_gate_pass
S8E-001,G_macro_cross_asset_x_sensitivity,cohort_oil_pos,10490,-0.167452,-0.064873,0.095901,0.33041,0.011249,False,True,False
S8E-002,G_macro_cross_asset_x_sensitivity,cohort_oil_neg,11120,-0.15363,-0.059338,0.132734,0.192086,0.010072,False,False,False
S8E-010,G_macro_cross_asset_x_sensitivity,cohort_rates_pos,12570,-0.114988,-0.036519,0.081941,0.248051,0.011058,False,True,True
S8E-011,G_macro_cross_asset_x_sensitivity,cohort_rates_neg,11881,-0.157763,-0.058233,0.093931,0.293662,0.008753,False,True,False
S8E-020,G_macro_cross_asset_x_sensitivity,cohort_low_beta,9688,-0.083456,-0.038061,0.154108,0.269509,0.012283,True,True,True
S8E-030,G_macro_cross_asset_x_sensitivity,cohort_low_beta,14877,-0.083093,-0.040117,0.051959,0.234994,0.010957,False,True,True
S8E-031,G_macro_cross_asset_x_sensitivity,cohort_vol_spike_sens,16469,-0.235824,-0.090784,0.049791,0.290728,0.007529,False,False,False
S8E-040,G_macro_cross_asset_x_sensitivity,cohort_high_beta,9926,-0.198976,-0.093205,0.061153,0.322386,0.010175,False,True,False
S8E-050,G_macro_cross_asset_x_sensitivity,cohort_usd_pos,9730,-0.149398,-0.052885,0.139568,0.20483,0.006886,False,False,False
S8E-051,G_macro_cross_asset_x_sensitivity,cohort_usd_neg,7492,-0.159893,-0.059903,0.091164,0.149226,0.010545,False,True,False
S8E-060,G_macro_cross_asset_x_sensitivity,cohort_oil_pos,13146,-0.167716,-0.064113,0.098813,0.339723,0.012171,False,True,False
S8E-070,G_macro_cross_asset_x_sensitivity,cohort_sector_lead,33723,-0.159853,-0.058325,0.060552,0.208611,0.012959,False,True,False
S8E-901,G_macro_cross_asset_x_sensitivity,cohort_oil_neg,9125,-0.123005,-0.041376,0.100055,0.193096,0.00811,False,True,False
S8E-902,G_macro_cross_asset_x_sensitivity,cohort_rates_neg,7480,-0.150574,-0.058012,0.096123,0.267647,0.00762,False,True,False
S8E-903,G_macro_cross_asset_x_sensitivity,cohort_high_beta,12044,-0.118356,-0.064172,0.063849,0.275739,0.009133,False,True,True
S8E-910,G_macro_cross_asset_x_sensitivity,,48400,-0.137237,-0.04964,0.095455,0.146983,0.002562,False,True,False
S8E-911,G_macro_cross_asset_x_sensitivity,,67737,-0.092851,-0.049387,0.056173,0.147039,0.00279,False,True,True
S8E-920,G_macro_cross_asset_x_sensitivity,cohort_oil_pos,54293,-0.160995,-0.062035,0.056287,0.297073,0.010149,False,True,False
S8E-101,G_macro_cross_asset_x_sensitivity,cohort_oil_pos,3764,-0.181876,-0.069707,0.124867,0.362115,0.015409,False,True,False
S8E-110,G_macro_cross_asset_x_sensitivity,cohort_rates_pos,4148,-0.122096,-0.036801,0.108968,0.260125,0.013018,False,True,False
S8E-130,G_macro_cross_asset_x_sensitivity,cohort_low_beta,7201,-0.115055,-0.036955,0.081655,0.268157,0.013054,True,True,True
S8E-940,G_macro_cross_asset_x_sensitivity,,74809,-0.170423,-0.063033,0.053282,0.144849,0.002005,False,True,False
S8E-941,G_macro_cross_asset_x_sensitivity,cohort_low_beta,170190,-0.124838,-0.038557,0.031171,0.233069,0.008919,True,True,False
S8E-960,G_macro_cross_asset_x_sensitivity,cohort_low_beta,14721,-0.212634,-0.040284,0.052102,0.235378,0.011073,False,True,False
S8E-961,G_macro_cross_asset_x_sensitivity,cohort_oil_pos,10490,-0.167452,-0.064873,0.095901,0.33041,0.011249,False,True,False
