dimension,bucket,n_events,mean_fwd,worst_decile_mean,hit_rate
ALL,all_triggered,11881,0.006276,-0.157763,0.523272
sector,Communication Services,388,-0.008657,-0.180278,0.458763
sector,Consumer Discretionary,1307,0.002802,-0.164845,0.487376
sector,Consumer Staples,136,-0.010432,-0.124578,0.463235
sector,Energy,1894,0.00735,-0.175307,0.522175
sector,Financials,3489,0.00574,-0.14203,0.542849
sector,Health Care,342,-0.001931,-0.161399,0.497076
sector,Industrials,1495,0.006886,-0.124835,0.534448
sector,Information Technology,1685,0.017016,-0.160461,0.547181
sector,Materials,829,0.004758,-0.149959,0.500603
sector,Real Estate,233,-0.006352,-0.160675,0.463519
sector,UNKNOWN,2,0.020674,,0.5
sector,Utilities,81,0.011347,-0.396409,0.506173
year,2003,800,0.046774,-0.179896,0.6325
year,2004,186,-0.017226,-0.163,0.419355
year,2005,620,-0.001923,-0.124263,0.466129
year,2006,407,0.002524,-0.136066,0.493857
year,2007,744,0.008329,-0.100313,0.548387
year,2008,369,-0.022188,-0.242687,0.411924
year,2009,533,-0.028275,-0.284078,0.354597
year,2010,432,0.032482,-0.07316,0.708333
year,2011,51,-0.02844,-0.160185,0.313725
year,2012,597,-0.008855,-0.135094,0.437186
year,2013,668,0.009153,-0.105591,0.576347
year,2014,154,-0.014837,-0.111808,0.363636
year,2015,616,0.00115,-0.128572,0.542208
year,2016,950,0.025197,-0.098976,0.617895
year,2017,57,0.005456,-0.069894,0.526316
year,2018,748,-0.012692,-0.146213,0.44385
year,2019,425,-0.021988,-0.145515,0.364706
year,2020,424,-0.000826,-0.184753,0.518868
year,2021,851,0.008776,-0.158152,0.504113
year,2022,1116,0.030542,-0.149992,0.633513
year,2023,271,-0.00363,-0.133894,0.512915
year,2024,440,0.009495,-0.132798,0.531818
year,2025,207,0.019159,-0.126484,0.628019
year,2026,215,-0.037352,-0.228838,0.339535
rate_regime,mild_selloff,3961,0.004199,-0.167544,0.534461
rate_regime,moderate_selloff,3960,0.007648,-0.15198,0.533333
rate_regime,severe_selloff,3960,0.006981,-0.153257,0.50202
liquidity_bucket,0,1937,0.006558,-0.165319,0.51936
liquidity_bucket,1,2168,0.005262,-0.150907,0.516605
liquidity_bucket,2,2454,0.004846,-0.158478,0.52119
liquidity_bucket,3,2787,0.007531,-0.15294,0.523502
liquidity_bucket,4,2535,0.006931,-0.16147,0.533728
volatility_bucket,0,728,0.006264,-0.10089,0.565934
volatility_bucket,1,1275,0.004756,-0.110415,0.539608
volatility_bucket,2,2076,0.009034,-0.115382,0.546724
volatility_bucket,3,3187,0.007857,-0.136537,0.526514
volatility_bucket,4,4615,0.004365,-0.198224,0.499242
beta_bucket,0,1749,0.005368,-0.167756,0.532304
beta_bucket,1,2687,0.011817,-0.11806,0.546706
beta_bucket,2,7445,0.004489,-0.167746,0.512693
active_vs_delisted,active,9011,0.006607,-0.150687,0.529797
active_vs_delisted,delisted,2870,0.005238,-0.177987,0.502787
