experiment_id,score_key,quantile,gate,family,status,n_periods,avg_names,one_sided_turnover,net_sharpe_25bps,net_ann_return_25bps,net_max_drawdown_25bps,net_sharpe_50bps,spy_sharpe,ew_universe_sharpe,net_sharpe_minus_spy,net_sharpe_minus_placebo,subperiods_positive,reason
MR02,vol_adj_mom,top_quintile,,volatility_liquidity,WEAK,425,100.12,0.2455,0.838704,0.119581,-0.520938,0.739701,0.769587,0.775004,0.069117,0.372752,3/3,"does not confirm out-of-sample (beats SPY in only 1/3 sub-periods, recent_beats_spy=False, cost_robust_50bps=True)"
MR04,vol_adj_mom,top_quintile,liq_gate,volatility_liquidity,WEAK,425,69.52,0.2908,0.798412,0.11885,-0.546609,0.687144,0.769587,0.775004,0.028825,0.317729,3/3,"does not confirm out-of-sample (beats SPY in only 1/3 sub-periods, recent_beats_spy=False, cost_robust_50bps=True)"
NM01,low_vol,top_quintile,,low_volatility,WEAK,431,100.29,0.1412,0.855845,0.099523,-0.389039,0.784953,0.769587,0.753211,0.086258,0.460277,3/3,"does not confirm out-of-sample (beats SPY in only 2/3 sub-periods, recent_beats_spy=False, cost_robust_50bps=True)"
NM02,low_vol,top_decile,,low_volatility,WEAK,431,50.3,0.1941,0.800064,0.094515,-0.401567,0.705413,0.769587,0.753211,0.030477,0.40844,3/3,"does not confirm out-of-sample (beats SPY in only 2/3 sub-periods, recent_beats_spy=False, cost_robust_50bps=True)"
NM05,illiquidity,top_quintile,,liquidity,REJECTED,437,100.33,0.1828,0.62606,0.104355,-0.584794,0.567358,0.769587,0.753659,-0.143527,0.198849,3/3,underperforms SPY (net Sharpe 0.62606 <= SPY 0.769587)
NM06,high_liquidity,top_quintile,,liquidity,REJECTED,437,100.33,0.1316,0.617957,0.097882,-0.695023,0.573488,0.769587,0.753659,-0.15163,0.207142,3/3,underperforms SPY (net Sharpe 0.617957 <= SPY 0.769587)
NM07,downside_vol,top_quintile,,low_volatility,WEAK,431,100.29,0.1518,0.864899,0.101441,-0.424169,0.789586,0.769587,0.753211,0.095312,0.44276,3/3,"does not confirm out-of-sample (beats SPY in only 2/3 sub-periods, recent_beats_spy=False, cost_robust_50bps=True)"
