ticker,sector,field,periods_present,non_null_value_count,coverage_note
AAPL,Information Technology,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AAPL,Information Technology,eps_diluted,29,32,
AAPL,Information Technology,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AAPL,Information Technology,net_income,29,32,
AAPL,Information Technology,operating_cash_flow,40,40,
AAPL,Information Technology,operating_income,29,29,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AAPL,Information Technology,revenue,9,9,
AAPL,Information Technology,shareholder_equity,23,47,
AAPL,Information Technology,total_assets,35,60,
AAPL,Information Technology,total_liabilities,35,60,
ABBV,Health Care,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ABBV,Health Care,eps_diluted,28,28,
ABBV,Health Care,free_cash_flow,38,38,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ABBV,Health Care,net_income,28,28,
ABBV,Health Care,operating_cash_flow,41,41,
ABBV,Health Care,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ABBV,Health Care,revenue,28,28,
ABBV,Health Care,shareholder_equity,34,60,
ABBV,Health Care,total_assets,35,60,
ABT,Health Care,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ABT,Health Care,eps_diluted,30,30,
ABT,Health Care,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ABT,Health Care,net_income,30,30,
ABT,Health Care,operating_cash_flow,40,40,
ABT,Health Care,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ABT,Health Care,revenue,21,34,
ABT,Health Care,shareholder_equity,35,60,
ABT,Health Care,total_assets,35,60,
ACN,Information Technology,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ACN,Information Technology,eps_diluted,20,32,
ACN,Information Technology,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ACN,Information Technology,net_income,20,32,
ACN,Information Technology,operating_cash_flow,40,40,
ACN,Information Technology,operating_income,20,32,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ACN,Information Technology,revenue,20,32,
ACN,Information Technology,shareholder_equity,36,60,
ACN,Information Technology,total_assets,36,60,
ADBE,Information Technology,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ADBE,Information Technology,eps_diluted,29,32,
ADBE,Information Technology,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ADBE,Information Technology,net_income,29,32,
ADBE,Information Technology,operating_cash_flow,40,40,
ADBE,Information Technology,operating_income,29,29,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ADBE,Information Technology,revenue,29,32,
ADBE,Information Technology,shareholder_equity,23,47,
ADBE,Information Technology,total_assets,35,60,
ADBE,Information Technology,total_liabilities,35,60,
ADI,Information Technology,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ADI,Information Technology,eps_diluted,30,31,
ADI,Information Technology,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ADI,Information Technology,net_income,29,29,
ADI,Information Technology,operating_cash_flow,40,40,
ADI,Information Technology,operating_income,29,29,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ADI,Information Technology,revenue,9,11,
ADI,Information Technology,shareholder_equity,35,60,
ADI,Information Technology,total_assets,35,60,
ADP,Industrials,eps_diluted,29,29,
ADP,Industrials,net_income,28,31,
ADP,Industrials,operating_cash_flow,40,40,
ADP,Industrials,revenue,23,35,
ADP,Industrials,shareholder_equity,23,48,
ADP,Industrials,total_assets,36,60,
ADP,Industrials,total_liabilities,36,60,
AMAT,Information Technology,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AMAT,Information Technology,eps_diluted,29,32,
AMAT,Information Technology,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AMAT,Information Technology,net_income,29,32,
AMAT,Information Technology,operating_cash_flow,40,40,
AMAT,Information Technology,operating_income,29,29,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AMAT,Information Technology,revenue,19,26,
AMAT,Information Technology,shareholder_equity,23,47,
AMAT,Information Technology,total_assets,35,60,
AMAT,Information Technology,total_liabilities,35,60,
AMD,Information Technology,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AMD,Information Technology,eps_diluted,30,33,
AMD,Information Technology,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AMD,Information Technology,net_income,30,33,
AMD,Information Technology,operating_cash_flow,40,40,
AMD,Information Technology,operating_income,30,33,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AMD,Information Technology,revenue,2,2,
AMD,Information Technology,shareholder_equity,31,51,
AMD,Information Technology,total_assets,35,60,
AMGN,Health Care,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AMGN,Health Care,eps_diluted,30,33,
AMGN,Health Care,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AMGN,Health Care,net_income,24,36,
AMGN,Health Care,operating_cash_flow,40,40,
AMGN,Health Care,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AMGN,Health Care,revenue,29,29,
AMGN,Health Care,shareholder_equity,23,48,
AMGN,Health Care,total_assets,35,60,
AMZN,Consumer Discretionary,capital_expenditures,22,22,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AMZN,Consumer Discretionary,eps_diluted,30,33,
AMZN,Consumer Discretionary,net_income,22,22,
AMZN,Consumer Discretionary,operating_cash_flow,22,22,
AMZN,Consumer Discretionary,operating_income,30,33,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AMZN,Consumer Discretionary,revenue,23,35,
AMZN,Consumer Discretionary,shareholder_equity,23,47,
AMZN,Consumer Discretionary,total_assets,35,60,
AON,Financials,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AON,Financials,eps_diluted,30,30,
