ticker,sector,field,periods_present,non_null_value_count,coverage_note
AON,Financials,free_cash_flow,39,39,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AON,Financials,net_income,35,38,
AON,Financials,operating_cash_flow,39,42,
AON,Financials,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AON,Financials,revenue,21,33,
AON,Financials,shareholder_equity,35,60,
AON,Financials,total_assets,35,60,
AON,Financials,total_liabilities,35,60,
APD,Materials,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
APD,Materials,eps_diluted,29,32,
APD,Materials,free_cash_flow,21,21,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
APD,Materials,net_income,29,32,
APD,Materials,operating_cash_flow,38,38,
APD,Materials,operating_income,29,32,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
APD,Materials,revenue,29,32,
APD,Materials,shareholder_equity,35,60,
APD,Materials,total_assets,34,60,
APD,Materials,total_liabilities,34,60,
APH,Information Technology,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
APH,Information Technology,eps_diluted,30,33,
APH,Information Technology,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
APH,Information Technology,net_income,30,33,
APH,Information Technology,operating_cash_flow,40,40,
APH,Information Technology,operating_income,30,33,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
APH,Information Technology,revenue,4,4,
APH,Information Technology,shareholder_equity,35,60,
APH,Information Technology,total_assets,35,60,
APH,Information Technology,total_liabilities,19,32,
AVGO,Information Technology,capital_expenditures,38,38,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AVGO,Information Technology,eps_diluted,29,32,
AVGO,Information Technology,free_cash_flow,38,38,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AVGO,Information Technology,net_income,15,20,
AVGO,Information Technology,operating_cash_flow,38,38,
AVGO,Information Technology,operating_income,29,32,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AVGO,Information Technology,revenue,9,13,
AVGO,Information Technology,shareholder_equity,8,13,
AVGO,Information Technology,total_assets,34,59,
AVGO,Information Technology,total_liabilities,34,59,
AXP,Financials,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AXP,Financials,eps_diluted,29,33,
AXP,Financials,free_cash_flow,33,33,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AXP,Financials,net_income,30,33,
AXP,Financials,operating_cash_flow,45,45,
AXP,Financials,operating_income,11,12,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
AXP,Financials,revenue,3,3,
AXP,Financials,shareholder_equity,23,47,
AXP,Financials,total_assets,31,51,
AXP,Financials,total_liabilities,35,60,
BA,Industrials,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BA,Industrials,eps_diluted,30,33,
BA,Industrials,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BA,Industrials,net_income,30,33,
BA,Industrials,operating_cash_flow,40,40,
BA,Industrials,operating_income,30,33,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BA,Industrials,revenue,30,33,
BA,Industrials,shareholder_equity,35,60,
BA,Industrials,total_assets,35,60,
BA,Industrials,total_liabilities,36,60,
BAC,Financials,eps_diluted,30,30,
BAC,Financials,net_income,30,30,
BAC,Financials,operating_cash_flow,44,44,
BAC,Financials,revenue,30,30,
BAC,Financials,shareholder_equity,23,47,
BAC,Financials,total_assets,33,55,
BAC,Financials,total_liabilities,35,60,
BKNG,Consumer Discretionary,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BKNG,Consumer Discretionary,eps_diluted,30,30,
BKNG,Consumer Discretionary,free_cash_flow,37,37,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BKNG,Consumer Discretionary,net_income,17,29,
BKNG,Consumer Discretionary,operating_cash_flow,45,45,
BKNG,Consumer Discretionary,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BKNG,Consumer Discretionary,revenue,30,30,
BKNG,Consumer Discretionary,shareholder_equity,23,47,
BKNG,Consumer Discretionary,total_assets,35,60,
BKNG,Consumer Discretionary,total_liabilities,35,60,
BLK,Financials,capital_expenditures,12,12,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BLK,Financials,eps_diluted,12,12,
BLK,Financials,free_cash_flow,12,12,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BLK,Financials,net_income,12,12,
BLK,Financials,operating_cash_flow,12,12,
BLK,Financials,operating_income,12,12,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BLK,Financials,revenue,3,3,
BLK,Financials,shareholder_equity,8,13,
BLK,Financials,total_assets,8,13,
BLK,Financials,total_liabilities,8,13,
BMY,Health Care,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BMY,Health Care,eps_diluted,30,33,
BMY,Health Care,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BMY,Health Care,net_income,30,33,
BMY,Health Care,operating_cash_flow,40,40,
BMY,Health Care,operating_income,2,2,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BMY,Health Care,revenue,30,33,
BMY,Health Care,shareholder_equity,35,60,
BMY,Health Care,total_assets,31,60,
BMY,Health Care,total_liabilities,35,60,
BSX,Health Care,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BSX,Health Care,eps_diluted,30,30,
BSX,Health Care,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BSX,Health Care,net_income,4,4,
BSX,Health Care,operating_cash_flow,40,40,
BSX,Health Care,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
BSX,Health Care,revenue,20,20,
BSX,Health Care,shareholder_equity,18,28,
BSX,Health Care,total_assets,35,60,
C,Financials,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
C,Financials,eps_diluted,25,31,
C,Financials,free_cash_flow,26,26,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
C,Financials,net_income,25,31,
C,Financials,operating_cash_flow,26,26,
C,Financials,revenue,25,31,
C,Financials,shareholder_equity,36,60,
C,Financials,total_assets,36,60,
C,Financials,total_liabilities,36,60,
CAT,Industrials,capital_expenditures,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CAT,Industrials,eps_diluted,30,33,
CAT,Industrials,free_cash_flow,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CAT,Industrials,net_income,15,22,
CAT,Industrials,operating_cash_flow,45,46,
CAT,Industrials,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CAT,Industrials,revenue,30,33,
CAT,Industrials,total_assets,35,60,
CAT,Industrials,total_liabilities,35,60,
CB,Financials,eps_diluted,30,30,
CB,Financials,net_income,30,30,
CB,Financials,operating_cash_flow,45,45,
CB,Financials,revenue,30,30,
CB,Financials,shareholder_equity,33,54,
CB,Financials,total_assets,35,60,
CB,Financials,total_liabilities,35,60,
CDNS,Information Technology,capital_expenditures,39,42,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CDNS,Information Technology,eps_diluted,29,32,
CDNS,Information Technology,free_cash_flow,39,42,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CDNS,Information Technology,net_income,29,32,
CDNS,Information Technology,operating_cash_flow,39,42,
CDNS,Information Technology,operating_income,29,32,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CDNS,Information Technology,revenue,29,29,
CDNS,Information Technology,shareholder_equity,23,47,
CDNS,Information Technology,total_assets,34,60,
CI,Health Care,capital_expenditures,10,10,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CI,Health Care,eps_diluted,30,30,
CI,Health Care,free_cash_flow,10,10,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CI,Health Care,net_income,5,5,
CI,Health Care,operating_cash_flow,35,35,
CI,Health Care,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CI,Health Care,revenue,30,30,
CI,Health Care,shareholder_equity,31,53,
CI,Health Care,total_assets,31,53,
CI,Health Care,total_liabilities,31,53,
CL,Consumer Staples,capital_expenditures,12,15,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CL,Consumer Staples,eps_diluted,30,33,
CL,Consumer Staples,free_cash_flow,8,11,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CL,Consumer Staples,net_income,30,33,
CL,Consumer Staples,operating_cash_flow,39,42,
CL,Consumer Staples,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CL,Consumer Staples,revenue,25,28,
CL,Consumer Staples,shareholder_equity,34,60,
CL,Consumer Staples,total_assets,34,60,
CL,Consumer Staples,total_liabilities,34,60,
CME,Financials,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CME,Financials,eps_diluted,30,33,
CME,Financials,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CME,Financials,net_income,24,33,
CME,Financials,operating_cash_flow,40,40,
CME,Financials,operating_income,30,33,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CME,Financials,revenue,30,33,
CME,Financials,shareholder_equity,32,60,
CME,Financials,total_assets,35,60,
CME,Financials,total_liabilities,35,60,
CMG,Consumer Discretionary,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CMG,Consumer Discretionary,eps_diluted,30,33,
CMG,Consumer Discretionary,free_cash_flow,38,38,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CMG,Consumer Discretionary,net_income,22,37,
CMG,Consumer Discretionary,operating_cash_flow,44,44,
CMG,Consumer Discretionary,operating_income,30,33,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CMG,Consumer Discretionary,revenue,30,33,
CMG,Consumer Discretionary,shareholder_equity,22,47,
CMG,Consumer Discretionary,total_assets,35,60,
CMG,Consumer Discretionary,total_liabilities,35,60,
COP,Energy,eps_diluted,30,30,
COP,Energy,net_income,30,30,
COP,Energy,operating_cash_flow,39,39,
COP,Energy,revenue,30,30,
COP,Energy,shareholder_equity,22,48,
COP,Energy,total_assets,35,60,
COP,Energy,total_liabilities,35,60,
COST,Consumer Staples,capital_expenditures,37,43,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
COST,Consumer Staples,eps_diluted,28,31,
COST,Consumer Staples,free_cash_flow,33,35,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
COST,Consumer Staples,net_income,28,31,
COST,Consumer Staples,operating_cash_flow,45,47,
COST,Consumer Staples,operating_income,25,38,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
COST,Consumer Staples,revenue,25,38,
COST,Consumer Staples,shareholder_equity,31,60,
COST,Consumer Staples,total_assets,34,60,
COST,Consumer Staples,total_liabilities,34,60,
CRM,Information Technology,capital_expenditures,29,29,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CRM,Information Technology,eps_diluted,29,29,
CRM,Information Technology,free_cash_flow,29,29,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CRM,Information Technology,net_income,22,37,
CRM,Information Technology,operating_cash_flow,29,29,
CRM,Information Technology,operating_income,29,29,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CRM,Information Technology,revenue,25,36,
CRM,Information Technology,shareholder_equity,22,47,
CRM,Information Technology,total_assets,35,60,
CRM,Information Technology,total_liabilities,35,60,
CSCO,Information Technology,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CSCO,Information Technology,eps_diluted,28,31,
CSCO,Information Technology,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CSCO,Information Technology,net_income,28,31,
CSCO,Information Technology,operating_cash_flow,41,41,
CSCO,Information Technology,operating_income,28,31,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CSCO,Information Technology,revenue,32,33,
CSCO,Information Technology,shareholder_equity,22,47,
CSCO,Information Technology,total_assets,33,60,
CSCO,Information Technology,total_liabilities,36,60,
CVS,Health Care,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CVS,Health Care,eps_diluted,30,30,
CVS,Health Care,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CVS,Health Care,net_income,30,30,
CVS,Health Care,operating_cash_flow,40,40,
CVS,Health Care,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
CVS,Health Care,revenue,30,30,
CVS,Health Care,shareholder_equity,35,60,
CVS,Health Care,total_assets,35,60,
CVS,Health Care,total_liabilities,35,60,
CVX,Energy,eps_diluted,29,31,
CVX,Energy,net_income,29,31,
CVX,Energy,operating_cash_flow,39,41,
CVX,Energy,revenue,29,31,
CVX,Energy,shareholder_equity,34,60,
CVX,Energy,total_assets,34,60,
CVX,Energy,total_liabilities,34,60,
DE,Industrials,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
DE,Industrials,eps_diluted,29,32,
DE,Industrials,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
DE,Industrials,net_income,29,32,
DE,Industrials,operating_cash_flow,40,40,
DE,Industrials,operating_income,29,29,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
DE,Industrials,revenue,29,32,
DE,Industrials,shareholder_equity,33,55,
DE,Industrials,total_assets,31,51,
DE,Industrials,total_liabilities,33,55,
DIS,Communication Services,capital_expenditures,34,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
DIS,Communication Services,eps_diluted,29,38,
DIS,Communication Services,free_cash_flow,14,14,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
DIS,Communication Services,net_income,27,39,
DIS,Communication Services,operating_cash_flow,14,14,
DIS,Communication Services,operating_income,29,38,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
DIS,Communication Services,revenue,29,38,
DIS,Communication Services,shareholder_equity,30,50,
DIS,Communication Services,total_assets,30,50,
DUK,Utilities,capital_expenditures,39,39,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
DUK,Utilities,eps_diluted,25,34,
DUK,Utilities,free_cash_flow,39,39,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
DUK,Utilities,net_income,30,30,
DUK,Utilities,operating_cash_flow,39,39,
DUK,Utilities,operating_income,25,34,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
DUK,Utilities,revenue,23,34,
DUK,Utilities,shareholder_equity,35,60,
DUK,Utilities,total_assets,35,60,
ELV,Health Care,capital_expenditures,38,43,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ELV,Health Care,eps_diluted,26,34,
ELV,Health Care,free_cash_flow,38,43,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ELV,Health Care,net_income,26,34,
ELV,Health Care,operating_cash_flow,38,43,
ELV,Health Care,operating_income,28,33,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ELV,Health Care,revenue,26,34,
ELV,Health Care,shareholder_equity,30,60,
ELV,Health Care,total_assets,34,60,
ELV,Health Care,total_liabilities,34,60,
EMR,Industrials,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
EMR,Industrials,eps_diluted,22,35,
EMR,Industrials,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
EMR,Industrials,net_income,23,35,
EMR,Industrials,operating_cash_flow,40,40,
EMR,Industrials,revenue,5,5,
EMR,Industrials,shareholder_equity,35,58,
EMR,Industrials,total_assets,35,60,
EOG,Energy,eps_diluted,30,33,
EOG,Energy,net_income,30,33,
EOG,Energy,operating_cash_flow,40,40,
EOG,Energy,operating_income,30,33,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
EOG,Energy,revenue,30,33,
EOG,Energy,shareholder_equity,24,46,
EOG,Energy,total_assets,35,60,
EQIX,Real Estate,capital_expenditures,27,27,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
EQIX,Real Estate,eps_diluted,30,33,
EQIX,Real Estate,free_cash_flow,7,7,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
EQIX,Real Estate,net_income,30,35,
EQIX,Real Estate,operating_cash_flow,40,40,
EQIX,Real Estate,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
EQIX,Real Estate,revenue,24,35,
EQIX,Real Estate,shareholder_equity,34,60,
EQIX,Real Estate,total_assets,35,60,
EQIX,Real Estate,total_liabilities,35,60,
ETN,Industrials,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ETN,Industrials,eps_diluted,30,30,
ETN,Industrials,free_cash_flow,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ETN,Industrials,net_income,30,30,
ETN,Industrials,operating_cash_flow,40,40,
ETN,Industrials,operating_income,16,16,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
ETN,Industrials,revenue,6,6,
ETN,Industrials,shareholder_equity,35,60,
ETN,Industrials,total_assets,35,60,
FDX,Industrials,eps_diluted,28,31,
FDX,Industrials,net_income,28,31,
FDX,Industrials,operating_cash_flow,45,45,
FDX,Industrials,operating_income,28,31,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
FDX,Industrials,revenue,22,34,
FDX,Industrials,shareholder_equity,30,49,
FDX,Industrials,total_assets,36,60,
GD,Industrials,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GD,Industrials,eps_diluted,30,30,
GD,Industrials,free_cash_flow,33,33,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GD,Industrials,net_income,30,30,
GD,Industrials,operating_cash_flow,45,45,
GD,Industrials,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GD,Industrials,revenue,30,30,
GD,Industrials,shareholder_equity,23,47,
GD,Industrials,total_assets,35,60,
GE,Industrials,capital_expenditures,39,45,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GE,Industrials,eps_diluted,22,34,
GE,Industrials,free_cash_flow,28,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GE,Industrials,net_income,22,34,
GE,Industrials,operating_cash_flow,40,42,
GE,Industrials,operating_income,19,19,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GE,Industrials,revenue,22,34,
GE,Industrials,shareholder_equity,36,60,
GE,Industrials,total_assets,36,60,
GE,Industrials,total_liabilities,36,60,
GILD,Health Care,capital_expenditures,42,42,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GILD,Health Care,eps_diluted,30,33,
GILD,Health Care,free_cash_flow,37,37,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GILD,Health Care,net_income,30,33,
GILD,Health Care,operating_cash_flow,40,40,
GILD,Health Care,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GILD,Health Care,revenue,28,42,
GILD,Health Care,shareholder_equity,35,60,
GILD,Health Care,total_assets,35,60,
GOOG,Communication Services,capital_expenditures,36,36,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GOOG,Communication Services,eps_diluted,30,30,
GOOG,Communication Services,free_cash_flow,36,36,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GOOG,Communication Services,net_income,30,30,
GOOG,Communication Services,operating_cash_flow,40,40,
GOOG,Communication Services,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GOOG,Communication Services,revenue,36,36,
GOOG,Communication Services,shareholder_equity,23,47,
GOOG,Communication Services,total_assets,35,60,
GOOG,Communication Services,total_liabilities,35,60,
GOOGL,Communication Services,capital_expenditures,36,36,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GOOGL,Communication Services,eps_diluted,30,30,
GOOGL,Communication Services,free_cash_flow,36,36,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GOOGL,Communication Services,net_income,30,30,
GOOGL,Communication Services,operating_cash_flow,40,40,
GOOGL,Communication Services,operating_income,30,30,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
GOOGL,Communication Services,revenue,36,36,
GOOGL,Communication Services,shareholder_equity,23,47,
GOOGL,Communication Services,total_assets,35,60,
GOOGL,Communication Services,total_liabilities,35,60,
GS,Financials,capital_expenditures,40,40,"bank/sector-specific fields (operating_income, capex, fcf) may be legitimately absent"
