feature,horizon,year,ic_date_count,mean_rank_ic_excess_return,positive_ic_year,small_sample_caveat
log_total_assets,21d,2017,45,-0.056311,True,False
log_total_assets,21d,2018,251,-0.068445,True,False
log_total_assets,21d,2019,252,-0.091351,True,False
log_total_assets,21d,2020,253,-0.106591,True,False
log_total_assets,21d,2021,252,-0.008693,True,False
log_total_assets,21d,2022,251,-0.022692,True,False
log_total_assets,21d,2023,250,-0.077453,True,False
log_total_assets,21d,2024,252,0.02795,False,False
log_total_assets,21d,2025,250,0.081464,False,False
log_total_assets,21d,2026,93,0.07983,False,False
log_total_assets,63d,2017,45,-0.181,True,False
log_total_assets,63d,2018,251,-0.152267,True,False
log_total_assets,63d,2019,252,-0.119024,True,False
log_total_assets,63d,2020,253,-0.116797,True,False
log_total_assets,63d,2021,252,0.002431,False,False
log_total_assets,63d,2022,251,-0.094277,True,False
log_total_assets,63d,2023,250,-0.147755,True,False
log_total_assets,63d,2024,252,0.077453,False,False
log_total_assets,63d,2025,250,0.13789,False,False
log_total_assets,63d,2026,51,0.175411,False,False
log_total_assets,126d,2017,45,-0.357555,True,False
log_total_assets,126d,2018,251,-0.225125,True,False
log_total_assets,126d,2019,252,-0.188035,True,False
log_total_assets,126d,2020,253,-0.079659,True,False
log_total_assets,126d,2021,252,-0.025167,True,False
log_total_assets,126d,2022,251,-0.197386,True,False
log_total_assets,126d,2023,250,-0.153087,True,False
log_total_assets,126d,2024,252,0.117414,False,False
log_total_assets,126d,2025,238,0.226056,False,False
log_total_liabilities_abs,21d,2017,44,0.052467,False,False
log_total_liabilities_abs,21d,2018,251,-0.089512,True,False
log_total_liabilities_abs,21d,2019,252,-0.08433,True,False
log_total_liabilities_abs,21d,2020,253,-0.110886,True,False
log_total_liabilities_abs,21d,2021,252,0.020091,False,False
log_total_liabilities_abs,21d,2022,251,0.012899,False,False
log_total_liabilities_abs,21d,2023,250,-0.105389,True,False
log_total_liabilities_abs,21d,2024,252,0.040705,False,False
log_total_liabilities_abs,21d,2025,250,0.090402,False,False
log_total_liabilities_abs,21d,2026,93,0.062558,False,False
log_total_liabilities_abs,63d,2017,44,-0.165492,True,False
log_total_liabilities_abs,63d,2018,251,-0.182417,True,False
log_total_liabilities_abs,63d,2019,252,-0.134966,True,False
log_total_liabilities_abs,63d,2020,253,-0.091198,True,False
log_total_liabilities_abs,63d,2021,252,0.065019,False,False
log_total_liabilities_abs,63d,2022,251,-0.037932,True,False
log_total_liabilities_abs,63d,2023,250,-0.191968,True,False
log_total_liabilities_abs,63d,2024,252,0.09595,False,False
log_total_liabilities_abs,63d,2025,250,0.15407,False,False
log_total_liabilities_abs,63d,2026,51,0.140963,False,False
log_total_liabilities_abs,126d,2017,44,-0.335456,True,False
log_total_liabilities_abs,126d,2018,251,-0.251079,True,False
log_total_liabilities_abs,126d,2019,252,-0.239258,True,False
log_total_liabilities_abs,126d,2020,253,-0.008794,True,False
log_total_liabilities_abs,126d,2021,252,0.052823,False,False
log_total_liabilities_abs,126d,2022,251,-0.135565,True,False
log_total_liabilities_abs,126d,2023,250,-0.205454,True,False
log_total_liabilities_abs,126d,2024,252,0.161171,False,False
log_total_liabilities_abs,126d,2025,238,0.24839,False,False
accrual_proxy,21d,2020,171,-0.032461,True,False
accrual_proxy,21d,2021,252,-0.072356,True,False
accrual_proxy,21d,2022,251,-0.015675,True,False
accrual_proxy,21d,2023,250,-0.10477,True,False
accrual_proxy,21d,2024,252,-0.014629,True,False
accrual_proxy,21d,2025,250,0.058182,False,False
accrual_proxy,21d,2026,93,-0.02989,True,False
accrual_proxy,63d,2020,171,-0.097504,True,False
accrual_proxy,63d,2021,252,-0.093763,True,False
accrual_proxy,63d,2022,251,-0.020669,True,False
accrual_proxy,63d,2023,250,-0.179241,True,False
accrual_proxy,63d,2024,252,0.012658,False,False
accrual_proxy,63d,2025,250,0.109346,False,False
accrual_proxy,63d,2026,51,-0.080219,True,False
accrual_proxy,126d,2020,171,-0.096597,True,False
accrual_proxy,126d,2021,252,-0.062873,True,False
accrual_proxy,126d,2022,251,-0.025533,True,False
accrual_proxy,126d,2023,250,-0.167293,True,False
accrual_proxy,126d,2024,252,0.062776,False,False
accrual_proxy,126d,2025,238,0.146942,False,False
filing_lag_days,21d,2016,252,-0.058814,True,False
filing_lag_days,21d,2017,251,-0.05718,True,False
filing_lag_days,21d,2018,251,-0.009347,True,False
