feature,feature_family,horizon,observation_count,date_count,non_null_feature_fraction,mean_rank_ic_excess_return,median_rank_ic_excess_return,ic_hit_rate_excess_return,ic_ir_excess_return,mean_rank_ic_forward_rank,median_rank_ic_forward_rank,ic_hit_rate_forward_rank,ic_ir_forward_rank,absolute_mean_ic,top_minus_bottom_spread_quintile,positive_spread_fraction_quintile,top_minus_bottom_spread_top10,positive_spread_fraction_top10,signal_direction,diagnostic_strength
operating_margin,profitability_margin,21d,61379,1513,0.207,0.005275,0.003036,0.5083,0.0292,0.005275,0.003036,0.5083,0.0292,0.005275,-0.006322,0.4524,-0.001685,0.48,positive,unusable
operating_margin,profitability_margin,63d,59543,1471,0.207,-0.005963,0.002962,0.4942,-0.0354,-0.00596,0.002962,0.4942,-0.0354,0.005963,-0.019304,0.4239,-0.001249,0.478,unstable,unusable
operating_margin,profitability_margin,126d,56803,1408,0.207,-0.027524,-0.00303,0.5114,-0.1832,-0.027526,-0.00303,0.5114,-0.1832,0.027524,-0.032129,0.3783,-0.002169,0.5007,negative,unusable
net_margin,profitability_margin,21d,74254,1513,0.25,0.005771,-0.003068,0.4891,0.0302,0.005771,-0.003068,0.4891,0.0302,0.005771,-0.002243,0.4723,-0.004816,0.455,unstable,unusable
net_margin,profitability_margin,63d,71813,1471,0.25,-0.031819,-0.018261,0.5404,-0.1527,-0.031818,-0.018261,0.5404,-0.1527,0.031819,-0.010318,0.4158,-0.018628,0.3922,negative,unusable
net_margin,profitability_margin,126d,68270,1408,0.25,-0.076358,-0.05995,0.6925,-0.465,-0.076361,-0.05995,0.6925,-0.465,0.076358,-0.054398,0.3314,-0.047839,0.3173,negative,unusable
fcf_margin,profitability_margin,21d,0,0,0.0,,,,,,,,,,,,,,unstable,unusable
fcf_margin,profitability_margin,63d,0,0,0.0,,,,,,,,,,,,,,unstable,unusable
fcf_margin,profitability_margin,126d,0,0,0.0,,,,,,,,,,,,,,unstable,unusable
operating_cash_flow_margin,profitability_margin,21d,94519,2040,0.3242,0.016503,0.00952,0.5211,0.0814,0.016505,0.00952,0.5211,0.0814,0.016503,0.004873,0.5258,0.003152,0.5286,positive,unusable
operating_cash_flow_margin,profitability_margin,63d,91909,1998,0.3242,0.015299,0.001811,0.5035,0.0784,0.015298,0.001811,0.5035,0.0784,0.015299,0.016447,0.5553,0.010055,0.5504,positive,unusable
operating_cash_flow_margin,profitability_margin,126d,88046,1935,0.3242,-0.000989,-0.016288,0.537,-0.0057,-0.00099,-0.016288,0.537,-0.0057,0.000989,0.012946,0.5477,0.006106,0.539,unstable,unusable
debt_proxy_total_liabilities_to_assets,balance_sheet_leverage,21d,185485,2148,0.619,-0.002515,0.004121,0.4898,-0.014,-0.002518,0.004121,0.4898,-0.014,0.002515,-0.002856,0.4926,-0.004552,0.4667,unstable,weak
debt_proxy_total_liabilities_to_assets,balance_sheet_leverage,63d,181621,2106,0.619,-0.006927,0.005723,0.4881,-0.0394,-0.006929,0.005723,0.4881,-0.0394,0.006927,-0.011408,0.4801,-0.015469,0.4551,unstable,weak
debt_proxy_total_liabilities_to_assets,balance_sheet_leverage,126d,175825,2043,0.619,-0.007455,0.006856,0.4836,-0.0408,-0.007456,0.006856,0.4836,-0.0408,0.007455,-0.030715,0.442,-0.03853,0.4466,unstable,weak
equity_to_assets,balance_sheet_leverage,21d,190670,2147,0.6379,-0.001502,-0.001941,0.5044,-0.009,-0.001502,-0.001941,0.5044,-0.009,0.001502,0.002093,0.5037,0.007512,0.5315,unstable,weak
equity_to_assets,balance_sheet_leverage,63d,185751,2105,0.6379,0.002192,0.01171,0.5249,0.0139,0.002193,0.01171,0.5249,0.0139,0.002192,0.007614,0.5356,0.023458,0.6148,unstable,weak
equity_to_assets,balance_sheet_leverage,126d,178384,2042,0.6379,0.00043,0.012648,0.5338,0.0027,0.00043,0.012648,0.5338,0.0027,0.00043,0.017163,0.5952,0.049882,0.6412,unstable,weak
asset_turnover_proxy,balance_sheet_leverage,21d,98174,2005,0.3343,0.022613,0.019276,0.5426,0.1127,0.022611,0.019276,0.5426,0.1127,0.022613,0.005341,0.5526,0.003528,0.541,positive,unusable
asset_turnover_proxy,balance_sheet_leverage,63d,95550,1963,0.3343,0.014596,0.011626,0.5232,0.0785,0.014598,0.011626,0.5232,0.0785,0.014596,0.011657,0.538,0.002114,0.5549,positive,unusable
asset_turnover_proxy,balance_sheet_leverage,126d,91655,1900,0.3343,0.009671,-0.027343,0.4405,0.0485,0.009673,-0.027343,0.4405,0.0485,0.009671,0.0209,0.5228,-0.001259,0.5096,unstable,unusable
liability_to_equity,balance_sheet_leverage,21d,136152,2145,0.4556,-0.007187,-0.002917,0.5077,-0.0431,-0.007189,-0.002917,0.5077,-0.0431,0.007187,-0.004703,0.4432,0.001005,0.476,negative,unusable
liability_to_equity,balance_sheet_leverage,63d,132619,2103,0.4556,-0.018083,-0.015784,0.5283,-0.1158,-0.018083,-0.015784,0.5283,-0.1158,0.018083,-0.013647,0.397,0.000471,0.4983,negative,unusable
liability_to_equity,balance_sheet_leverage,126d,127331,2040,0.4556,-0.01651,0.011392,0.4755,-0.0977,-0.016509,0.011392,0.4755,-0.0977,0.01651,-0.03038,0.4043,-0.005373,0.4877,unstable,unusable
revenue_yoy_growth,growth_change,21d,94033,2055,0.3337,0.020843,0.035439,0.5562,0.0875,0.02084,0.035439,0.5562,0.0875,0.020843,0.003079,0.5456,0.001032,0.5297,positive,unusable
revenue_yoy_growth,growth_change,63d,91493,2013,0.3337,0.03781,0.05671,0.5802,0.1509,0.037811,0.05671,0.5802,0.1509,0.03781,0.014284,0.6069,0.000511,0.5458,positive,unusable
revenue_yoy_growth,growth_change,126d,87724,1950,0.3337,0.067428,0.043949,0.5605,0.2731,0.067426,0.043949,0.5605,0.2731,0.067428,0.039333,0.6292,0.02033,0.6055,positive,unusable
net_income_yoy_growth,growth_change,21d,130371,1268,0.4407,0.006989,0.016274,0.5371,0.0539,0.006988,0.016274,0.5371,0.0539,0.006989,0.002463,0.5445,0.009065,0.5927,positive,unusable
net_income_yoy_growth,growth_change,63d,125501,1226,0.4407,0.012794,0.01028,0.5326,0.1026,0.012795,0.01028,0.5326,0.1026,0.012794,0.008811,0.5558,0.021933,0.5959,positive,unusable
net_income_yoy_growth,growth_change,126d,118204,1163,0.4407,0.004518,-0.000943,0.4979,0.037,0.004517,-0.000943,0.4979,0.037,0.004518,0.017778,0.5773,0.038345,0.6119,unstable,unusable
operating_income_yoy_growth,growth_change,21d,114313,1268,0.3934,0.016294,0.006761,0.511,0.0937,0.016291,0.006761,0.511,0.0937,0.016294,0.00308,0.5272,0.006301,0.5205,positive,unusable
operating_income_yoy_growth,growth_change,63d,110310,1226,0.3934,0.010378,0.000633,0.5033,0.0559,0.010378,0.000633,0.5033,0.0559,0.010378,0.007024,0.476,0.015406,0.522,positive,unusable
operating_income_yoy_growth,growth_change,126d,104286,1163,0.3934,-0.012101,-0.009651,0.5288,-0.0727,-0.012101,-0.009651,0.5288,-0.0727,0.012101,0.006198,0.4545,0.032688,0.5279,negative,unusable
eps_diluted_yoy_growth,growth_change,21d,143742,1267,0.4865,0.011224,0.009899,0.5343,0.0962,0.011224,0.009899,0.5343,0.0962,0.011224,0.001085,0.5343,0.009795,0.579,positive,unusable
eps_diluted_yoy_growth,growth_change,63d,138457,1225,0.4865,0.013055,0.016796,0.542,0.1152,0.013056,0.016796,0.542,0.1153,0.013055,0.005069,0.5542,0.024623,0.634,positive,unusable
eps_diluted_yoy_growth,growth_change,126d,130512,1162,0.4865,0.013294,0.009732,0.5465,0.138,0.013293,0.009732,0.5465,0.138,0.013294,0.014365,0.6005,0.046355,0.677,positive,unusable
total_assets_yoy_growth,growth_change,21d,230030,1898,0.769,0.019784,0.036523,0.5753,0.1137,0.019783,0.036523,0.5753,0.1137,0.019784,0.005096,0.6,0.004291,0.5582,positive,weak
total_assets_yoy_growth,growth_change,63d,224683,1856,0.769,0.026279,0.039652,0.6115,0.1423,0.026279,0.039652,0.6115,0.1423,0.026279,0.011219,0.6362,0.00663,0.5941,positive,weak
total_assets_yoy_growth,growth_change,126d,216643,1793,0.769,0.01203,0.024893,0.5627,0.0644,0.01203,0.024893,0.5627,0.0644,0.01203,0.013355,0.6039,0.001236,0.5151,positive,weak
operating_cash_flow_yoy_growth,growth_change,21d,222783,1962,0.7508,0.003379,0.000328,0.5005,0.0246,0.00338,0.000368,0.5005,0.0246,0.003379,0.003024,0.5607,0.005226,0.5329,unstable,weak
operating_cash_flow_yoy_growth,growth_change,63d,217478,1920,0.7508,0.008086,0.012068,0.5333,0.0592,0.008085,0.012068,0.5333,0.0592,0.008086,0.006104,0.5844,0.010732,0.5518,positive,weak
operating_cash_flow_yoy_growth,growth_change,126d,209528,1857,0.7508,0.012856,0.020894,0.5482,0.0914,0.012856,0.020894,0.5482,0.0914,0.012856,0.014039,0.6004,0.029712,0.5582,positive,weak
free_cash_flow_yoy_growth,growth_change,21d,0,0,0.0,,,,,,,,,,,,,,unstable,unusable
free_cash_flow_yoy_growth,growth_change,63d,0,0,0.0,,,,,,,,,,,,,,unstable,unusable
free_cash_flow_yoy_growth,growth_change,126d,0,0,0.0,,,,,,,,,,,,,,unstable,unusable
cash_conversion,cash_quality,21d,158219,1519,0.5335,0.014123,0.003468,0.5036,0.0959,0.01412,0.003468,0.5036,0.0959,0.014123,0.001602,0.5138,-0.007514,0.4545,positive,weak
cash_conversion,cash_quality,63d,153208,1477,0.5335,0.012042,-0.011722,0.4719,0.0756,0.012041,-0.011722,0.4719,0.0756,0.012042,0.00139,0.5027,-0.022086,0.4316,unstable,weak
cash_conversion,cash_quality,126d,145780,1414,0.5335,-0.010034,-0.028129,0.5842,-0.0677,-0.010033,-0.028129,0.5842,-0.0677,0.010034,-0.001086,0.4749,-0.032917,0.414,negative,weak
fcf_to_net_income,cash_quality,21d,0,0,0.0,,,,,,,,,,,,,,unstable,unusable
fcf_to_net_income,cash_quality,63d,0,0,0.0,,,,,,,,,,,,,,unstable,unusable
