feature_family,horizon,num_features,best_feature,best_feature_abs_mean_ic,median_abs_mean_ic,mean_abs_mean_ic,moderate_or_better_count,strong_count,best_top_minus_bottom_spread,stable_signal,stability_note
profitability_margin,21d,4,,,,,0,0,0.006322,False,no judgeable feature (insufficient dates or low non-null coverage)
profitability_margin,63d,4,,,,,0,0,0.019304,False,no judgeable feature (insufficient dates or low non-null coverage)
profitability_margin,126d,4,,,,,0,0,0.054398,False,no judgeable feature (insufficient dates or low non-null coverage)
balance_sheet_leverage,21d,4,debt_proxy_total_liabilities_to_assets,0.002515,0.002008,0.002008,0,0,0.005341,False,features measurable but none clears the moderate gate on this horizon
balance_sheet_leverage,63d,4,debt_proxy_total_liabilities_to_assets,0.006927,0.00456,0.00456,0,0,0.013647,False,features measurable but none clears the moderate gate on this horizon
balance_sheet_leverage,126d,4,debt_proxy_total_liabilities_to_assets,0.007455,0.003942,0.003942,0,0,0.030715,False,features measurable but none clears the moderate gate on this horizon
growth_change,21d,7,total_assets_yoy_growth,0.019784,0.011581,0.011581,0,0,0.005096,False,features measurable but none clears the moderate gate on this horizon
growth_change,63d,7,total_assets_yoy_growth,0.026279,0.017182,0.017182,0,0,0.014284,False,features measurable but none clears the moderate gate on this horizon
growth_change,126d,7,operating_cash_flow_yoy_growth,0.012856,0.012443,0.012443,0,0,0.039333,False,features measurable but none clears the moderate gate on this horizon
cash_quality,21d,4,accrual_proxy,0.030173,0.022148,0.022148,1,0,0.009451,True,at least one moderate-or-better feature with a consistent IC direction
cash_quality,63d,4,accrual_proxy,0.043239,0.02764,0.02764,1,0,0.025163,True,at least one moderate-or-better feature with a consistent IC direction
cash_quality,126d,4,accrual_proxy,0.021077,0.015555,0.015555,0,0,0.036531,False,features measurable but none clears the moderate gate on this horizon
size_scale,21d,3,log_total_assets,0.028905,0.02582,0.02582,0,0,0.00616,False,features measurable but none clears the moderate gate on this horizon
size_scale,63d,3,log_total_assets,0.048866,0.043758,0.043758,2,0,0.021668,True,at least one moderate-or-better feature with a consistent IC direction
size_scale,126d,3,log_total_assets,0.073827,0.064482,0.064482,2,1,0.046736,True,at least one moderate-or-better feature with a consistent IC direction
availability_recency,21d,1,filing_lag_days,0.021603,0.021603,0.021603,0,0,0.005476,False,features measurable but none clears the moderate gate on this horizon
availability_recency,63d,1,filing_lag_days,0.035646,0.035646,0.035646,1,0,0.014668,True,at least one moderate-or-better feature with a consistent IC direction
availability_recency,126d,1,filing_lag_days,0.037682,0.037682,0.037682,1,0,0.025008,True,at least one moderate-or-better feature with a consistent IC direction
