candidate,regime,n,net25,ic
gapfade_oc_raw,bull,4969,-0.002497,0.06389
gapfade_oc_raw,bear,1704,0.002212,0.07701
gapfade_oc_raw,highvol,3333,-0.000143,0.06642
gapfade_oc_raw,lowvol,3340,-0.002443,0.06806
gapfade_oc_resid,bull,4969,-0.002497,0.06389
gapfade_oc_resid,bear,1704,0.002212,0.07701
gapfade_oc_resid,highvol,3333,-0.000143,0.06642
gapfade_oc_resid,lowvol,3340,-0.002443,0.06806
gapfade_oc_z,bull,4969,-0.002559,0.06544
gapfade_oc_z,bear,1694,0.002024,0.08761
gapfade_oc_z,highvol,3331,-0.000196,0.07501
gapfade_oc_z,lowvol,3332,-0.002592,0.06715
gapfade_oc_extreme,bull,268,-0.000717,0.02656
gapfade_oc_extreme,bear,82,0.010587,0.12779
gapfade_oc_extreme,highvol,135,0.00766,0.09725
gapfade_oc_extreme,lowvol,215,-0.001665,0.02079
gapfade_oc_secneu,bull,4969,-0.002497,0.06389
gapfade_oc_secneu,bear,1704,0.002212,0.07701
gapfade_oc_secneu,highvol,3333,-0.000143,0.06642
gapfade_oc_secneu,lowvol,3340,-0.002443,0.06806
gapfade_oc_highliq,bull,4969,-0.00308,0.05155
gapfade_oc_highliq,bear,1695,-0.000306,0.05308
gapfade_oc_highliq,highvol,3332,-0.001684,0.04888
gapfade_oc_highliq,lowvol,3332,-0.003065,0.05499
gapfade_oc_volconf,bull,3160,-0.014222,-0.13267
gapfade_oc_volconf,bear,1005,-0.021585,-0.11605
gapfade_oc_volconf,highvol,1898,-0.017745,-0.11512
gapfade_oc_volconf,lowvol,2267,-0.014537,-0.13999
gapcont_oo1,bull,4967,-0.004376,-0.00519
gapcont_oo1,bear,1704,-0.00388,-0.0019
gapcont_oo1,highvol,3333,-0.004217,-0.00454
gapcont_oo1,lowvol,3338,-0.004282,-0.00417
gapcont_oo2,bull,2475,-0.004543,-0.00469
gapcont_oo2,bear,860,-0.004229,-0.0066
gapcont_oo2,highvol,1666,-0.004403,-0.00521
gapcont_oo2,lowvol,1669,-0.00452,-0.00515
gapcont_oo5,bull,998,-0.004517,-0.00057
gapcont_oo5,bear,335,-0.006229,-0.00686
gapcont_oo5,highvol,675,-0.004755,-0.00161
gapcont_oo5,lowvol,658,-0.005145,-0.0027
gapcont_volconf_oo5,bull,78,0.001716,0.02205
gapcont_volconf_oo5,bear,21,-0.011844,0.00408
gapcont_volconf_oo5,highvol,45,0.002922,-0.00959
gapcont_volconf_oo5,lowvol,54,-0.004562,0.04144
gapfade_next_noc,bull,4968,-0.004389,0.01485
gapfade_next_noc,bear,1704,-0.004145,0.01115
gapfade_next_noc,highvol,3333,-0.004214,0.0129
gapfade_next_noc,lowvol,3339,-0.004439,0.01491
