candidate,timing,gross,net25,net50,net75,net25_slip10,avg_turnover,breakeven_bps,holding_days
gapfade_oc_raw,T2,0.003705,-0.001295,-0.006295,-0.011295,-0.003295,1.0,18.53,1
gapfade_oc_resid,T2,0.003705,-0.001295,-0.006295,-0.011295,-0.003295,1.0,18.53,1
gapfade_oc_z,T2,0.003606,-0.001394,-0.006394,-0.011394,-0.003394,1.0,18.03,1
gapfade_oc_extreme,T2,0.006932,0.001932,-0.003068,-0.008068,-6.8e-05,1.0,34.66,1
gapfade_oc_secneu,T2,0.003705,-0.001295,-0.006295,-0.011295,-0.003295,1.0,18.53,1
gapfade_oc_highliq,T2,0.002625,-0.002375,-0.007375,-0.012375,-0.004375,1.0,13.13,1
gapfade_oc_volconf,T2,-0.010998,-0.015998,-0.020998,-0.025998,-0.017998,1.0,-54.99,1
gapcont_oo1,T1,-7.2e-05,-0.004249,-0.008427,-0.012604,-0.00592,0.8355,-0.43,1
gapcont_oo2,T1,-0.000239,-0.004462,-0.008685,-0.012907,-0.006151,0.8446,-1.41,2
gapcont_oo5,T1,-0.000705,-0.004948,-0.00919,-0.013432,-0.006645,0.8485,-4.16,5
gapcont_volconf_oo5,T1,0.004919,-0.00116,-0.00724,-0.013319,-0.003592,1.2159,20.23,5
gapfade_next_noc,T1,0.000673,-0.004327,-0.009327,-0.014327,-0.006327,1.0,3.37,1
overnight_rev,T3,0.000657,-0.004343,-0.009343,-0.014343,-0.006343,1.0,3.28,1
overnight_cont,T3,-0.000657,-0.005657,-0.010657,-0.015657,-0.007657,1.0,-3.28,1
overnight_cloc,T3,-0.001517,-0.006517,-0.011517,-0.016517,-0.008517,1.0,-7.58,1
overnight_cont_highliq,T3,-0.000369,-0.005369,-0.010369,-0.015369,-0.007369,1.0,-1.84,1
cloc_cont_noc,T1,7.6e-05,-0.004924,-0.009924,-0.014924,-0.006924,1.0,0.38,1
cloc_rev_oo5,T1,0.00095,-0.003492,-0.007934,-0.012376,-0.005269,0.8884,5.35,5
shockrec_oo3,T1,0.000732,-0.005595,-0.011921,-0.018248,-0.008125,1.2653,2.89,3
shockrec_volconf_oo5,T1,-7.5e-05,-0.006307,-0.012538,-0.01877,-0.008799,1.2464,-0.3,5
breakout5_oo5,T1,-0.002388,-0.006744,-0.011101,-0.015458,-0.008487,0.8713,-13.7,5
breakout5_compress_oo5,T1,-0.002581,-0.00951,-0.016439,-0.023368,-0.012282,1.3858,-9.31,5
breakout5_inside_oo5,T1,-0.001662,-0.007989,-0.014317,-0.020644,-0.01052,1.2655,-6.57,5
breakout5_oo10,T1,-0.002198,-0.006675,-0.011151,-0.015628,-0.008465,0.8953,-12.28,10
rangeexp_cont_oo2,T1,0.000816,-0.006491,-0.013798,-0.021104,-0.009414,1.4614,2.79,2
rvaccel_rev_oo5,T1,-0.000534,-0.004765,-0.008997,-0.013228,-0.006458,0.8463,-3.15,5
mom126_21_oo21,T1,0.002493,0.000585,-0.001323,-0.003231,-0.000179,0.3816,32.66,21
