candidate,hypothesis,timing,status_bucket,reasons
cloc_cont_noc,close_location,T1,COST_KILLED,"NET25<=0(-0.004924);HOLDOUT_NET25<=0(-0.004911);BREAKEVEN<25bps(0.38);SUBPERIOD_NOT_BOTH_POS(pre=-0.004928,post=-0.004911);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(0.347<5.57)"
cloc_rev_oo5,close_location,T1,COST_KILLED,"NET25<=0(-0.003492);HOLDOUT_NET25<=0(-0.006302);BREAKEVEN<25bps(5.35);SUBPERIOD_NOT_BOTH_POS(pre=-0.002672,post=-0.006017);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(2.399<5.57)"
shockrec_oo3,shock_recovery,T1,COST_KILLED,"NET25<=0(-0.005595);HOLDOUT_NET25<=0(-0.007039);BREAKEVEN<25bps(2.89);SUBPERIOD_NOT_BOTH_POS(pre=-0.005649,post=-0.005425);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(1.967<5.57)"
shockrec_volconf_oo5,shock_recovery,T1,COST_KILLED,"NET25<=0(-0.006307);HOLDOUT_NET25<=0(-0.008391);BREAKEVEN<25bps(-0.3);SUBPERIOD_NOT_BOTH_POS(pre=-0.006012,post=-0.007629);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(3.08<5.57)"
breakout5_oo5,compression_breakout,T1,COST_KILLED,"NET25<=0(-0.006744);HOLDOUT_NET25<=0(-0.005248);BREAKEVEN<25bps(-13.7);SUBPERIOD_NOT_BOTH_POS(pre=-0.006902,post=-0.006261);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(-3.417<5.57)"
breakout5_compress_oo5,compression_breakout,T1,COST_KILLED,"NET25<=0(-0.00951);HOLDOUT_NET25<=0(-0.008254);BREAKEVEN<25bps(-9.31);SUBPERIOD_NOT_BOTH_POS(pre=-0.009788,post=-0.008307);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(-1.023<5.57)"
breakout5_inside_oo5,compression_breakout,T1,COST_KILLED,"NET25<=0(-0.007989);HOLDOUT_NET25<=0(-0.006993);BREAKEVEN<25bps(-6.57);SUBPERIOD_NOT_BOTH_POS(pre=-0.008077,post=-0.007715);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(-2.411<5.57)"
breakout5_oo10,compression_breakout,T1,COST_KILLED,"NET25<=0(-0.006675);HOLDOUT_NET25<=0(-0.003866);BREAKEVEN<25bps(-12.28);SUBPERIOD_NOT_BOTH_POS(pre=-0.007062,post=-0.00548);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(-1.348<5.57)"
rangeexp_cont_oo2,range_expansion,T1,COST_KILLED,"NET25<=0(-0.006491);HOLDOUT_NET25<=0(-0.018774);BREAKEVEN<25bps(2.79);SUBPERIOD_NOT_BOTH_POS(pre=-0.007339,post=-0.004833);WF_POS_FOLDS<4(1);IC_NW_T<ADJ_BAR(-1.032<5.57)"
rvaccel_rev_oo5,vol_accel,T1,COST_KILLED,"NET25<=0(-0.004765);HOLDOUT_NET25<=0(-0.00438);BREAKEVEN<25bps(-3.15);SUBPERIOD_NOT_BOTH_POS(pre=-0.004865,post=-0.004459);WF_POS_FOLDS<4(0);IC_NW_T<ADJ_BAR(0.221<5.57)"
mom126_21_oo21,compression_breakout,T1,REJECTED,"SUBPERIOD_NOT_BOTH_POS(pre=-0.001505,post=0.006907);WF_POS_FOLDS<4(3);CONCENTRATED_YEAR(4.758);IC_NW_T<ADJ_BAR(1.305<5.57);ANCHOR_NOT_A_FAST_CANDIDATE"
