name,kind,gross_spread,avg_turnover,net_10bps,net_25bps,net_50bps
f_level_raw,scenario,0.0003,0.9965,-0.0017,-0.0047,-0.0097
f_level_sn,scenario,0.0008,0.9967,-0.0012,-0.0042,-0.0092
f_chg1_raw,scenario,0.0044,0.9974,0.0024,-0.0006,-0.0056
f_chg1_sn,scenario,0.0027,0.9981,0.0007,-0.0023,-0.0073
f_accel_raw,scenario,0.002,0.9973,0.0,-0.0029,-0.0079
f_accel_sn,scenario,0.0039,0.9984,0.0019,-0.0011,-0.0061
f_lag1_raw,scenario,0.0007,0.9969,-0.0013,-0.0043,-0.0093
f_lag1_sn,scenario,-0.0014,0.9978,-0.0034,-0.0064,-0.0114
f_rmean_5_raw,scenario,-0.0004,0.9945,-0.0024,-0.0054,-0.0103
f_rmean_5_sn,scenario,-0.0003,0.9949,-0.0023,-0.0053,-0.0102
f_rstd_5_raw,scenario,0.006,0.9921,0.004,0.001,-0.0039
f_rstd_5_sn,scenario,0.006,0.9924,0.0041,0.0011,-0.0039
f_rchg_5_raw,scenario,0.0057,0.9958,0.0037,0.0007,-0.0043
f_rchg_5_sn,scenario,0.0035,0.9961,0.0015,-0.0015,-0.0064
f_rmean_21_raw,scenario,-0.0056,0.9941,-0.0076,-0.0106,-0.0155
f_rmean_21_sn,scenario,-0.0045,0.9942,-0.0065,-0.0095,-0.0145
f_rstd_21_raw,scenario,0.003,0.9916,0.001,-0.002,-0.0069
f_rstd_21_sn,scenario,0.0036,0.9924,0.0016,-0.0014,-0.0063
f_rchg_21_raw,scenario,0.0078,0.994,0.0058,0.0028,-0.0022
f_rchg_21_sn,scenario,0.0047,0.9956,0.0027,-0.0003,-0.0052
f_rmean_63_raw,scenario,-0.0029,0.9931,-0.0049,-0.0079,-0.0129
f_rmean_63_sn,scenario,-0.0018,0.9935,-0.0038,-0.0068,-0.0118
f_rstd_63_raw,scenario,0.005,0.992,0.003,0.0,-0.0049
f_rstd_63_sn,scenario,0.0069,0.9903,0.0049,0.0019,-0.003
f_rchg_63_raw,scenario,0.0029,0.9951,0.0009,-0.0021,-0.007
f_rchg_63_sn,scenario,0.0022,0.9955,0.0002,-0.0028,-0.0078
f_z_raw,scenario,0.0003,0.9965,-0.0017,-0.0047,-0.0097
f_z_sn,scenario,0.0008,0.9967,-0.0012,-0.0042,-0.0092
f_sector_z_raw,scenario,0.0023,0.9941,0.0003,-0.0027,-0.0077
f_sector_z_sn,scenario,0.0023,0.9941,0.0003,-0.0027,-0.0077
f_rank_raw,scenario,0.0003,0.9965,-0.0017,-0.0047,-0.0097
f_rank_sn,scenario,-0.001,0.9967,-0.003,-0.006,-0.0109
f_winz_raw,scenario,0.0003,0.9965,-0.0017,-0.0047,-0.0097
f_winz_sn,scenario,0.0006,0.9967,-0.0013,-0.0043,-0.0093
f_x_surprise_raw,scenario,0.0023,0.9943,0.0004,-0.0026,-0.0076
f_x_surprise_sn,scenario,0.0012,0.9969,-0.0007,-0.0037,-0.0087
f_x_quality_raw,scenario,0.0054,0.9946,0.0034,0.0004,-0.0046
f_x_quality_sn,scenario,0.0033,0.9955,0.0013,-0.0016,-0.0066
f_x_value_raw,scenario,0.0041,0.9925,0.0021,-0.0009,-0.0058
f_x_value_sn,scenario,0.0015,0.994,-0.0005,-0.0035,-0.0084
f_x_mom_raw,scenario,-0.0033,0.9995,-0.0053,-0.0083,-0.0133
f_x_mom_sn,scenario,-0.0019,0.9981,-0.0039,-0.0069,-0.0119
orthogonal_blend__ic_weighted,model,-0.0032,0.9995,-0.0052,-0.0082,-0.0132
orthogonal_blend__equal,model,0.0001,0.999,-0.0019,-0.0049,-0.0099
f_level_raw,scenario,0.0016,0.9964,-0.0004,-0.0034,-0.0084
f_level_sn,scenario,0.0015,0.9966,-0.0005,-0.0035,-0.0085
f_chg1_raw,scenario,0.004,0.9968,0.002,-0.001,-0.006
f_chg1_sn,scenario,0.0058,0.9977,0.0038,0.0008,-0.0042
f_accel_raw,scenario,0.0083,0.998,0.0063,0.0033,-0.0016
f_accel_sn,scenario,0.0092,0.9987,0.0072,0.0042,-0.0008
f_lag1_raw,scenario,-0.0045,0.9966,-0.0065,-0.0095,-0.0145
f_lag1_sn,scenario,-0.0038,0.9968,-0.0058,-0.0088,-0.0138
f_rmean_5_raw,scenario,-0.0035,0.9923,-0.0054,-0.0084,-0.0134
f_rmean_5_sn,scenario,0.0006,0.9927,-0.0014,-0.0044,-0.0093
f_rstd_5_raw,scenario,0.0039,0.989,0.0019,-0.001,-0.006
f_rstd_5_sn,scenario,0.0063,0.9912,0.0043,0.0013,-0.0037
f_rchg_5_raw,scenario,0.0006,0.9964,-0.0014,-0.0044,-0.0094
f_rchg_5_sn,scenario,0.002,0.9969,-0.0,-0.003,-0.008
f_rmean_21_raw,scenario,-0.0027,0.9925,-0.0047,-0.0077,-0.0127
f_rmean_21_sn,scenario,-0.0027,0.9917,-0.0047,-0.0077,-0.0127
f_rstd_21_raw,scenario,0.0038,0.9904,0.0019,-0.0011,-0.0061
f_rstd_21_sn,scenario,0.0026,0.9915,0.0006,-0.0023,-0.0073
f_rchg_21_raw,scenario,0.0065,0.9959,0.0045,0.0015,-0.0035
f_rchg_21_sn,scenario,0.0058,0.9966,0.0038,0.0008,-0.0042
f_rmean_63_raw,scenario,0.0007,0.9908,-0.0013,-0.0043,-0.0092
f_rmean_63_sn,scenario,0.0004,0.9906,-0.0016,-0.0046,-0.0095
f_rstd_63_raw,scenario,0.0064,0.9913,0.0044,0.0014,-0.0036
f_rstd_63_sn,scenario,0.0041,0.9905,0.0021,-0.0009,-0.0058
f_rchg_63_raw,scenario,0.0039,0.9957,0.0019,-0.0011,-0.0061
f_rchg_63_sn,scenario,0.0035,0.9966,0.0015,-0.0015,-0.0064
f_z_raw,scenario,0.0016,0.9964,-0.0004,-0.0034,-0.0084
f_z_sn,scenario,0.0015,0.9966,-0.0005,-0.0035,-0.0085
f_sector_z_raw,scenario,0.0024,0.9941,0.0004,-0.0026,-0.0076
f_sector_z_sn,scenario,0.0024,0.9941,0.0004,-0.0026,-0.0076
f_rank_raw,scenario,0.0016,0.9964,-0.0004,-0.0034,-0.0084
f_rank_sn,scenario,0.0024,0.9967,0.0004,-0.0026,-0.0075
f_winz_raw,scenario,0.0016,0.9964,-0.0004,-0.0034,-0.0084
f_winz_sn,scenario,0.0013,0.9966,-0.0007,-0.0037,-0.0087
f_x_surprise_raw,scenario,-0.0043,0.9947,-0.0063,-0.0093,-0.0143
f_x_surprise_sn,scenario,-0.0058,0.9966,-0.0078,-0.0108,-0.0158
f_x_quality_raw,scenario,-0.0054,0.9945,-0.0073,-0.0103,-0.0153
f_x_quality_sn,scenario,-0.0021,0.9922,-0.0041,-0.0071,-0.012
f_x_value_raw,scenario,-0.0022,0.99,-0.0042,-0.0072,-0.0121
f_x_value_sn,scenario,-0.0018,0.9938,-0.0038,-0.0068,-0.0118
f_x_mom_raw,scenario,-0.0001,0.999,-0.0021,-0.0051,-0.0101
f_x_mom_sn,scenario,0.0012,0.999,-0.0008,-0.0038,-0.0088
orthogonal_blend__ic_weighted,model,-0.0056,0.9995,-0.0075,-0.0105,-0.0155
orthogonal_blend__equal,model,-0.0014,0.9995,-0.0034,-0.0064,-0.0114
f_level_raw,scenario,0.0044,0.9934,0.0024,-0.0006,-0.0055
f_level_sn,scenario,0.0032,0.9941,0.0012,-0.0018,-0.0067
f_chg1_raw,scenario,-0.0017,0.9918,-0.0037,-0.0067,-0.0116
f_chg1_sn,scenario,-0.0022,0.9909,-0.0042,-0.0072,-0.0121
f_accel_raw,scenario,0.0035,0.9938,0.0015,-0.0015,-0.0064
f_accel_sn,scenario,0.003,0.9929,0.001,-0.002,-0.007
f_lag1_raw,scenario,-0.001,0.9939,-0.003,-0.006,-0.0109
f_lag1_sn,scenario,0.001,0.9946,-0.001,-0.0039,-0.0089
f_rmean_5_raw,scenario,0.0004,0.992,-0.0016,-0.0046,-0.0095
f_rmean_5_sn,scenario,0.0013,0.9946,-0.0007,-0.0036,-0.0086
f_rstd_5_raw,scenario,0.0039,0.9856,0.002,-0.001,-0.0059
f_rstd_5_sn,scenario,0.0052,0.9907,0.0033,0.0003,-0.0047
f_rchg_5_raw,scenario,-0.001,0.992,-0.003,-0.006,-0.0109
f_rchg_5_sn,scenario,-0.0023,0.9913,-0.0043,-0.0073,-0.0122
f_rmean_21_raw,scenario,0.0006,0.9914,-0.0014,-0.0044,-0.0093
f_rmean_21_sn,scenario,-0.0009,0.9935,-0.0029,-0.0059,-0.0108
f_rstd_21_raw,scenario,0.0045,0.987,0.0025,-0.0004,-0.0054
f_rstd_21_sn,scenario,0.0018,0.9933,-0.0002,-0.0031,-0.0081
f_rchg_21_raw,scenario,-0.0026,0.9929,-0.0046,-0.0076,-0.0125
f_rchg_21_sn,scenario,-0.0022,0.9954,-0.0042,-0.0072,-0.0122
f_rmean_63_raw,scenario,0.0001,0.9884,-0.0018,-0.0048,-0.0097
f_rmean_63_sn,scenario,-0.0007,0.9931,-0.0027,-0.0056,-0.0106
f_rstd_63_raw,scenario,0.0024,0.9865,0.0005,-0.0025,-0.0074
f_rstd_63_sn,scenario,-0.0005,0.9943,-0.0025,-0.0055,-0.0104
f_rchg_63_raw,scenario,-0.0008,0.9937,-0.0028,-0.0058,-0.0107
f_rchg_63_sn,scenario,0.0,0.9962,-0.0019,-0.0049,-0.0099
f_z_raw,scenario,0.0044,0.9934,0.0024,-0.0006,-0.0055
f_z_sn,scenario,0.0032,0.9941,0.0012,-0.0018,-0.0067
f_sector_z_raw,scenario,0.0021,0.9928,0.0001,-0.0028,-0.0078
f_sector_z_sn,scenario,0.0021,0.9928,0.0001,-0.0028,-0.0078
f_rank_raw,scenario,0.0044,0.9934,0.0024,-0.0006,-0.0055
