endpoint,ticker,raw_path,rows,gitignored
dividends,C,research/data/eodhd/raw/dividends/C.json,61,True
dividends,CAG,research/data/eodhd/raw/dividends/CAG.json,67,True
dividends,CAH,research/data/eodhd/raw/dividends/CAH.json,66,True
dividends,CARR,research/data/eodhd/raw/dividends/CARR.json,25,True
dividends,CASY,research/data/eodhd/raw/dividends/CASY.json,68,True
dividends,CAT,research/data/eodhd/raw/dividends/CAT.json,67,True
dividends,CB,research/data/eodhd/raw/dividends/CB.json,89,True
dividends,CBOE,research/data/eodhd/raw/dividends/CBOE.json,66,True
dividends,CBRE,research/data/eodhd/raw/dividends/CBRE.json,0,True
dividends,CCI,research/data/eodhd/raw/dividends/CCI.json,50,True
dividends,CCL,research/data/eodhd/raw/dividends/CCL.json,44,True
dividends,CDNS,research/data/eodhd/raw/dividends/CDNS.json,0,True
dividends,CDW,research/data/eodhd/raw/dividends/CDW.json,51,True
dividends,CEG,research/data/eodhd/raw/dividends/CEG.json,18,True
dividends,CF,research/data/eodhd/raw/dividends/CF.json,66,True
dividends,CFG,research/data/eodhd/raw/dividends/CFG.json,47,True
dividends,CHD,research/data/eodhd/raw/dividends/CHD.json,66,True
dividends,CHRW,research/data/eodhd/raw/dividends/CHRW.json,66,True
dividends,CHTR,research/data/eodhd/raw/dividends/CHTR.json,0,True
dividends,CI,research/data/eodhd/raw/dividends/CI.json,33,True
dividends,CIEN,research/data/eodhd/raw/dividends/CIEN.json,0,True
dividends,CINF,research/data/eodhd/raw/dividends/CINF.json,68,True
dividends,CL,research/data/eodhd/raw/dividends/CL.json,67,True
dividends,CLX,research/data/eodhd/raw/dividends/CLX.json,66,True
dividends,CM,research/data/eodhd/raw/dividends/CM.json,69,True
dividends,CMCSA,research/data/eodhd/raw/dividends/CMCSA.json,67,True
dividends,CME,research/data/eodhd/raw/dividends/CME.json,79,True
dividends,CMG,research/data/eodhd/raw/dividends/CMG.json,0,True
dividends,CMI,research/data/eodhd/raw/dividends/CMI.json,66,True
dividends,CMS,research/data/eodhd/raw/dividends/CMS.json,66,True
dividends,CNC,research/data/eodhd/raw/dividends/CNC.json,0,True
dividends,CNI,research/data/eodhd/raw/dividends/CNI.json,66,True
dividends,CNP,research/data/eodhd/raw/dividends/CNP.json,66,True
dividends,CNQ,research/data/eodhd/raw/dividends/CNQ.json,67,True
dividends,COF,research/data/eodhd/raw/dividends/COF.json,67,True
dividends,COHR,research/data/eodhd/raw/dividends/COHR.json,1,True
dividends,COIN,research/data/eodhd/raw/dividends/COIN.json,0,True
dividends,COO,research/data/eodhd/raw/dividends/COO.json,28,True
dividends,COP,research/data/eodhd/raw/dividends/COP.json,74,True
dividends,COR,research/data/eodhd/raw/dividends/COR.json,100,True
dividends,COST,research/data/eodhd/raw/dividends/COST.json,71,True
dividends,CP,research/data/eodhd/raw/dividends/CP.json,66,True
dividends,CPAY,research/data/eodhd/raw/dividends/CPAY.json,0,True
dividends,CPRT,research/data/eodhd/raw/dividends/CPRT.json,0,True
dividends,CPT,research/data/eodhd/raw/dividends/CPT.json,67,True
dividends,CRH,research/data/eodhd/raw/dividends/CRH.json,39,True
dividends,CRL,research/data/eodhd/raw/dividends/CRL.json,0,True
dividends,CRM,research/data/eodhd/raw/dividends/CRM.json,10,True
dividends,CRWD,research/data/eodhd/raw/dividends/CRWD.json,0,True
dividends,CSCO,research/data/eodhd/raw/dividends/CSCO.json,62,True
dividends,CSGP,research/data/eodhd/raw/dividends/CSGP.json,0,True
dividends,CSX,research/data/eodhd/raw/dividends/CSX.json,66,True
dividends,CTAS,research/data/eodhd/raw/dividends/CTAS.json,34,True
dividends,CTSH,research/data/eodhd/raw/dividends/CTSH.json,37,True
dividends,CTVA,research/data/eodhd/raw/dividends/CTVA.json,28,True
dividends,CVNA,research/data/eodhd/raw/dividends/CVNA.json,0,True
dividends,CVS,research/data/eodhd/raw/dividends/CVS.json,66,True
dividends,CVX,research/data/eodhd/raw/dividends/CVX.json,66,True
dividends,CYATY,research/data/eodhd/raw/dividends/CYATY.json,2,True
dividends,D,research/data/eodhd/raw/dividends/D.json,66,True
dividends,DAL,research/data/eodhd/raw/dividends/DAL.json,40,True
dividends,DASH,research/data/eodhd/raw/dividends/DASH.json,0,True
dividends,DB,research/data/eodhd/raw/dividends/DB.json,15,True
dividends,DD,research/data/eodhd/raw/dividends/DD.json,69,True
dividends,DDOG,research/data/eodhd/raw/dividends/DDOG.json,0,True
dividends,DE,research/data/eodhd/raw/dividends/DE.json,66,True
dividends,DECK,research/data/eodhd/raw/dividends/DECK.json,0,True
dividends,DELL,research/data/eodhd/raw/dividends/DELL.json,18,True
dividends,DG,research/data/eodhd/raw/dividends/DG.json,46,True
dividends,DGX,research/data/eodhd/raw/dividends/DGX.json,68,True
dividends,DHI,research/data/eodhd/raw/dividends/DHI.json,64,True
dividends,DHR,research/data/eodhd/raw/dividends/DHR.json,69,True
dividends,DIS,research/data/eodhd/raw/dividends/DIS.json,21,True
dividends,DLR,research/data/eodhd/raw/dividends/DLR.json,67,True
dividends,DLTR,research/data/eodhd/raw/dividends/DLTR.json,0,True
dividends,DOC,research/data/eodhd/raw/dividends/DOC.json,118,True
dividends,DOV,research/data/eodhd/raw/dividends/DOV.json,66,True
dividends,DOW,research/data/eodhd/raw/dividends/DOW.json,29,True
dividends,DPZ,research/data/eodhd/raw/dividends/DPZ.json,55,True
dividends,DRI,research/data/eodhd/raw/dividends/DRI.json,65,True
dividends,DTE,research/data/eodhd/raw/dividends/DTE.json,67,True
dividends,DTEGY,research/data/eodhd/raw/dividends/DTEGY.json,18,True
dividends,DUK,research/data/eodhd/raw/dividends/DUK.json,66,True
dividends,DVA,research/data/eodhd/raw/dividends/DVA.json,0,True
dividends,DVN,research/data/eodhd/raw/dividends/DVN.json,67,True
dividends,DXCM,research/data/eodhd/raw/dividends/DXCM.json,0,True
dividends,E,research/data/eodhd/raw/dividends/E.json,41,True
dividends,EA,research/data/eodhd/raw/dividends/EA.json,23,True
dividends,EBAY,research/data/eodhd/raw/dividends/EBAY.json,30,True
dividends,ECL,research/data/eodhd/raw/dividends/ECL.json,67,True
dividends,ED,research/data/eodhd/raw/dividends/ED.json,66,True
dividends,EFX,research/data/eodhd/raw/dividends/EFX.json,66,True
dividends,EG,research/data/eodhd/raw/dividends/EG.json,66,True
dividends,EIX,research/data/eodhd/raw/dividends/EIX.json,67,True
dividends,EL,research/data/eodhd/raw/dividends/EL.json,56,True
dividends,ELV,research/data/eodhd/raw/dividends/ELV.json,62,True
dividends,EME,research/data/eodhd/raw/dividends/EME.json,59,True
dividends,EMR,research/data/eodhd/raw/dividends/EMR.json,66,True
dividends,ENB,research/data/eodhd/raw/dividends/ENB.json,66,True
dividends,EOG,research/data/eodhd/raw/dividends/EOG.json,74,True
dividends,EPD,research/data/eodhd/raw/dividends/EPD.json,67,True
dividends,EQIX,research/data/eodhd/raw/dividends/EQIX.json,48,True
dividends,EQNR,research/data/eodhd/raw/dividends/EQNR.json,55,True
dividends,EQR,research/data/eodhd/raw/dividends/EQR.json,67,True
dividends,EQT,research/data/eodhd/raw/dividends/EQT.json,61,True
dividends,ERIE,research/data/eodhd/raw/dividends/ERIE.json,67,True
dividends,ES,research/data/eodhd/raw/dividends/ES.json,66,True
dividends,ESS,research/data/eodhd/raw/dividends/ESS.json,66,True
dividends,ET,research/data/eodhd/raw/dividends/ET.json,66,True
dividends,ETN,research/data/eodhd/raw/dividends/ETN.json,66,True
dividends,ETR,research/data/eodhd/raw/dividends/ETR.json,66,True
dividends,EVRG,research/data/eodhd/raw/dividends/EVRG.json,66,True
dividends,EW,research/data/eodhd/raw/dividends/EW.json,0,True
dividends,EXC,research/data/eodhd/raw/dividends/EXC.json,67,True
dividends,EXE,research/data/eodhd/raw/dividends/EXE.json,21,True
dividends,EXPD,research/data/eodhd/raw/dividends/EXPD.json,33,True
dividends,EXPE,research/data/eodhd/raw/dividends/EXPE.json,49,True
dividends,EXR,research/data/eodhd/raw/dividends/EXR.json,67,True
dividends,F,research/data/eodhd/raw/dividends/F.json,52,True
dividends,FANG,research/data/eodhd/raw/dividends/FANG.json,33,True
dividends,FAST,research/data/eodhd/raw/dividends/FAST.json,68,True
dividends,FCX,research/data/eodhd/raw/dividends/FCX.json,57,True
dividends,FDS,research/data/eodhd/raw/dividends/FDS.json,66,True
dividends,FDX,research/data/eodhd/raw/dividends/FDX.json,66,True
dividends,FE,research/data/eodhd/raw/dividends/FE.json,68,True
dividends,FFIV,research/data/eodhd/raw/dividends/FFIV.json,0,True
dividends,FICO,research/data/eodhd/raw/dividends/FICO.json,29,True
dividends,FIS,research/data/eodhd/raw/dividends/FIS.json,67,True
dividends,FISV,research/data/eodhd/raw/dividends/FISV.json,16,True
dividends,FITB,research/data/eodhd/raw/dividends/FITB.json,66,True
dividends,FIX,research/data/eodhd/raw/dividends/FIX.json,66,True
dividends,FLEX,research/data/eodhd/raw/dividends/FLEX.json,1,True
dividends,FOX,research/data/eodhd/raw/dividends/FOX.json,15,True
dividends,FOXA,research/data/eodhd/raw/dividends/FOXA.json,15,True
dividends,FRT,research/data/eodhd/raw/dividends/FRT.json,66,True
dividends,FSLR,research/data/eodhd/raw/dividends/FSLR.json,0,True
dividends,FTNT,research/data/eodhd/raw/dividends/FTNT.json,0,True
dividends,FTV,research/data/eodhd/raw/dividends/FTV.json,41,True
dividends,GD,research/data/eodhd/raw/dividends/GD.json,68,True
dividends,GDDY,research/data/eodhd/raw/dividends/GDDY.json,0,True
dividends,GE,research/data/eodhd/raw/dividends/GE.json,67,True
dividends,GEHC,research/data/eodhd/raw/dividends/GEHC.json,13,True
dividends,GEN,research/data/eodhd/raw/dividends/GEN.json,55,True
dividends,GEV,research/data/eodhd/raw/dividends/GEV.json,7,True
dividends,GILD,research/data/eodhd/raw/dividends/GILD.json,45,True
dividends,GIS,research/data/eodhd/raw/dividends/GIS.json,66,True
dividends,GL,research/data/eodhd/raw/dividends/GL.json,67,True
dividends,GLW,research/data/eodhd/raw/dividends/GLW.json,67,True
dividends,GM,research/data/eodhd/raw/dividends/GM.json,41,True
dividends,GNRC,research/data/eodhd/raw/dividends/GNRC.json,2,True
dividends,GOOG,research/data/eodhd/raw/dividends/GOOG.json,9,True
dividends,GOOGL,research/data/eodhd/raw/dividends/GOOGL.json,9,True
dividends,GPC,research/data/eodhd/raw/dividends/GPC.json,66,True
dividends,GPN,research/data/eodhd/raw/dividends/GPN.json,66,True
dividends,GRMN,research/data/eodhd/raw/dividends/GRMN.json,66,True
dividends,GS,research/data/eodhd/raw/dividends/GS.json,66,True
dividends,GSK,research/data/eodhd/raw/dividends/GSK.json,66,True
dividends,GWW,research/data/eodhd/raw/dividends/GWW.json,66,True
dividends,HAL,research/data/eodhd/raw/dividends/HAL.json,66,True
dividends,HAS,research/data/eodhd/raw/dividends/HAS.json,66,True
dividends,HBAN,research/data/eodhd/raw/dividends/HBAN.json,67,True
dividends,HCA,research/data/eodhd/raw/dividends/HCA.json,36,True
dividends,HD,research/data/eodhd/raw/dividends/HD.json,66,True
dividends,HDB,research/data/eodhd/raw/dividends/HDB.json,25,True
dividends,HIG,research/data/eodhd/raw/dividends/HIG.json,66,True
dividends,HII,research/data/eodhd/raw/dividends/HII.json,55,True
dividends,HLT,research/data/eodhd/raw/dividends/HLT.json,36,True
dividends,HON,research/data/eodhd/raw/dividends/HON.json,68,True
dividends,HOOD,research/data/eodhd/raw/dividends/HOOD.json,0,True
dividends,HPE,research/data/eodhd/raw/dividends/HPE.json,44,True
dividends,HPQ,research/data/eodhd/raw/dividends/HPQ.json,67,True
dividends,HRL,research/data/eodhd/raw/dividends/HRL.json,68,True
dividends,HSBC,research/data/eodhd/raw/dividends/HSBC.json,58,True
dividends,HSIC,research/data/eodhd/raw/dividends/HSIC.json,0,True
dividends,HST,research/data/eodhd/raw/dividends/HST.json,59,True
dividends,HSY,research/data/eodhd/raw/dividends/HSY.json,66,True
dividends,HTHIY,research/data/eodhd/raw/dividends/HTHIY.json,60,True
