endpoint,ticker,status,rows,requests_made
fundamentals,DLTR,CACHED,0,0
fundamentals,DOC,CACHED,0,0
fundamentals,DOV,CACHED,0,0
fundamentals,DOW,CACHED,0,0
fundamentals,DPZ,CACHED,0,0
fundamentals,DRI,CACHED,0,0
fundamentals,DTE,CACHED,0,0
fundamentals,DTEGY,CACHED,0,0
fundamentals,DUK,CACHED,0,0
fundamentals,DVA,CACHED,0,0
fundamentals,DVN,CACHED,0,0
fundamentals,DXCM,CACHED,0,0
fundamentals,E,CACHED,0,0
fundamentals,EA,CACHED,0,0
fundamentals,EBAY,CACHED,0,0
fundamentals,ECL,CACHED,0,0
fundamentals,ED,CACHED,0,0
fundamentals,EFX,CACHED,0,0
fundamentals,EG,CACHED,0,0
fundamentals,EIX,CACHED,0,0
fundamentals,EL,CACHED,0,0
fundamentals,ELV,CACHED,0,0
fundamentals,EME,CACHED,0,0
fundamentals,EMR,CACHED,0,0
fundamentals,ENB,CACHED,0,0
fundamentals,EOG,CACHED,0,0
fundamentals,EPD,CACHED,0,0
fundamentals,EQIX,CACHED,0,0
fundamentals,EQNR,CACHED,0,0
fundamentals,EQR,CACHED,0,0
fundamentals,EQT,CACHED,0,0
fundamentals,ERIE,CACHED,0,0
fundamentals,ES,CACHED,0,0
fundamentals,ESS,CACHED,0,0
fundamentals,ET,CACHED,0,0
fundamentals,ETN,CACHED,0,0
fundamentals,ETR,CACHED,0,0
fundamentals,EVRG,CACHED,0,0
fundamentals,EW,CACHED,0,0
fundamentals,EXC,CACHED,0,0
fundamentals,EXE,CACHED,0,0
fundamentals,EXPD,CACHED,0,0
fundamentals,EXPE,CACHED,0,0
fundamentals,EXR,CACHED,0,0
fundamentals,F,CACHED,0,0
fundamentals,FANG,CACHED,0,0
fundamentals,FAST,CACHED,0,0
fundamentals,FCX,CACHED,0,0
fundamentals,FDS,CACHED,0,0
fundamentals,FDX,CACHED,0,0
fundamentals,FE,CACHED,0,0
fundamentals,FFIV,CACHED,0,0
fundamentals,FICO,CACHED,0,0
fundamentals,FIS,CACHED,0,0
fundamentals,FISV,CACHED,0,0
fundamentals,FITB,CACHED,0,0
fundamentals,FIX,CACHED,0,0
fundamentals,FLEX,CACHED,0,0
fundamentals,FOX,CACHED,0,0
fundamentals,FOXA,CACHED,0,0
fundamentals,FRT,CACHED,0,0
fundamentals,FSLR,CACHED,0,0
fundamentals,FTNT,CACHED,0,0
fundamentals,FTV,CACHED,0,0
fundamentals,GD,CACHED,0,0
fundamentals,GDDY,CACHED,0,0
fundamentals,GE,CACHED,0,0
fundamentals,GEHC,CACHED,0,0
fundamentals,GEN,CACHED,0,0
fundamentals,GEV,CACHED,0,0
fundamentals,GILD,CACHED,0,0
fundamentals,GIS,CACHED,0,0
fundamentals,GL,CACHED,0,0
fundamentals,GLW,CACHED,0,0
fundamentals,GM,CACHED,0,0
fundamentals,GNRC,CACHED,0,0
fundamentals,GOOG,CACHED,0,0
fundamentals,GOOGL,CACHED,0,0
fundamentals,GPC,CACHED,0,0
fundamentals,GPN,CACHED,0,0
fundamentals,GRMN,CACHED,0,0
fundamentals,GS,CACHED,0,0
fundamentals,GSK,CACHED,0,0
fundamentals,GWW,CACHED,0,0
fundamentals,HAL,CACHED,0,0
fundamentals,HAS,CACHED,0,0
fundamentals,HBAN,CACHED,0,0
fundamentals,HCA,CACHED,0,0
fundamentals,HD,CACHED,0,0
fundamentals,HDB,CACHED,0,0
fundamentals,HIG,CACHED,0,0
fundamentals,HII,CACHED,0,0
fundamentals,HLT,CACHED,0,0
fundamentals,HON,CACHED,0,0
fundamentals,HOOD,CACHED,0,0
fundamentals,HPE,CACHED,0,0
fundamentals,HPQ,CACHED,0,0
fundamentals,HRL,CACHED,0,0
fundamentals,HSBC,CACHED,0,0
fundamentals,HSIC,CACHED,0,0
fundamentals,HST,CACHED,0,0
fundamentals,HSY,CACHED,0,0
fundamentals,HTHIY,CACHED,0,0
fundamentals,HUBB,CACHED,0,0
fundamentals,HUM,CACHED,0,0
fundamentals,HWM,CACHED,0,0
fundamentals,IBKR,CACHED,0,0
fundamentals,IBM,CACHED,0,0
fundamentals,IBN,CACHED,0,0
fundamentals,ICE,CACHED,0,0
fundamentals,IDXX,CACHED,0,0
fundamentals,IEX,CACHED,0,0
fundamentals,IFF,CACHED,0,0
fundamentals,IFNNY,CACHED,0,0
fundamentals,IMO,CACHED,0,0
fundamentals,INCY,CACHED,0,0
fundamentals,ING,CACHED,0,0
fundamentals,INTC,CACHED,0,0
fundamentals,INTU,CACHED,0,0
fundamentals,INVH,CACHED,0,0
fundamentals,IP,CACHED,0,0
fundamentals,IQV,CACHED,0,0
fundamentals,IR,CACHED,0,0
fundamentals,IRM,CACHED,0,0
fundamentals,ISRG,CACHED,0,0
fundamentals,IT,CACHED,0,0
fundamentals,ITUB,CACHED,0,0
fundamentals,ITW,CACHED,0,0
fundamentals,IVZ,CACHED,0,0
fundamentals,J,CACHED,0,0
fundamentals,JBHT,CACHED,0,0
fundamentals,JBL,CACHED,0,0
fundamentals,JCI,CACHED,0,0
fundamentals,JKHY,CACHED,0,0
fundamentals,JNJ,CACHED,0,0
fundamentals,JPM,CACHED,0,0
fundamentals,KDP,CACHED,0,0
fundamentals,KEY,CACHED,0,0
fundamentals,KEYS,CACHED,0,0
fundamentals,KHC,CACHED,0,0
fundamentals,KIM,CACHED,0,0
fundamentals,KKR,CACHED,0,0
fundamentals,KLAC,CACHED,0,0
fundamentals,KMB,CACHED,0,0
fundamentals,KMI,CACHED,0,0
fundamentals,KO,CACHED,0,0
fundamentals,KR,CACHED,0,0
fundamentals,KVUE,CACHED,0,0
fundamentals,KXIAY,CACHED,0,0
fundamentals,L,CACHED,0,0
fundamentals,LDOS,CACHED,0,0
fundamentals,LEN,CACHED,0,0
