name,kind,first_half_ic,second_half_ic,subperiod_stable,n_months
f_rstd_63_raw,scenario,-0.0127,-0.0118,False,120
f_rstd_63_sn,scenario,-0.005,-0.0032,False,120
f_rchg_63_raw,scenario,-0.0213,0.0356,False,120
f_rchg_63_sn,scenario,-0.0141,0.0219,False,120
f_z_raw,scenario,-0.0028,0.0197,False,120
f_z_sn,scenario,0.0053,0.0242,True,120
f_sector_z_raw,scenario,-0.0001,0.0158,False,120
f_sector_z_sn,scenario,-0.0001,0.0158,False,120
f_rank_raw,scenario,-0.0028,0.0197,False,120
f_rank_sn,scenario,0.0049,0.026,True,120
f_winz_raw,scenario,-0.0028,0.0197,False,120
f_winz_sn,scenario,0.0051,0.0268,True,120
f_x_surprise_raw,scenario,0.0073,-0.0028,False,120
f_x_surprise_sn,scenario,0.013,-0.0057,False,120
f_x_quality_raw,scenario,-0.0516,0.0081,False,120
f_x_quality_sn,scenario,-0.0358,0.0068,False,120
f_x_value_raw,scenario,-0.0025,0.0006,False,120
f_x_value_sn,scenario,-0.0202,-0.0009,False,120
f_x_mom_raw,scenario,0.0078,-0.0272,False,119
f_x_mom_sn,scenario,0.0132,-0.0175,False,119
orthogonal_blend__ic_weighted,model,-0.0089,0.0079,False,96
orthogonal_blend__equal,model,-0.0014,0.0037,False,96
f_level_raw,scenario,0.0201,0.0024,True,120
f_level_sn,scenario,0.0252,0.0062,True,120
f_chg1_raw,scenario,-0.01,0.0142,False,120
f_chg1_sn,scenario,-0.0083,0.0156,False,120
f_accel_raw,scenario,-0.0078,0.0233,False,120
f_accel_sn,scenario,-0.0057,0.0227,False,120
f_lag1_raw,scenario,0.0181,0.0086,True,120
f_lag1_sn,scenario,0.0184,0.007,True,120
f_rmean_5_raw,scenario,0.011,0.0044,True,120
f_rmean_5_sn,scenario,0.0164,0.0069,True,120
f_rstd_5_raw,scenario,0.0291,-0.0021,False,120
f_rstd_5_sn,scenario,0.0412,0.0023,True,120
f_rchg_5_raw,scenario,-0.0066,-0.0039,False,120
f_rchg_5_sn,scenario,-0.0044,-0.0007,False,120
f_rmean_21_raw,scenario,0.0386,0.0055,True,120
f_rmean_21_sn,scenario,0.0448,0.0029,True,120
f_rstd_21_raw,scenario,0.0375,-0.0048,False,120
f_rstd_21_sn,scenario,0.0528,0.0054,True,120
f_rchg_21_raw,scenario,-0.0302,-0.0012,False,120
f_rchg_21_sn,scenario,-0.0307,0.0093,False,120
f_rmean_63_raw,scenario,0.0323,0.0029,True,120
f_rmean_63_sn,scenario,0.0407,-0.0013,False,120
f_rstd_63_raw,scenario,0.0376,-0.0107,False,120
f_rstd_63_sn,scenario,0.0379,-0.0044,False,120
f_rchg_63_raw,scenario,-0.0231,-0.0041,False,120
f_rchg_63_sn,scenario,-0.0287,0.0059,False,120
f_z_raw,scenario,0.0201,0.0024,True,120
f_z_sn,scenario,0.0252,0.0062,True,120
f_sector_z_raw,scenario,0.0225,0.0019,True,120
f_sector_z_sn,scenario,0.0225,0.0019,True,120
f_rank_raw,scenario,0.0201,0.0024,True,120
f_rank_sn,scenario,0.0254,0.003,True,120
f_winz_raw,scenario,0.0201,0.0024,True,120
f_winz_sn,scenario,0.0239,0.0065,True,120
f_x_surprise_raw,scenario,-0.0044,-0.0249,False,120
f_x_surprise_sn,scenario,-0.0002,-0.0252,False,120
f_x_quality_raw,scenario,-0.0383,0.0081,False,120
f_x_quality_sn,scenario,-0.0346,0.0051,False,120
f_x_value_raw,scenario,-0.0244,-0.0257,False,120
f_x_value_sn,scenario,-0.0176,-0.0273,False,120
f_x_mom_raw,scenario,-0.0128,0.0203,False,119
f_x_mom_sn,scenario,-0.0077,0.0103,False,119
orthogonal_blend__ic_weighted,model,-0.0075,-0.0,False,96
orthogonal_blend__equal,model,0.0157,-0.0095,False,96
f_level_raw,scenario,-0.0013,-0.0206,False,120
f_level_sn,scenario,-0.0115,-0.0202,False,120
f_chg1_raw,scenario,-0.0104,-0.0434,False,120
f_chg1_sn,scenario,-0.0189,-0.042,False,120
f_accel_raw,scenario,-0.0091,-0.0326,False,120
f_accel_sn,scenario,-0.0175,-0.0298,False,120
f_lag1_raw,scenario,0.01,0.0189,True,120
f_lag1_sn,scenario,0.0067,0.0176,True,120
f_rmean_5_raw,scenario,0.0138,0.012,True,120
f_rmean_5_sn,scenario,0.0069,0.0066,True,120
f_rstd_5_raw,scenario,0.0321,-0.012,False,120
f_rstd_5_sn,scenario,0.0397,-0.0052,False,120
f_rchg_5_raw,scenario,-0.011,-0.0304,False,120
f_rchg_5_sn,scenario,-0.0137,-0.0331,False,120
f_rmean_21_raw,scenario,0.0232,-0.0037,False,120
f_rmean_21_sn,scenario,0.0182,-0.0011,False,120
f_rstd_21_raw,scenario,0.0023,-0.0137,False,120
f_rstd_21_sn,scenario,0.0123,-0.0141,False,120
f_rchg_21_raw,scenario,-0.0172,-0.0245,False,120
f_rchg_21_sn,scenario,-0.0232,-0.0216,False,120
f_rmean_63_raw,scenario,0.0203,-0.0065,False,120
f_rmean_63_sn,scenario,0.0181,-0.0033,False,120
f_rstd_63_raw,scenario,0.0026,0.0006,True,120
f_rstd_63_sn,scenario,0.0135,0.0016,True,120
f_rchg_63_raw,scenario,-0.0191,-0.0225,False,120
f_rchg_63_sn,scenario,-0.0249,-0.0248,False,120
f_z_raw,scenario,-0.0013,-0.0206,False,120
f_z_sn,scenario,-0.0115,-0.0202,False,120
f_sector_z_raw,scenario,-0.014,-0.0194,False,120
f_sector_z_sn,scenario,-0.014,-0.0194,False,120
f_rank_raw,scenario,-0.0013,-0.0206,False,120
f_rank_sn,scenario,-0.0118,-0.0191,False,120
f_winz_raw,scenario,-0.0014,-0.0207,False,120
f_winz_sn,scenario,-0.0119,-0.0194,False,120
f_x_surprise_raw,scenario,-0.0117,0.0027,False,120
f_x_surprise_sn,scenario,-0.0103,0.0082,False,120
f_x_quality_raw,scenario,-0.0172,-0.0053,False,120
f_x_quality_sn,scenario,-0.0085,-0.0013,False,120
f_x_value_raw,scenario,0.0098,0.0212,True,120
f_x_value_sn,scenario,0.0187,0.0029,True,120
f_x_mom_raw,scenario,0.0078,-0.0054,False,119
f_x_mom_sn,scenario,0.0111,0.0021,True,119
orthogonal_blend__ic_weighted,model,0.0032,0.0088,True,96
orthogonal_blend__equal,model,0.0068,-0.0156,False,96
f_level_raw,scenario,0.0175,0.006,True,120
