family,feature_col,coverage
eodhd_earnings_surprise,f_accel,38042
eodhd_earnings_surprise,f_chg1,38159
eodhd_earnings_surprise,f_lag1,38159
eodhd_earnings_surprise,f_level,38237
eodhd_earnings_surprise,f_rank,38237
eodhd_earnings_surprise,f_rchg_21,38159
eodhd_earnings_surprise,f_rchg_5,38159
eodhd_earnings_surprise,f_rchg_63,38159
eodhd_earnings_surprise,f_rmean_21,38159
eodhd_earnings_surprise,f_rmean_5,38159
eodhd_earnings_surprise,f_rmean_63,38159
eodhd_earnings_surprise,f_rstd_21,38159
eodhd_earnings_surprise,f_rstd_5,38159
eodhd_earnings_surprise,f_rstd_63,38159
eodhd_earnings_surprise,f_sector_z,37949
eodhd_earnings_surprise,f_winz,38237
eodhd_earnings_surprise,f_x_mom,20304
eodhd_earnings_surprise,f_x_quality,36826
eodhd_earnings_surprise,f_x_surprise,36862
eodhd_earnings_surprise,f_x_value,36689
eodhd_earnings_surprise,f_z,38237
eodhd_eps_growth_yoy,f_accel,38324
eodhd_eps_growth_yoy,f_chg1,38398
eodhd_eps_growth_yoy,f_lag1,38398
eodhd_eps_growth_yoy,f_level,38473
eodhd_eps_growth_yoy,f_rank,38473
eodhd_eps_growth_yoy,f_rchg_21,38398
eodhd_eps_growth_yoy,f_rchg_5,38398
eodhd_eps_growth_yoy,f_rchg_63,38398
eodhd_eps_growth_yoy,f_rmean_21,38398
eodhd_eps_growth_yoy,f_rmean_5,38398
eodhd_eps_growth_yoy,f_rmean_63,38398
eodhd_eps_growth_yoy,f_rstd_21,38398
eodhd_eps_growth_yoy,f_rstd_5,38398
eodhd_eps_growth_yoy,f_rstd_63,38398
eodhd_eps_growth_yoy,f_sector_z,38187
eodhd_eps_growth_yoy,f_winz,38473
eodhd_eps_growth_yoy,f_x_mom,20330
eodhd_eps_growth_yoy,f_x_quality,36963
eodhd_eps_growth_yoy,f_x_surprise,36685
eodhd_eps_growth_yoy,f_x_value,36977
eodhd_eps_growth_yoy,f_z,38473
eodhd_revenue_growth_yoy,f_accel,38545
eodhd_revenue_growth_yoy,f_chg1,38569
eodhd_revenue_growth_yoy,f_lag1,38569
eodhd_revenue_growth_yoy,f_level,38597
eodhd_revenue_growth_yoy,f_rank,38597
eodhd_revenue_growth_yoy,f_rchg_21,38569
eodhd_revenue_growth_yoy,f_rchg_5,38569
eodhd_revenue_growth_yoy,f_rchg_63,38569
eodhd_revenue_growth_yoy,f_rmean_21,38569
eodhd_revenue_growth_yoy,f_rmean_5,38569
eodhd_revenue_growth_yoy,f_rmean_63,38569
eodhd_revenue_growth_yoy,f_rstd_21,38569
eodhd_revenue_growth_yoy,f_rstd_5,38569
eodhd_revenue_growth_yoy,f_rstd_63,38569
eodhd_revenue_growth_yoy,f_sector_z,38311
eodhd_revenue_growth_yoy,f_winz,38597
eodhd_revenue_growth_yoy,f_x_mom,20436
eodhd_revenue_growth_yoy,f_x_quality,37166
eodhd_revenue_growth_yoy,f_x_surprise,36763
eodhd_revenue_growth_yoy,f_x_value,36984
