scenario,family,signal,sector_neutral,regime_filter,exploratory,hypothesis
f_level_raw,orthogonal,f_level,False,,False,f_level (eodhd_earnings_surprise) raw cross-section
f_level_sn,orthogonal,f_level,True,,False,f_level sector-neutral
f_chg1_raw,orthogonal,f_chg1,False,,False,f_chg1 (eodhd_earnings_surprise) raw cross-section
f_chg1_sn,orthogonal,f_chg1,True,,False,f_chg1 sector-neutral
f_accel_raw,orthogonal,f_accel,False,,False,f_accel (eodhd_earnings_surprise) raw cross-section
f_accel_sn,orthogonal,f_accel,True,,False,f_accel sector-neutral
f_lag1_raw,orthogonal,f_lag1,False,,False,f_lag1 (eodhd_earnings_surprise) raw cross-section
f_lag1_sn,orthogonal,f_lag1,True,,False,f_lag1 sector-neutral
f_rmean_5_raw,orthogonal,f_rmean_5,False,,False,f_rmean_5 (eodhd_earnings_surprise) raw cross-section
f_rmean_5_sn,orthogonal,f_rmean_5,True,,False,f_rmean_5 sector-neutral
f_rstd_5_raw,orthogonal,f_rstd_5,False,,False,f_rstd_5 (eodhd_earnings_surprise) raw cross-section
f_rstd_5_sn,orthogonal,f_rstd_5,True,,False,f_rstd_5 sector-neutral
f_rchg_5_raw,orthogonal,f_rchg_5,False,,False,f_rchg_5 (eodhd_earnings_surprise) raw cross-section
f_rchg_5_sn,orthogonal,f_rchg_5,True,,False,f_rchg_5 sector-neutral
f_rmean_21_raw,orthogonal,f_rmean_21,False,,False,f_rmean_21 (eodhd_earnings_surprise) raw cross-section
f_rmean_21_sn,orthogonal,f_rmean_21,True,,False,f_rmean_21 sector-neutral
f_rstd_21_raw,orthogonal,f_rstd_21,False,,False,f_rstd_21 (eodhd_earnings_surprise) raw cross-section
f_rstd_21_sn,orthogonal,f_rstd_21,True,,False,f_rstd_21 sector-neutral
f_rchg_21_raw,orthogonal,f_rchg_21,False,,False,f_rchg_21 (eodhd_earnings_surprise) raw cross-section
f_rchg_21_sn,orthogonal,f_rchg_21,True,,False,f_rchg_21 sector-neutral
f_rmean_63_raw,orthogonal,f_rmean_63,False,,False,f_rmean_63 (eodhd_earnings_surprise) raw cross-section
f_rmean_63_sn,orthogonal,f_rmean_63,True,,False,f_rmean_63 sector-neutral
f_rstd_63_raw,orthogonal,f_rstd_63,False,,False,f_rstd_63 (eodhd_earnings_surprise) raw cross-section
f_rstd_63_sn,orthogonal,f_rstd_63,True,,False,f_rstd_63 sector-neutral
f_rchg_63_raw,orthogonal,f_rchg_63,False,,False,f_rchg_63 (eodhd_earnings_surprise) raw cross-section
f_rchg_63_sn,orthogonal,f_rchg_63,True,,False,f_rchg_63 sector-neutral
f_z_raw,orthogonal,f_z,False,,False,f_z (eodhd_earnings_surprise) raw cross-section
f_z_sn,orthogonal,f_z,True,,False,f_z sector-neutral
f_sector_z_raw,orthogonal,f_sector_z,False,,False,f_sector_z (eodhd_earnings_surprise) raw cross-section
f_sector_z_sn,orthogonal,f_sector_z,True,,False,f_sector_z sector-neutral
f_rank_raw,orthogonal,f_rank,False,,False,f_rank (eodhd_earnings_surprise) raw cross-section
f_rank_sn,orthogonal,f_rank,True,,False,f_rank sector-neutral
