file,clean,keyed_url_marker,key_value_present
acquisition_progress.csv,True,none,False
cohort_stability_report.csv,True,none,False
eodhd_entitlement_audit.csv,True,none,False
eodhd_field_inventory.csv,True,none,False
eodhd_keep_upgrade_cancel_decision.csv,True,none,False
eodhd_pit_usable_fields.csv,True,none,False
eodhd_section_inventory.csv,True,none,False
eodhd_snapshot_only_fields.csv,True,none,False
exact_next_commands.csv,True,none,False
feature_catalog.csv,True,none,False
feature_coverage_report.csv,True,none,False
horizon_sweep_report.csv,True,none,False
key_visibility_preflight.csv,True,none,False
leakage_audit.csv,True,none,False
missing_data_after_eodhd_norgate.csv,True,none,False
model_registry.csv,True,none,False
model_scoreboard.csv,True,none,False
norgate_foundation_manifest.csv,True,none,False
normalized_payload_manifest.csv,True,none,False
phase10b_resume_state.json,True,none,False
pit_normalization_audit.csv,True,none,False
point_in_time_join_audit.csv,True,none,False
raw_payload_manifest.csv,True,none,False
rejected_hypotheses.csv,True,none,False
scenario_registry.csv,True,none,False
scenario_scoreboard.csv,True,none,False
sector_concentration_report.csv,True,none,False
strong_alpha_candidates.csv,True,none,False
subperiod_stability_report.csv,True,none,False
transaction_cost_report.csv,True,none,False
